run_id,context_id,archid,device,dataset,accuracy,latency,runtime_sec,evaluations
1,1,13714,edgegpu,cifar10,94.373340,6.772180,0.165971,950
1,1,1339,edgegpu,cifar10,92.136665,1.751881,0.165971,950
1,1,2053,edgegpu,cifar10,94.206665,5.482254,0.165971,950
1,1,10683,edgegpu,cifar10,92.330000,1.924162,0.165971,950
1,1,14527,edgegpu,cifar10,86.765000,1.439619,0.165971,950
1,1,11810,edgegpu,cifar10,92.780000,1.992798,0.165971,950
1,1,1459,edgegpu,cifar10,94.296670,6.748991,0.165971,950
1,1,10484,edgegpu,cifar10,93.810000,3.354015,0.165971,950
1,1,1317,edgegpu,cifar10,94.090000,5.292902,0.165971,950
1,1,5292,edgegpu,cifar10,94.293335,6.663151,0.165971,950
1,1,6330,edgegpu,cifar10,94.006670,4.384699,0.165971,950
1,1,1601,edgegpu,cifar10,86.336670,1.433892,0.165971,950
1,1,8421,edgegpu,cifar10,10.000000,0.538597,0.165971,950
1,1,9099,edgegpu,cifar10,93.940000,3.357520,0.165971,950
1,1,5780,edgegpu,cifar10,93.980000,3.361888,0.165971,950
1,1,2776,edgegpu,cifar10,93.666664,3.331194,0.165971,950
1,1,6259,edgegpu,cifar10,86.443340,1.433926,0.165971,950
1,1,13401,edgegpu,cifar10,87.010000,1.457009,0.165971,950
1,1,3489,edgegpu,cifar10,92.190000,1.780648,0.165971,950
1,2,9950,edgetpu,cifar10,93.840000,0.723767,0.146742,950
1,2,13320,edgetpu,cifar10,89.330000,0.396446,0.146742,950
1,2,5258,edgetpu,cifar10,88.775000,0.388629,0.146742,950
1,2,6382,edgetpu,cifar10,93.376660,0.628638,0.146742,950
1,2,13714,edgetpu,cifar10,94.373340,1.377865,0.146742,950
1,2,12439,edgetpu,cifar10,86.393330,0.352159,0.146742,950
1,2,2053,edgetpu,cifar10,94.206665,1.042178,0.146742,950
1,2,797,edgetpu,cifar10,93.280000,0.627996,0.146742,950
1,2,12415,edgetpu,cifar10,93.990000,0.865453,0.146742,950
1,2,5111,edgetpu,cifar10,94.306660,1.152010,0.146742,950
1,2,4609,edgetpu,cifar10,91.930000,0.481311,0.146742,950
