run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,94.37334,4.7083616,0.4774236017,0.01851418067,0,0.1685466
1,2,edgetpu,cifar10,94.37334,0.9999326,0.4443509161,0.00868979919,0,0.1827914
1,3,eyeriss,cifar10,94.37334,5.12018,0.5989514452,0.01387776489,0,0.1793618
1,4,fpga,cifar10,94.37334,4.67856,0.6374389723,0.03854508005,0,0.1705564
1,5,pixel3,cifar10,94.37334,15.4901,0.4757248966,0.06529382857,0,0.175153
1,6,raspi4,cifar10,94.37334,36.995617,0.6454480853,0.1354076238,0,0.1997345
1,7,edgegpu,cifar100,73.513336,5.3523636,0.3327377992,0.009916407572,0,0.2678974
1,8,edgetpu,cifar100,73.513336,0.87229896,0.887080935,0.001297833229,0,0.5246897
1,9,eyeriss,cifar100,73.513336,6.352,0.5800351368,0.0633765043,0,0.2383892999
1,10,fpga,cifar100,73.513336,4.67856,0.7953845465,0,0,0.2377058
1,11,pixel3,cifar100,73.513336,16.6046,0.7531504748,0.07730303397,0,0.2301926
1,12,raspi4,cifar100,73.513336,42.30927,0.4588889548,0.6034165889,0,0.310681
1,13,edgegpu,ImageNet16-120,46.933334,3.4528017,0.5194589935,0.2015507081,0,0.1713828
1,14,edgetpu,ImageNet16-120,47.31111,0.71090645,0.6189799553,0.03695639372,0,0.1709529
1,15,eyeriss,ImageNet16-120,47.033333,0.976,0.7099238276,0.1534247019,0,0.171783
1,16,fpga,ImageNet16-120,47.31111,1.27632,0.7019377612,0.01102698565,0,0.1735859
1,17,pixel3,ImageNet16-120,47.31111,4.94921,0.6807465748,0.04731789954,0,0.20121
1,18,raspi4,ImageNet16-120,46.833332,6.7037134,0.6471154235,0.464741519,0,0.1760525
2,1,edgegpu,cifar10,94.37334,3.3594847,0.6684899367,0.0360952773,0,0.1803065
2,2,edgetpu,cifar10,94.37334,1.1520097,0.3315957112,0.009377869003,0,0.1684604
2,3,eyeriss,cifar10,94.37334,5.36594,0.5478890622,0.01905625668,0,0.174175
2,4,fpga,cifar10,94.37334,4.57296,0.6709113294,0.03140405026,0,0.1699623
2,5,pixel3,cifar10,94.37334,16.4505,0.4242083963,0.1489050443,0,0.1791805
2,6,raspi4,cifar10,94.37334,37.58363,0.6582258019,0.137980941,0,0.1677097
2,7,edgegpu,cifar100,73.513336,5.387192,0.3169461517,0.02554876166,0,0.1650452
2,8,edgetpu,cifar100,73.513336,1.2641679,0.3103905365,0.005934303887,0,0.198437
2,9,eyeriss,cifar100,73.513336,5.1232,0.7621391914,0,0,0.1756832
2,10,fpga,cifar100,73.513336,4.67856,0.7414206735,0.02348066298,0,0.3641448001
2,11,pixel3,cifar100,73.513336,16.4739,0.7711441854,0.03662083333,0,0.2160582001
2,12,raspi4,cifar100,73.513336,36.371254,0.5624772736,0.1254070389,0,0.2056571
2,13,edgegpu,ImageNet16-120,47.31111,4.667692,0.5011504852,0.1647291086,0,0.170666
2,14,edgetpu,ImageNet16-120,47.31111,0.71090645,0.6608319562,0.001031687946,0,0.1848767
2,15,eyeriss,ImageNet16-120,47.31111,1.2832,0.6133813122,0.02865230769,0,0.1793996
2,16,fpga,ImageNet16-120,47.31111,0.9952,0.7859309536,0,0,0.1623639
2,17,pixel3,ImageNet16-120,47.31111,4.94921,0.6807465748,0.04731789954,0,0.177218
2,18,raspi4,ImageNet16-120,47.31111,7.482383,0.6709562233,0.1135703771,0,0.1813542
3,1,edgegpu,cifar10,94.37334,5.3155375,0.3455954205,0.06917184344,0,0.2070643
3,2,edgetpu,cifar10,94.37334,1.0421782,0.4527294078,0.002272866307,0,0.1657257
3,3,eyeriss,cifar10,94.37334,5.36594,0.5478890622,0.01905625668,0,0.182819
3,4,fpga,cifar10,94.34333,3.64816,0.9500475784,0.01243017751,0,0.1880556
3,5,pixel3,cifar10,94.37334,16.4505,0.4242083963,0.1489050443,0,0.1802677001
3,6,raspi4,cifar10,94.37334,38.020573,0.6279300247,0.1578500948,0,0.1900203
3,7,edgegpu,cifar100,73.513336,5.3523636,0.3325954465,0.01030958094,0,0.1785731
3,8,edgetpu,cifar100,73.513336,1.0936992,0.5640271089,0.02507762395,0,0.1730588
3,9,eyeriss,cifar100,73.513336,5.1232,0.7621391914,0,0,0.1812211
3,10,fpga,cifar100,73.513336,5.42096,0.6159595021,0.0348640884,0,0.1663016
3,11,pixel3,cifar100,73.513336,17.5278,0.7380363506,0.08561991333,0,0.2078627
3,12,raspi4,cifar100,73.513336,39.345867,0.5008559745,0.3466953929,0,0.1697401
3,13,edgegpu,ImageNet16-120,46.933334,3.499999,0.5194589935,0.2019123733,0,0.1960657
3,14,edgetpu,ImageNet16-120,47.31111,0.71090645,0.6201120256,0.03695639372,0,0.1721823
3,15,eyeriss,ImageNet16-120,47.31111,1.2832,0.6133813122,0.02865230769,0,0.2608368
3,16,fpga,ImageNet16-120,46.6,1.0624,0.5742509895,0.6149689508,0,0.1932607
3,17,pixel3,ImageNet16-120,46.833332,2.96252,0.6850899927,0.4485578806,0,0.1656278
3,18,raspi4,ImageNet16-120,47.31111,7.482383,0.6682405354,0.1518021064,0,0.1701036
4,1,edgegpu,cifar10,94.37334,4.7083616,0.4774236017,0.01851418067,0,0.3941552
4,2,edgetpu,cifar10,94.37334,0.7611004,0.6960966606,0,0,0.1782745
4,3,eyeriss,cifar10,94.37334,5.12018,0.5959384474,0.0147376008,0,0.1655239
4,4,fpga,cifar10,94.37334,4.16336,0.7996103571,0.004572781065,0,0.2470491
4,5,pixel3,cifar10,94.37334,15.4901,0.4757248966,0.06529382857,0,0.2746373
4,6,raspi4,cifar10,94.37334,37.58363,0.6582258019,0.137980941,0,0.2605903
4,7,edgegpu,cifar100,73.513336,5.3523636,0.3325954465,0.01030958094,0,0.232405
4,8,edgetpu,cifar100,73.513336,1.3115515,0.2311817217,0.03638723083,0,0.2399351
4,9,eyeriss,cifar100,73.26,5.1232,0.6632195945,0.1417780884,0,0.2311698
4,10,fpga,cifar100,73.513336,4.67856,0.7953845465,0,0,0.2320402
4,11,pixel3,cifar100,73.513336,12.0794,0.8695494836,0.0036025,0,0.2515803
4,12,raspi4,cifar100,73.513336,36.371254,0.562422401,0.1288700222,0,0.2355851
4,13,edgegpu,ImageNet16-120,47.31111,4.6694326,0.4427519823,0.1822061631,0,0.202471
4,14,edgetpu,ImageNet16-120,46.933334,0.71090645,0.6007061929,0.2023610207,0,0.2384936
4,15,eyeriss,ImageNet16-120,47.31111,0.976,0.6827572951,0.1245458341,0,0.2661652
4,16,fpga,ImageNet16-120,46.833332,1.0624,0.6207072236,0.4503059479,0,0.2603757
4,17,pixel3,ImageNet16-120,46.6,4.68603,0.551696164,0.7940533468,0,0.1703943
4,18,raspi4,ImageNet16-120,47.31111,7.482383,0.6677607529,0.1518021064,0,0.1978906
5,1,edgegpu,cifar10,94.37334,4.7083616,0.4749358967,0.02062068374,0,0.2189322
5,2,edgetpu,cifar10,94.37334,1.1520097,0.3315957112,0.009377869003,0,0.2081042
5,3,eyeriss,cifar10,94.37334,5.36594,0.5478890622,0.01905625668,0,0.1870031
5,4,fpga,cifar10,94.37334,4.57296,0.6709113294,0.03140405026,0,0.1834821
5,5,pixel3,cifar10,94.37334,14.6576,0.4816255854,0.06733811429,0,0.2158643
5,6,raspi4,cifar10,94.37334,36.995617,0.6649388315,0.1300993128,0,0.2685958
5,7,edgegpu,cifar100,73.513336,5.3523636,0.3325954465,0.01030958094,0,0.2524278
