run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,94.37334,0.5385971,0.8417072587,0.02156147066,0,1.9588979
1,2,edgetpu,cifar10,94.37334,0.35215905,0.8549079789,0.0179840249,0,1.6887991
1,3,eyeriss,cifar10,94.37334,1.67954,0.8319580818,0.008070059113,0,1.4366686
1,4,fpga,cifar10,94.37334,1.13296,0.7808902958,0.05611051497,0,1.6329589
1,5,pixel3,cifar10,94.37334,0.00328479,0.9444134135,0.1024656525,0,1.4260822
1,6,raspi4,cifar10,94.37334,0.0115694,0.9489083556,0.06993967683,0,1.3108772
1,7,edgegpu,cifar100,73.513336,0.5358076,0.8138795986,0.05847064311,0,1.325087
1,8,edgetpu,cifar100,73.166664,0.35558823,0.7896019511,0.08299609928,0,1.4356347
1,9,eyeriss,cifar100,73.16,1.68256,0.8170948275,0.2579609112,0,1.6250617
1,10,fpga,cifar100,73.513336,1.13296,0.7551208103,0.1265307288,0,1.4879868
1,11,pixel3,cifar100,73.513336,0.00884682,0.9396990182,0.1811945842,0,1.3933982
1,12,raspi4,cifar100,73.513336,0.0153652,0.9229593045,0.4193330741,0,1.3287667
1,13,edgegpu,ImageNet16-120,46.766666,0.5339527,0.7795170182,0.07747094589,0,1.5230759
1,14,edgetpu,ImageNet16-120,47.033333,0.3602526,0.8414494507,0.02161124464,0,1.2739255
1,15,eyeriss,ImageNet16-120,47.31111,0.42304,0.7743108839,0.001780869565,0,1.460575
1,16,fpga,ImageNet16-120,47.31111,0.28432,0.7397365529,0.09270210752,0,1.3957768
1,17,pixel3,ImageNet16-120,46.533333,0.00528942,0.8539524682,0.2862507542,0,1.4936505
1,18,raspi4,ImageNet16-120,47.033333,0.0115627,0.874904363,0.1302656361,0,1.3905466
2,1,edgegpu,cifar10,94.37334,0.5398178,0.8417937673,0.02743442661,0,1.4938782
2,2,edgetpu,cifar10,94.37334,0.35215905,0.8548752155,0.0300753183,0,1.3386953
2,3,eyeriss,cifar10,94.34333,1.67954,0.8297093911,0.03218828571,0,1.3486495
2,4,fpga,cifar10,94.13,1.13296,0.777560811,0.1048868623,0,1.4528705
2,5,pixel3,cifar10,94.34333,0.00327686,0.9423976256,0.06949046684,0,1.4650535
2,6,raspi4,cifar10,94.37334,0.01137756,0.9492226712,0.08164325299,0,1.4358481
2,7,edgegpu,cifar100,73.513336,0.5393505,0.8131931341,0.04313351408,0,1.4678956
2,8,edgetpu,cifar100,73.513336,0.35524306,0.7954769437,0.01718937279,0,1.261813
