context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std
1,edgegpu,cifar10,94.2596695,0.1129871021,0.6254468,0.2697305178,0.8464573702,0.0004242897283,0.02637176138,0.008958321511,0,0,0.14257136,0.01788328963
2,edgetpu,cifar10,94.366672,0.020004,0.351841459,0.002686146758,0.837278279,0.012402506,0.01491187855,0.005438886065,0,0,0.17283253,0.04572135451
3,eyeriss,cifar10,94.225001,0.1353214569,1.67954,0,0.8218321906,0.007608205529,0.08426696862,0.03371478391,0,0,0.13299939,0.02510199341
4,fpga,cifar10,94.2173345,0.1502734937,1.13296,0,0.8418063854,0.006518272867,0.09863619551,0.03958103111,0,0,0.1285194,0.009736633492
5,pixel3,cifar10,94.0963345,0.200454311,0.004014635,0.0004918793573,0.9486294436,0.002747364188,0.1646074938,0.06657501112,0,0,0.17197425,0.03508977077
6,raspi4,cifar10,94.097,0.2274322952,0.263363912,0.7553630503,0.946861152,0.001944059577,0.1762959099,0.07616656643,0,0,0.15420772,0.02822991044
7,edgegpu,cifar100,73.4500024,0.1900008,0.813355441,0.4066867283,0.8117388636,0.007034522826,0.05232620314,0.06966089826,0,0,0.15674701,0.02758427685
8,edgetpu,cifar100,73.513336,0,0.365199338,0.02242486368,0.7897594006,0.01442107931,0.02883488204,0.01509336601,0,0,0.16595195,0.0187300939
9,eyeriss,cifar100,73.2353336,0.1510280822,1.879168,0.2142486009,0.8512003225,0.01264157131,0.07193974577,0.03306519665,0,0,0.14348115,0.01452177576
10,fpga,cifar100,73.2640002,0.1993827145,1.236,0.20608,0.7650828525,0.003790779194,0.08476550267,0.02984010774,0,0,0.13169766,0.01078219737
11,pixel3,cifar100,72.5473336,0.8121762423,0.576384811,0.6971619584,0.936622954,0.007434517238,0.2296444404,0.1369157863,0,0,0.14323885,0.01327589253
12,raspi4,cifar100,72.572,0.9403488714,0.3237717219,0.7634027607,0.9058466245,0.003766619571,0.2792926041,0.1079798279,0,0,0.15649546,0.01834521379
13,edgegpu,ImageNet16-120,47.1044442,0.1726474498,0.734248156,0.3502112751,0.7736393837,0.01167614894,0.07134975949,0.05737502394,0,0,0.15211059,0.01046544883
14,edgetpu,ImageNet16-120,47.31111,0,0.364387634,0.01038123371,0.7786977862,0.01500639088,0.03193162948,0.01646578051,0,0,0.17879434,0.05199228303
15,eyeriss,ImageNet16-120,47.2833323,0.0833331,0.45376,0.04121520496,0.7733834717,0.01041349199,0.04774888962,0.0318218542,0,0,0.13214108,0.01523574765
16,fpga,ImageNet16-120,47.2833323,0.0833331,0.31504,0.04692557512,0.7502256565,0.01514033323,0.06357789651,0.02587921399,0,0,0.15414981,0.03591925871
17,pixel3,ImageNet16-120,47.0411105,0.2608646934,0.134009578,0.1952791531,0.9015616354,0.003897678508,0.09862104892,0.0552766151,0,0,0.16054101,0.0309917168
18,raspi4,ImageNet16-120,46.9666664,0.2648542716,0.01198567805,0.0003377042193,0.8237040286,0.001819207085,0.1253568289,0.04414862768,0,0,0.17022321,0.01872790764
