context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,spacing_mean,spacing_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std,evaluations_mean,evaluations_std,hv_median,hv_iqr,igd_plus_median,igd_plus_iqr,spacing_median,spacing_iqr,runtime_median,runtime_iqr
1,edgegpu,cifar10,94.37334,0,0.505105976,0.011163708,0.9996331074,0.0004394078428,0.006681342093,0.005251708259,15.80298271,0.6641220707,0,0,0.39675691,0.02999679453,15553,58.04825579,0.9998325658,0.0005041570519,0.006126631786,0.009935022885,15.71930054,1.357913844,0.3885455,0.0406344
2,edgetpu,cifar10,94.37334,0,0.348229866,0.002572254728,0.99785562,0.002326359401,0.002636444945,0.002228705434,0.5786124893,0.01793206729,0,0,0.40723803,0.0878800821,15041.6,63.03522825,0.9986927805,0.001937307631,0.0017180066,0.002515004498,0.5787470099,0.02579658354,0.37158505,0.0194353
3,eyeriss,cifar10,94.37334,0,1.67954,0,0.998896437,0.001104464927,0.007630756164,0.007754598056,0.7461337894,0.01583942089,0,0,0.35419196,0.04253790459,15328.3,64.44385153,0.9992632405,0.001250936564,0.005673452055,0.01055013699,0.7382164727,0.02724488341,0.34099495,0.0139623
4,fpga,cifar10,94.37334,0,1.13296,0,0.998311014,0.001653414303,0.008757130081,0.007432473038,0.7171544125,0.02683365365,0,0,0.37743331,0.01577406307,15745.2,51.68133125,0.9990589154,0.003083413306,0.004986276423,0.01475634146,0.7066100388,0.007726565649,0.37284685,0.0207108
5,pixel3,cifar10,94.37334,0,0.00327686,0,0.9997602168,0.0001090764844,0.01372726457,0.008610659449,11.98090741,0.297082882,0,0,0.48203614,0.02393527212,15804.7,52.98499788,0.999753395,0.0001054179928,0.01096843357,0.007615304748,12.02939148,0.4342718776,0.48732245,0.0427227
6,raspi4,cifar10,94.37334,0,0.011288164,1.3992e-05,0.9996808829,0.0002367771757,0.02590766201,0.009723566845,12.51542023,0.5154870247,0,0,0.489712,0.05083556231,15926.8,62.69417836,0.9997311584,0.0003292203262,0.0280187568,0.0129979872,12.66659888,0.6819559332,0.47419495,0.0480248
7,edgegpu,cifar100,73.513336,0,0.5058527,0,0.9995728751,0.0006661052798,0.007162405737,0.009368758484,12.28754593,0.5557998028,0,0,0.39790415,0.01774462406,15587.1,77.6678183,0.9998945095,0.0002595330734,0.002638776257,0.008450521758,12.44065966,1.130422506,0.4011504,0.0362177
8,edgetpu,cifar100,73.513336,0,0.35493976,0,0.9981326721,0.001780493966,0.002479971854,0.001839146815,0.743731537,0.04762313897,0,0,0.39702061,0.01735539729,15190.7,71.37653676,0.9987260288,0.001004795664,0.002076048428,0.002213331685,0.7525767007,0.03663371408,0.392183,0.0314959
9,eyeriss,cifar100,73.513336,0,1.68256,0,0.9978612201,0.002116490702,0.02298073813,0.01560196158,1.467118009,0.01423219856,0,0,0.35399542,0.03149427916,15310.7,66.1,0.9989756806,0.003104807592,0.0175194031,0.01369597361,1.470218445,0.01916717659,0.34328885,0.0183059
10,fpga,cifar100,73.513336,0,1.13296,0,0.9978624179,0.001706856279,0.02097647972,0.01267057366,1.336320248,0.07822957527,0,0,0.39601848,0.04424416469,15680.1,61.23797841,0.9980696062,0.002309730275,0.01845975524,0.01738944056,1.311364283,0.1372595466,0.3879485,0.0347033
