context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,spacing_mean,spacing_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std,evaluations_mean,evaluations_std,hv_median,hv_iqr,igd_plus_median,igd_plus_iqr,spacing_median,spacing_iqr,runtime_median,runtime_iqr
1,edgegpu,cifar10,94.37334,0,0.505105976,0.011163708,0.9998034491,0.0001900345156,0.002649606275,0.001724078619,15.24190038,0.5169406701,0,0,0.35438294,0.02192703815,10050,0,0.9998899739,0.0003036161414,0.003116255455,0.003648694727,15.24671905,0.3839326095,0.3512484,0.0323306
2,edgetpu,cifar10,94.37334,0,0.348229866,0.002572254728,0.9966262346,0.002221931793,0.00284472214,0.002138498391,0.6125961671,0.02675622897,0,0,0.38950843,0.0544722372,10050,0,0.9975532441,0.001243535805,0.001857017951,0.0009366682637,0.6150825483,0.04404613633,0.38055795,0.03057749999
3,eyeriss,cifar10,94.37334,0,1.67954,0,0.998935274,0.0007659379258,0.009304761111,0.006740822143,0.7444018337,0.01621023541,0,0,0.33058705,0.05927789057,10050,0,0.998861093,0.001264309812,0.01015047222,0.00907,0.7387863395,0.0241731671,0.30288075,0.0206936
4,fpga,cifar10,94.37334,0,1.13296,0,0.9985656032,0.0008190332776,0.005478684298,0.003416101853,0.7505681548,0.03155487069,0,0,0.31305168,0.02193131993,10050,0,0.9984252959,0.001398507968,0.005675371901,0.003994380165,0.7661817808,0.07135081161,0.3107072,0.0132745
5,pixel3,cifar10,94.37334,0,0.003290836,3.677457551e-05,0.999706714,0.0001305697241,0.01439038594,0.007100368299,11.87620327,0.5014021433,0,0,0.45731508,0.118789917,10050,0,0.9997399041,0.0001724693917,0.01310910238,0.01184364479,11.89492504,0.847235068,0.41426645,0.0482969
6,raspi4,cifar10,94.37334,0,0.011284828,3.984e-06,0.9996541758,0.0002254220423,0.02918387793,0.01663826074,12.57846959,0.4109616272,0,0,0.44866447,0.08328468285,10050,0,0.9997572881,0.0003575067548,0.02370611558,0.01322257808,12.45623409,0.4929141043,0.40278655,0.0717194
7,edgegpu,cifar100,73.513336,0,0.5058527,0,0.9998755152,5.90583522e-05,0.002067089086,0.002402458657,12.78280544,0.3355077477,0,0,0.3828036,0.07309945913,10050,0,0.9998725638,0.000111919907,0.001437291525,0.002989342938,12.90528254,0.3255461315,0.35353745,0.0600657
8,edgetpu,cifar100,73.513336,0,0.35503075,0.0001389895208,0.9986588531,0.0007029384843,0.001244369433,0.0005301215502,0.757134768,0.04352739011,0,0,0.40136674,0.05132400437,10050,0,0.9988192714,0.000345221904,0.001209101282,0.0007737804332,0.7529599086,0.06232273694,0.38368925,0.03635420001
9,eyeriss,cifar100,73.513336,0,1.68256,0,0.9987416824,0.001164183969,0.01606769925,0.01330206739,1.48597449,0.0267839284,0,0,0.30759616,0.0132060577,10050,0,0.9988299951,0.001584280614,0.01878793233,0.02457736842,1.486374479,0.03144961132,0.30760845,0.0179851
10,fpga,cifar100,73.4880024,0.0760008,1.13296,0,0.9959576086,0.002599098552,0.03359782481,0.01903477429,1.363302795,0.06888563613,0,0,0.34310203,0.07808697224,10050,0,0.9966682572,0.002821624731,0.0327127907,0.02419511628,1.343373318,0.08513218231,0.3174213,0.0202229
11,pixel3,cifar100,73.513336,0,0.0087526,0,0.9990347726,0.0009606674931,0.04059877387,0.02228109156,10.32047591,0.2622141041,0,0,0.40336332,0.05804233567,10050,0,0.9993651997,0.001395684255,0.04128613324,0.04563406253,10.31604877,0.4541868916,0.3841821,0.0233521
12,raspi4,cifar100,73.513336,0,0.01521528,0,0.9991955059,0.0006314883157,0.03410492262,0.0144044151,9.600429248,0.4529193705,0,0,0.41873219,0.05279747151,10050,0,0.9995071069,0.001272036509,0.0298794836,0.01421827289,9.578529503,0.4264576063,0.4089108,0.0330242
13,edgegpu,ImageNet16-120,47.1599996,0.1850716874,0.5339527,0,0.9992728215,0.0003680444607,0.01227682621,0.007422946388,5.118354828,0.2148837158,0,0,0.38842707,0.04125767053,10050,0,0.9990820565,0.0005888714686,0.01035094235,0.01244034228,5.083396344,0.3169375183,0.37159685,0.0287747
14,edgetpu,ImageNet16-120,47.2733324,0.1133328,0.35848759,0.00037773,0.997314728,0.00182795863,0.004064477092,0.006054198003,1.050465198,0.03708198595,0,0,0.38762527,0.04554036157,10050,0,0.9979913679,0.001550987054,0.002053849621,0.002658685313,1.041287308,0.07737451246,0.37763995,0.048606
15,eyeriss,ImageNet16-120,47.31111,0,0.42304,0,0.9990429307,0.001341777241,0.005379662162,0.006142082684,1.597252942,0.01423644268,0,0,0.30532984,0.01761743936,10050,0,0.9998424557,0.00224496989,0.002802837838,0.00940972973,1.60015496,0.003634128664,0.30115345,0.02145780001
16,fpga,ImageNet16-120,47.2733324,0.1133328,0.28432,0,0.9958154744,0.005488703457,0.01878896232,0.02312608153,1.354681475,0.01865890891,0,0,0.32556057,0.01424369118,10050,0,0.9982070378,0.003832812163,0.01079750714,0.01709232457,1.358046449,0.01919279863,0.32721505,0.02553870001
17,pixel3,ImageNet16-120,47.2733324,0.1133328,0.005363363,0.0001130118294,0.9986243459,0.001423703729,0.01643872233,0.009625124083,4.315163556,0.1841649755,0,0,0.42958332,0.01611525242,10050,0,0.9990939874,0.0007824038758,0.01258352349,0.0126346988,4.276319503,0.2995063304,0.42584465,0.02017040001
18,raspi4,ImageNet16-120,47.2555546,0.1111108,0.011514844,2.088e-06,0.9980183493,0.0005202674425,0.01488572457,0.003877444122,3.92305071,0.05100200451,0,0,0.45633741,0.02639696202,10050,0,0.9980334879,0.0008187186673,0.0138239976,0.006762622317,3.918889264,0.09757308147,0.454264,0.022187
