context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,spacing_mean,spacing_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std,evaluations_mean,evaluations_std,hv_median,hv_iqr,igd_plus_median,igd_plus_iqr,spacing_median,spacing_iqr,runtime_median,runtime_iqr
1,edgegpu,cifar10,94.37334,0,0.508827212,0.014884944,0.9999799464,4.050904777e-05,0.001109443637,0.001960977347,15.21781922,0.087259056,0,0,0.53535352,0.02286925298,16407.6,66.53901111,1,8.243315249e-06,0,0.001359281022,15.24688142,0.0001011676552,0.52851035,0.0442736
2,edgetpu,cifar10,94.37334,0,0.349913802,0.002749855973,0.9991646339,0.0004611807003,0.0005915793278,0.000361320343,0.5794990811,0.01105278569,0,0,0.52688826,0.04585057442,15971.1,95.2065649,0.9990453527,0.0006906467054,0.00051946,0.000473720083,0.5824295313,0.01683730221,0.5118856,0.0410427
3,eyeriss,cifar10,94.37334,0,1.67954,0,0.9993130617,0.0006022192991,0.004371384211,0.00335339827,0.7357826055,0.004508962721,0,0,0.50164663,0.03503676382,16564,43.88621651,0.9995017625,0.0006466426748,0.004128289474,0.005438473684,0.7370978523,0.0033961803,0.4932445,0.01692570001
4,fpga,cifar10,94.37334,0,1.13296,0,0.9987968342,0.00115051932,0.0074868288,0.006660005824,0.7171591525,0.03189641161,0,0,0.47020318,0.02679354752,16276.3,103.8913375,0.9994599437,0.00238053932,0.004199872,0.012824,0.704940185,0.05896112587,0.4694218,0.0459726
5,pixel3,cifar10,94.37334,0,0.003308687,9.5481e-05,0.999835881,0.0001203490328,0.004329547183,0.003383259546,11.87628069,0.2421830872,0,0,0.71378423,0.04108341949,16277.7,55.53566422,0.9998868407,0.0001353953708,0.003822677193,0.005698378251,11.88139623,0.2885642144,0.7195782,0.0543775
6,raspi4,cifar10,94.37334,0,0.011286156,5.312e-06,0.9998821661,9.748851814e-05,0.01007861789,0.005407364246,12.7518603,0.2795375075,0,0,0.63046032,0.03036724114,16178.2,58.13226299,0.9999118582,8.608455928e-05,0.008398755301,0.008408971429,12.75424405,0.4839032345,0.6267659,0.0259383
7,edgegpu,cifar100,73.513336,0,0.5058527,0,0.9999732329,3.574794956e-05,0.0004492963918,0.0008171403066,12.69504686,0.2132969628,0,0,0.52994913,0.02699842937,16349.9,65.0775691,0.9999908086,5.874525734e-05,0.0001370389175,0.0002949525773,12.58517747,0.3269240734,0.52196,0.0551551
8,edgetpu,cifar100,73.513336,0,0.35497009,9.099e-05,0.9992043336,0.0002822343818,0.0005615589016,0.0005001665208,0.7592409522,0.009376558826,0,0,0.61004287,0.09800218938,16122,62.68971207,0.9991927164,0.0001844603709,0.0002640517937,0.0005977382857,0.7585568619,0.0139055226,0.56999975,0.04725259999
9,eyeriss,cifar100,73.513336,0,1.68256,0,0.9994008824,0.0003534337931,0.008406468085,0.005039477079,1.464378209,0.01628485739,0,0,0.48271667,0.02685942919,16603.9,78.67839602,0.9993262164,5.463036601e-05,0.008714893617,0.001742978723,1.471746268,0.0269716428,0.47668865,0.0176623
10,fpga,cifar100,73.513336,0,1.13296,0,0.9983911503,0.001108974808,0.01299609333,0.009583139862,1.345286693,0.04245341196,0,0,0.50369747,0.07463979278,16293.6,79.65701476,0.9989139793,0.001807094742,0.0094534,0.0180446,1.33468961,0.05988904389,0.48228495,0.01513560001
11,pixel3,cifar100,73.513336,0,0.008771444,3.7688e-05,0.9980611731,0.001434961674,0.01196403216,0.003952959806,10.14658567,0.1358257472,0,0,0.66462813,0.04935735459,16412.7,62.02265715,0.9970126189,0.002899866513,0.01176118766,0.004167037969,10.12950385,0.213089449,0.67067605,0.0626265
