context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,spacing_mean,spacing_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std,evaluations_mean,evaluations_std,hv_median,hv_iqr,igd_plus_median,igd_plus_iqr,spacing_median,spacing_iqr,runtime_median,runtime_iqr
1,edgegpu,cifar10,94.37334,0,0.532857894,0.01574359189,0.9984831052,0.0004877120489,0.02454074376,0.008735677819,16.84846319,0.5913449926,0,0,0.25916304,0.0140717241,10050,0,0.9986520628,0.0006274533899,0.0208458495,0.01353583224,16.58515454,0.8264610862,0.2627896,0.015051
2,edgetpu,cifar10,94.37334,0,0.34774548,0.0023991,0.9895151089,0.003243473065,0.01048339435,0.003394260204,0.6197042361,0.05277580496,0,0,0.26810616,0.03357478975,10050,0,0.9881833431,0.004637960751,0.01122133373,0.00339591761,0.5954039712,0.07403820582,0.25114325,0.0396234
3,eyeriss,cifar10,94.37334,0,1.67954,0,0.9961329925,0.001297623963,0.01080949924,0.005895787751,0.7561911389,0.01640003199,0,0,0.27034127,0.01328516535,10050,0,0.9958363926,0.001389537678,0.01095362595,0.007251679389,0.7544938392,0.02315588925,0.2675483,0.02676030001
4,fpga,cifar10,94.37334,0,1.13296,0,0.9905394563,0.003131188666,0.02043803531,0.00732221397,0.763813856,0.03250615446,0,0,0.27230531,0.02774792238,10050,0,0.989760533,0.002718576289,0.01863931868,0.007399626374,0.7610733483,0.02947957902,0.26390255,0.03762709999
5,pixel3,cifar10,94.37334,0,0.003407867,0.0002305942186,0.9994339531,0.0002024049581,0.02432933634,0.007202544338,12.06592567,0.5657720625,0,0,0.3637477,0.03463270768,10050,0,0.9994998644,0.0002181070227,0.02427690932,0.006764067601,11.89136794,0.8749713188,0.35362515,0.03969039999
6,raspi4,cifar10,94.37334,0,0.011335112,5.321075921e-05,0.9992641071,0.0003341785595,0.03891475277,0.01220716665,12.572379,0.3078817542,0,0,0.36460206,0.09823566658,10050,0,0.9993091675,0.000408860819,0.03875274158,0.02005469981,12.60516092,0.3413855352,0.31597145,0.06416930001
7,edgegpu,cifar100,73.513336,0,0.50913572,0.00109434,0.9960730085,0.0007905527868,0.04158770518,0.01067170563,11.91569249,0.9343123043,0,0,0.27141957,0.02407766689,10050,0,0.9959873244,0.001101634937,0.04107432849,0.0110503977,11.70602873,0.9635610134,0.26418275,0.0433861
8,edgetpu,cifar100,73.513336,0,0.355354182,0.0002301951095,0.989009234,0.002702410098,0.009762468832,0.003187422691,0.8013010703,0.06668798232,0,0,0.29706676,0.02719422842,10050,0,0.9886425403,0.003561782913,0.009382714477,0.003202365822,0.8158295665,0.1010425229,0.28709085,0.0414692
9,eyeriss,cifar100,73.513336,0,1.68256,0,0.9963105246,0.003118903301,0.02881085628,0.02043226923,1.499330712,0.04054763231,0,0,0.28154156,0.03302673937,10050,0,0.9978105795,0.006295676674,0.02378935484,0.03593004393,1.496190724,0.07287275977,0.2715194,0.0142371
10,fpga,cifar100,73.513336,0,1.13296,0,0.9921716592,0.00254994439,0.05238590836,0.02394907212,1.443928875,0.0325231202,0,0,0.28451235,0.02933801527,10050,0,0.9913862008,0.004013636508,0.05435412981,0.03528773196,1.443277752,0.0357335649,0.280095,0.008645199996
