run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,spacing,c_metric,runtime_sec,evaluations
1,1,edgegpu,cifar10,93.98,1.7644501,0.504490441,0.002043165625,0.3528734483,0,0.9800983,10000
1,2,edgetpu,cifar10,94.30666,0.4818256,0.9919474125,0.0002456002239,0.2515912413,0,1.0114889,10000
1,3,eyeriss,cifar10,93.75,3.1541,1,0,0.3455075804,0,0.945064,10000
1,4,fpga,cifar10,93.48,2.39056,0.9017393786,0.0358874026,0.3348100859,0,0.9825036,10000
1,5,pixel3,cifar10,90.87,1.61514,0.9470760311,0.01456063131,0.2094693213,0,1.0177079,10000
1,6,raspi4,cifar10,89.82,2.529453,0.9531019751,0.05390254378,0.6949440084,0,1.0145349,10000
1,7,edgegpu,cifar100,73.26,1.7766523,1,0,0.7422511347,0,1.0709717,10000
1,8,edgetpu,cifar100,73.513336,0.7013799,0.9766617735,0.004406402857,0.3832912642,0,0.9983567,10000
1,9,eyeriss,cifar100,72.74,3.40288,1,0.001793868613,0.3812849484,0,0.9797651,10000
1,10,fpga,cifar100,73.16,2.80016,0.9899747341,0.0274961039,0.6052614535,0,1.0135245,10000
1,11,pixel3,cifar100,69.99333,1.67658,0.8390868003,0.07255881557,1.442466818,0,0.9971289,10000
1,12,raspi4,cifar100,67.5,4.8433466,0.9755332329,0.02029803187,0.6853109559,0,0.9996642,10000
1,13,edgegpu,ImageNet16-120,46.933334,1.7633581,0.9874240873,0.01032669223,0.8271038941,0,0.9910525,10000
1,14,edgetpu,ImageNet16-120,47.31111,0.42952296,0.7130698015,0.01600929548,1.593821164,0,0.9467978,10000
1,15,eyeriss,ImageNet16-120,47.31111,0.91456,0.6968266435,0.02263578947,0.9668597276,0,0.9398273,10000
1,16,fpga,ImageNet16-120,47.31111,0.8352,0.8994775264,0.04168864865,1.948287052,0,0.9745462,10000
1,17,pixel3,ImageNet16-120,47.033333,2.20717,0.9064926397,0.194265927,0.6652551224,0,0.9850906,10000
1,18,raspi4,ImageNet16-120,46.666668,3.1081278,0.9658755051,0.08960001489,0.8845905806,0,0.9869599,10000
2,1,edgegpu,cifar10,93.98,1.7644501,0.2137458678,0.01029316562,0.3681410332,0,0.9275527,10000
2,2,edgetpu,cifar10,94.30666,0.48350507,0.895416463,0.007991122261,0.3174325444,0,0.9517567,10000
2,3,eyeriss,cifar10,93.53,3.1541,0.9999999997,0.03666666667,0.4339926585,0,0.9045215,10000
