context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std
1,edgegpu,cifar10,93.8078335,0.2071066088,0.963758457,0.6897740487,0.7679712379,0.07779570202,0.6306121413,0.1710523511,0,0,0.00251981999,0.0005471573159
2,edgetpu,cifar10,93.7940006,0.299763441,0.430724565,0.08485904467,0.8955639638,0.0386756634,0.265450783,0.1057667425,0,0,0.002175680001,0.0005617546453
3,eyeriss,cifar10,94.0026665,0.2619015651,1.851572,0.1573631813,0.9384815761,0.05361072986,0.5701109931,0.2135755563,0,0,0.002170000004,0.0003280714574
4,fpga,cifar10,94.0511665,0.2232535886,1.31792,0.2289769386,0.8878897726,0.04087218741,0.3821200704,0.0959933163,0,0,0.002674759994,0.0004136179231
5,pixel3,cifar10,93.882668,0.3142376341,1.202668968,1.336209223,0.8726528817,0.03125387075,0.6899242902,0.2330482813,0,0,0.002801090002,0.0004770421525
6,raspi4,cifar10,93.8270005,0.3015792999,1.173223904,1.741945897,0.9318870638,0.0172085014,1.041166499,0.3212723361,0,0,0.002728659997,0.0003051738298
7,edgegpu,cifar100,71.4746666,0.9248268639,0.951930043,0.6922399687,0.7821040124,0.04702056115,0.7917064266,0.2946669003,0,0,0.002450090018,0.0005882089603
8,edgetpu,cifar100,72.024667,1.061022445,0.398797217,0.05658584291,0.6960850147,0.04401229155,0.3593678995,0.2435134669,0,0,0.001971579995,0.0002329182457
9,eyeriss,cifar100,71.62,1.031852703,2.002048,0.4263776643,0.9030857764,0.05214306233,0.8496745202,0.3236151279,0,0,0.002137879981,0.0004412189293
10,fpga,cifar100,71.5650006,1.217835282,1.35888,0.2931423572,0.8742460828,0.03414651648,0.7499869794,0.334087905,0,0,0.002630529995,0.0004437208733
11,pixel3,cifar100,71.368667,0.8846053526,0.920094252,0.9751033025,0.8882648867,0.01425969533,1.135145629,0.2438686851,0,0,0.002860219998,0.0008334986164
12,raspi4,cifar100,71.4499994,0.8563960986,1.667363326,1.753939613,0.9027532665,0.009518259436,1.403360311,0.3185043246,0,0,0.002620150021,0.0004869278152
13,edgegpu,ImageNet16-120,45.3338887,1.047573786,1.268451692,0.897081831,0.7127743406,0.04871275002,0.8276782131,0.3210682787,0,0,0.00238702005,0.0005417305107
14,edgetpu,ImageNet16-120,45.7044446,0.870800981,0.433041682,0.04008047982,0.6883218073,0.04268125886,0.219475377,0.1735198671,0,0,0.002119799971,0.0006290656794
15,eyeriss,ImageNet16-120,44.9433331,1.001214525,0.502912,0.04798617401,0.7733425162,0.02433915902,0.4891855292,0.2633677415,0,0,0.001969209977,0.0002535936388
16,fpga,ImageNet16-120,45.1966665,0.8228682761,0.37936,0.07260615952,0.7670079665,0.03023648435,0.3751907789,0.1697810281,0,0,0.002583410009,0.0002945069067
17,pixel3,ImageNet16-120,45.4444442,0.9876392645,0.196700491,0.3139085505,0.8276717079,0.01949847962,0.5729667471,0.2573745476,0,0,0.003002899978,0.0007188497651
18,raspi4,ImageNet16-120,45.5799997,0.7989192204,0.394911942,0.5458358658,0.8332590487,0.01408555603,0.7624475255,0.3211787964,0,0,0.002953980002,0.00069070575
