run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,94.206665,0.54205894,0.8225330227,0.8186147844,0,0.002633500029
1,2,edgetpu,cifar10,93.48,0.3620873,0.9245200083,0.3009132432,0,0.002059099963
1,3,eyeriss,cifar10,93.78,1.67954,0.9724666489,0.8880117228,0,0.003035499947
1,4,fpga,cifar10,94.206665,1.13296,0.92163308,0.3580706216,0,0.002898999956
1,5,pixel3,cifar10,93.74,2.38241,0.8794117576,0.5111011333,0,0.002465600031
1,6,raspi4,cifar10,93.47,0.61900085,0.9444192019,1.045882871,0,0.00237839995
1,7,edgegpu,cifar100,71.28,2.7467728,0.6488198419,1.315399787,0,0.002425200073
1,8,edgetpu,cifar100,71.4,0.35558823,0.6574836343,0.4236887558,0,0.001737799961
1,9,eyeriss,cifar100,73,1.68256,0.8102726273,0.8439413138,0,0.001835400006
1,10,fpga,cifar100,71.12,1.13296,0.8788714525,0.7461968615,0,0.002680900041
1,11,pixel3,cifar100,72.64667,0.0101673,0.8942178259,1.038551382,0,0.00508849998
1,12,raspi4,cifar100,72.39333,0.0668666,0.906206093,1.058182513,0,0.002430299995
1,13,edgegpu,ImageNet16-120,46.3,0.55312157,0.7487726,0.4993772223,0,0.001964300056
1,14,edgetpu,ImageNet16-120,46.25,0.41751924,0.6655849299,0.1196294878,0,0.003903699922
1,15,eyeriss,ImageNet16-120,44.033333,0.48448,0.7813612863,0.694485,0,0.002251200029
1,16,fpga,ImageNet16-120,43.466667,0.48912,0.720601598,0.7116303194,0,0.002916299971
1,17,pixel3,ImageNet16-120,46.833332,0.967815,0.7988831753,0.5962767433,0,0.004725900013
1,18,raspi4,ImageNet16-120,46.833332,0.01183532,0.8418025246,0.4194289847,0,0.002615100006
2,1,edgegpu,cifar10,93.79,0.54914474,0.8362359483,0.6583371981,0,0.003083599964
2,2,edgetpu,cifar10,94,0.376123,0.9393187694,0.1024770534,0,0.00136600004
2,3,eyeriss,cifar10,93.75667,1.9253,0.9501780899,0.4278967742,0,0.001891499967
2,4,fpga,cifar10,94.045,1.13296,0.9123848807,0.5814217402,0,0.00287029997
2,5,pixel3,cifar10,93.59,3.32785,0.8377310273,1.031761543,0,0.003210399998
2,6,raspi4,cifar10,93.83667,0.0119994,0.9172066209,1.396215039,0,0.002706700005
2,7,edgegpu,cifar100,72.746666,1.4289379,0.8319255323,0.1789944214,0,0.002843099996
2,8,edgetpu,cifar100,72.74,0.36116347,0.7080651903,0.1485717552,0,0.001954700099
2,9,eyeriss,cifar100,71.74,3.15712,0.8097016482,0.7040548859,0,0.001957200002
2,10,fpga,cifar100,70.58,1.13296,0.9200237996,0.8226600324,0,0.002617200022
2,11,pixel3,cifar100,70.64,0.433486,0.891888064,0.9814376078,0,0.002722600009
2,12,raspi4,cifar100,70.98,2.799183,0.9030850176,1.460045458,0,0.002544200048
2,13,edgegpu,ImageNet16-120,46.25,0.5518389,0.7497814038,0.3889892791,0,0.003132099984
2,14,edgetpu,ImageNet16-120,45.18889,0.36086354,0.7605116913,0.2044970941,0,0.002014699974
2,15,eyeriss,ImageNet16-120,44.844444,0.48448,0.7931722102,0.4463693373,0,0.001964099938
2,16,fpga,ImageNet16-120,44.866665,0.41552,0.7673569324,0.3657340221,0,0.002163799945
2,17,pixel3,ImageNet16-120,45.266666,0.00652833,0.8165311309,0.7404110649,0,0.002638299949
2,18,raspi4,ImageNet16-120,45.6,0.01154458,0.8239824158,1.278186937,0,0.003474599915
3,1,edgegpu,cifar10,93.57,0.61127186,0.6893202184,0.7517000089,0,0.002142199897
