context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std
1,edgegpu,cifar10,94.1165005,0.1379924095,1.51608514,0.4875376451,0.8014748706,0.001915497031,0.181688753,0.0547911564,0,0,0.10598606,0.008588687431
2,edgetpu,cifar10,94.1419995,0.1252387844,0.525969855,0.08444859557,0.7736020093,0.04396266225,0.1055286973,0.03833532148,0,0,0.10461141,0.003857605215
3,eyeriss,cifar10,94.1476675,0.1916071429,2.982068,0.6024880458,0.7456949202,0.02028163951,0.402743551,0.05539815825,0,0,0.10151352,0.003734929113
4,fpga,cifar10,94.1091661,0.09552575191,2.38608,0.2914889116,0.7515230747,0.02540587969,0.212283684,0.04617791949,0,0,0.10513712,0.003631678755
5,pixel3,cifar10,94.0426675,0.1182634958,5.257016,2.364131984,0.7196680647,0.01929935857,0.7966647173,0.389956078,0,0,0.11630871,0.004590248886
6,raspi4,cifar10,94.1458334,0.1597976412,19.0893618,1.166821981,0.7282085713,0.03143617554,0.5021947174,0.2632618086,0,0,0.11529112,0.008377203142
7,edgegpu,cifar100,71.605667,0.4312870668,0.529267786,0.01387064112,0.7220874579,0.09086281918,0.3372722751,0.1182824851,0,0,0.13781204,0.03414346681
8,edgetpu,cifar100,72.621333,0.4769889158,0.56583854,0.07707642213,0.6095321638,0.01539955406,0.2159623948,0.06345070795,0,0,0.10793028,0.007891014338
9,eyeriss,cifar100,72.8673332,0.3860163822,2.641024,0.5207561036,0.6740413932,0.02134241866,0.5522342454,0.1732608594,0,0,0.1039089,0.007592800868
10,fpga,cifar100,72.4619994,0.6382266917,2.27088,0.4517856058,0.6421172861,0.01852912777,0.4216392726,0.1596676386,0,0,0.10582489,0.003447356205
11,pixel3,cifar100,71.487999,0.7105970466,0.008902709,9.634482004e-05,0.8457259914,0.07552534164,1.203059178,0.5777418593,0,0,0.13584515,0.01790671158
12,raspi4,cifar100,71.7223332,0.8674636565,2.738696634,5.89160228,0.7981050928,0.09319584769,2.832022899,4.065357435,0,0,0.14529844,0.04408970307
13,edgegpu,ImageNet16-120,46.0466671,0.6328998718,0.537860386,0.004253355022,0.7295280741,0.1087954895,0.2467501443,0.1561360184,0,0,0.14520921,0.03011242215
14,edgetpu,ImageNet16-120,46.3344442,0.2857280621,0.540680891,0.03255434874,0.7610994298,0.03979144065,0.1485591064,0.07871650591,0,0,0.10999177,0.009181835136
15,eyeriss,ImageNet16-120,46.4327779,0.4471194641,0.73024,0.1401047562,0.689261233,0.02579001046,0.2320986771,0.101213492,0,0,0.10095651,0.00290034696
16,fpga,ImageNet16-120,46.5472226,0.250495899,0.739328,0.1726066296,0.7091322114,0.02246302683,0.2269965676,0.08960558784,0,0,0.1148607,0.005857240906
17,pixel3,ImageNet16-120,46.0877779,0.5554988336,0.113411994,0.2220587546,0.8092194996,0.04448327466,0.5589100095,0.179232029,0,0,0.14479522,0.02713340372
18,raspi4,ImageNet16-120,45.8222221,1.012758173,0.879082147,1.224046686,0.6959114748,0.06752376955,0.8061145181,0.5828719789,0,0,0.14381873,0.02209578942
