run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,93.986664,1.7384672,0.8037655128,0.2520372959,0,0.08842400002
1,2,edgetpu,cifar10,94.13,0.6281673,0.7175375656,0.1212297428,0,0.09926230001
1,3,eyeriss,cifar10,94.21667,3.39986,0.7250035235,0.4036794895,0,0.1064399
1,4,fpga,cifar10,94.02,2.39056,0.7542293036,0.2792386307,0,0.1052391
1,5,pixel3,cifar10,94.09,7.52619,0.6880695697,1.291520915,0,0.1180584
1,6,raspi4,cifar10,94.37334,20.571022,0.7715513548,0.8067842221,0,0.1107777
1,7,edgegpu,cifar100,72.01,0.5358076,0.7191098554,0.3268830469,0,0.1765485
1,8,edgetpu,cifar100,73.513336,0.6364329,0.6239470621,0.1345060864,0,0.1100155
1,9,eyeriss,cifar100,73.09333,2.17408,0.6902853908,0.6256527082,0,0.1097905
1,10,fpga,cifar100,72.64667,1.64816,0.6557043434,0.369965875,0,0.1017537
1,11,pixel3,cifar100,72.09333,0.0088914,0.7539480135,1.939067302,0,0.1646008
1,12,raspi4,cifar100,70.42,0.01524302,0.8867639797,0.6597850246,0,0.1227012
1,13,edgegpu,ImageNet16-120,45.666668,0.53904533,0.7090337837,0.2333350852,0,0.1771077
1,14,edgetpu,ImageNet16-120,46.333332,0.55001354,0.7419176564,0.1928453629,0,0.1263043
1,15,eyeriss,ImageNet16-120,45.9,0.54592,0.709883527,0.3223114183,0,0.1018129
1,16,fpga,ImageNet16-120,46.71111,0.8768,0.6704521373,0.371074928,0,0.1109805
1,17,pixel3,ImageNet16-120,45.744446,0.00567089,0.786122959,0.674075942,0,0.1600041
1,18,raspi4,ImageNet16-120,46.3,0.01151902,0.7522544301,0.5606215936,0,0.1526571
2,1,edgegpu,cifar10,94.293335,1.774683,0.8009039514,0.1119293117,0,0.1061013
2,2,edgetpu,cifar10,94.01,0.6285335,0.7027218417,0.1787314805,0,0.1059265
