run_id,context_id,archid,device,dataset,accuracy,latency,runtime_sec,evaluations
1,1,10835,edgegpu,cifar10,93.730000,4.564652,0.012117,548
1,1,2776,edgegpu,cifar10,93.666664,3.331194,0.012117,548
1,1,11692,edgegpu,cifar10,94.130000,4.708362,0.012117,548
1,1,5328,edgegpu,cifar10,91.820000,1.782737,0.012117,548
1,1,7636,edgegpu,cifar10,92.270000,2.802658,0.012117,548
1,1,8931,edgegpu,cifar10,92.096664,2.501216,0.012117,548
1,2,14612,edgetpu,cifar10,86.496666,0.354984,0.015515,452
1,2,14937,edgetpu,cifar10,86.560000,0.370913,0.015515,452
1,2,13434,edgetpu,cifar10,88.656670,0.397222,0.015515,452
1,2,10154,edgetpu,cifar10,94.090000,0.909960,0.015515,452
1,2,577,edgetpu,cifar10,93.170000,0.629325,0.015515,452
1,2,5552,edgetpu,cifar10,86.526665,0.357660,0.015515,452
1,2,10209,edgetpu,cifar10,88.640000,0.391129,0.015515,452
1,2,13047,edgetpu,cifar10,86.390000,0.353481,0.015515,452
1,2,733,edgetpu,cifar10,93.100000,0.629019,0.015515,452
1,2,9782,edgetpu,cifar10,93.305000,0.629515,0.015515,452
1,2,10484,edgetpu,cifar10,93.810000,0.738188,0.015515,452
1,2,3274,edgetpu,cifar10,92.046670,0.485540,0.015515,452
1,3,2371,eyeriss,cifar10,92.586670,3.399860,0.012246,596
1,3,13171,eyeriss,cifar10,93.530000,3.891380,0.012246,596
1,3,6600,eyeriss,cifar10,92.033330,3.154100,0.012246,596
1,3,479,eyeriss,cifar10,90.620000,2.416820,0.012246,596
1,3,6515,eyeriss,cifar10,93.616670,4.628660,0.012246,596
1,3,7407,eyeriss,cifar10,93.510000,3.645620,0.012246,596
1,3,12002,eyeriss,cifar10,93.510000,3.645620,0.012246,596
1,4,6725,fpga,cifar10,92.133330,2.390560,0.012609,560
1,4,6999,fpga,cifar10,93.820000,4.163360,0.012609,560
1,4,12049,fpga,cifar10,89.640000,2.057760,0.012609,560
1,4,3288,fpga,cifar10,84.163330,1.132960,0.012609,560
1,4,4946,fpga,cifar10,93.690000,3.648160,0.012609,560
1,4,2324,fpga,cifar10,93.120000,3.420960,0.012609,560
1,4,355,fpga,cifar10,93.045000,2.905760,0.012609,560
1,5,6358,pixel3,cifar10,92.136665,6.066150,0.027282,464
1,5,3071,pixel3,cifar10,10.000000,0.030546,0.027282,464
1,5,12610,pixel3,cifar10,92.770000,10.007000,0.027282,464
1,5,7197,pixel3,cifar10,90.366670,2.447670,0.027282,464
1,5,6854,pixel3,cifar10,91.040000,4.514220,0.027282,464
1,5,10318,pixel3,cifar10,90.430000,3.097330,0.027282,464
1,5,5689,pixel3,cifar10,92.670000,9.102010,0.027282,464
1,5,8853,pixel3,cifar10,93.260000,11.617000,0.027282,464
1,5,10872,pixel3,cifar10,93.810000,17.213900,0.027282,464
1,5,10678,pixel3,cifar10,92.176670,8.949590,0.027282,464
1,5,10293,pixel3,cifar10,86.513336,1.468660,0.027282,464
1,5,9715,pixel3,cifar10,92.830000,10.765800,0.027282,464
1,5,1781,pixel3,cifar10,89.883330,1.712020,0.027282,464
1,5,7124,pixel3,cifar10,90.835000,3.975450,0.027282,464
1,6,12451,raspi4,cifar10,93.700000,31.439526,0.013927,440
1,6,8736,raspi4,cifar10,93.730000,39.496530,0.013927,440
1,6,2200,raspi4,cifar10,89.483330,5.191934,0.013927,440
1,6,10430,raspi4,cifar10,90.670000,10.012257,0.013927,440
1,6,3022,raspi4,cifar10,86.670000,2.848239,0.013927,440
1,6,7453,raspi4,cifar10,90.120000,9.981564,0.013927,440
1,6,11475,raspi4,cifar10,89.630000,5.256987,0.013927,440
1,6,8090,raspi4,cifar10,90.970000,22.773640,0.013927,440
1,6,10189,raspi4,cifar10,93.780000,40.698654,0.013927,440
1,6,4237,raspi4,cifar10,94.216670,52.082386,0.013927,440
1,6,9972,raspi4,cifar10,93.840000,42.112015,0.013927,440
1,6,14728,raspi4,cifar10,89.790000,7.779413,0.013927,440
1,6,5637,raspi4,cifar10,89.555000,5.224805,0.013927,440
1,6,6925,raspi4,cifar10,93.300000,24.372274,0.013927,440
1,7,5801,edgegpu,cifar100,70.640000,4.356895,0.014553,464
1,7,655,edgegpu,cifar100,72.010000,5.390725,0.014553,464
1,7,12645,edgegpu,cifar100,70.440000,3.369141,0.014553,464
1,7,15615,edgegpu,cifar100,70.460000,3.491230,0.014553,464
1,7,9710,edgegpu,cifar100,68.020000,3.348436,0.014553,464
1,7,14654,edgegpu,cifar100,71.320000,5.206194,0.014553,464
1,7,12918,edgegpu,cifar100,58.260000,1.449375,0.014553,464
1,7,582,edgegpu,cifar100,72.840000,6.204638,0.014553,464
1,7,1996,edgegpu,cifar100,67.820000,2.810884,0.014553,464
1,7,2493,edgegpu,cifar100,58.540000,1.492877,0.014553,464
1,7,6576,edgegpu,cifar100,1.000000,0.605655,0.014553,464
1,7,1263,edgegpu,cifar100,58.400000,1.486254,0.014553,464
1,7,14896,edgegpu,cifar100,67.486664,2.773385,0.014553,464
1,7,2727,edgegpu,cifar100,67.073330,1.880841,0.014553,464
1,8,11859,edgetpu,cifar100,54.830000,0.441855,0.013455,476
1,8,14498,edgetpu,cifar100,55.046665,0.492203,0.013455,476
1,8,8426,edgetpu,cifar100,70.920000,0.729194,0.013455,476
1,8,5244,edgetpu,cifar100,69.760000,0.636723,0.013455,476
1,8,6499,edgetpu,cifar100,70.630000,0.728320,0.013455,476
1,8,3731,edgetpu,cifar100,72.746666,1.281896,0.013455,476
1,8,9997,edgetpu,cifar100,71.520000,0.729986,0.013455,476
1,8,4237,edgetpu,cifar100,73.073330,1.285767,0.013455,476
1,8,13389,edgetpu,cifar100,67.160000,0.594356,0.013455,476
1,8,8961,edgetpu,cifar100,69.060000,0.635137,0.013455,476
1,8,13770,edgetpu,cifar100,67.193340,0.595519,0.013455,476
1,8,6985,edgetpu,cifar100,64.160000,0.500226,0.013455,476
1,8,1781,edgetpu,cifar100,64.326670,0.500275,0.013455,476
1,8,8253,edgetpu,cifar100,70.093330,0.727920,0.013455,476
1,8,9718,edgetpu,cifar100,71.960000,1.234875,0.013455,476
1,8,15459,edgetpu,cifar100,69.360000,0.635761,0.013455,476
1,9,166,eyeriss,cifar100,61.826668,2.174080,0.011508,500
1,9,8189,eyeriss,cifar100,64.446660,2.665600,0.011508,500
1,9,5724,eyeriss,cifar100,58.153330,1.682560,0.011508,500
1,9,6946,eyeriss,cifar100,67.500000,3.157120,0.011508,500
1,9,5573,eyeriss,cifar100,62.966667,2.419840,0.011508,500
1,9,14306,eyeriss,cifar100,69.640000,3.402880,0.011508,500
1,9,12295,eyeriss,cifar100,71.160000,4.631680,0.011508,500
1,9,572,eyeriss,cifar100,70.313330,3.648640,0.011508,500
1,9,6931,eyeriss,cifar100,71.180000,4.877440,0.011508,500
1,10,10828,fpga,cifar100,66.900000,2.390560,0.014545,620
1,10,7897,fpga,cifar100,71.230000,4.163360,0.014545,620
1,10,2778,fpga,cifar100,72.993330,6.163360,0.014545,620
1,10,355,fpga,cifar100,69.860000,2.905760,0.014545,620
1,10,5111,fpga,cifar100,72.373340,5.193760,0.014545,620
1,10,8426,fpga,cifar100,70.920000,4.057760,0.014545,620
1,10,10948,fpga,cifar100,71.510000,4.905760,0.014545,620
1,10,14133,fpga,cifar100,58.320000,1.132960,0.014545,620
1,10,485,fpga,cifar100,67.593330,2.678560,0.014545,620
1,10,7045,fpga,cifar100,63.526670,1.648160,0.014545,620
1,10,9722,fpga,cifar100,70.540000,3.648160,0.014545,620
1,10,4418,fpga,cifar100,72.746666,5.420960,0.014545,620
1,11,4747,pixel3,cifar100,72.173330,22.326200,0.012136,440
1,11,6294,pixel3,cifar100,66.973335,3.112950,0.012136,440
1,11,13551,pixel3,cifar100,71.200000,17.426400,0.012136,440
1,11,10165,pixel3,cifar100,72.280000,27.287800,0.012136,440
1,11,4954,pixel3,cifar100,73.000000,30.258400,0.012136,440
1,11,12424,pixel3,cifar100,69.980000,8.954760,0.012136,440
1,11,15262,pixel3,cifar100,70.726670,16.526500,0.012136,440
1,11,1631,pixel3,cifar100,63.986668,1.805000,0.012136,440
1,11,5292,pixel3,cifar100,72.666664,29.129700,0.012136,440
1,11,485,pixel3,cifar100,67.593330,4.124800,0.012136,440
1,11,10066,pixel3,cifar100,70.660000,11.229000,0.012136,440
1,12,7347,raspi4,cifar100,69.480000,24.095383,0.012286,464
