context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std
1,edgegpu,cifar10,93.3993335,0.7282062194,1.461018084,0.7264683816,0.7978128116,0.08694463254,0.619689065,0.2878704478,0,0,0.29684221,0.0601261716
2,edgetpu,cifar10,93.9683325,0.3166453563,0.635419856,0.1404488801,0.6686363826,0.05643734322,0.2103437676,0.1200718998,0,0,0.27614163,0.006008400998
3,eyeriss,cifar10,93.4668337,0.5220737914,1.9253,0.1554322716,0.6501933643,0.02953226373,0.4094785547,0.1540369419,0,0,0.27918856,0.008822862496
4,fpga,cifar10,92.8260004,0.4523536292,1.39056,0.3456066666,0.6954740877,0.03846242011,0.3971097391,0.1005261005,0,0,0.27488627,0.003896134636
5,pixel3,cifar10,92.9493324,0.5914319535,2.815257638,2.408458795,0.8032938362,0.1321207651,0.947856097,0.7462487319,0,0,0.28054909,0.007420100006
6,raspi4,cifar10,93.118666,0.6883091079,4.033671386,2.281130152,0.8801332605,0.0239062714,0.9732706204,0.3775107959,0,0,0.28261807,0.03023731249
7,edgegpu,cifar100,71.3960002,1.139855231,1.407204634,0.6811692633,0.7545230976,0.05156299013,0.9616463736,0.331238164,0,0,0.2995718,0.04958859676
8,edgetpu,cifar100,70.8106656,0.9317373371,0.501862676,0.1415681997,0.6731863919,0.05560502514,0.4761498803,0.2937273106,0,0,0.28455474,0.01616733014
9,eyeriss,cifar100,70.598667,0.9609386827,2.124928,0.4082871761,0.6976577867,0.07663447071,0.6036573748,0.4530523302,0,0,0.28899579,0.02474632366
10,fpga,cifar100,70.009668,1.440827423,1.58768,0.6368328836,0.6199338585,0.06755352435,1.116354125,0.5773067715,0,0,0.28404869,0.02181040589
11,pixel3,cifar100,70.406,1.312742571,1.91567837,1.069838239,0.8571019144,0.03610381788,0.9584265274,0.391086566,0,0,0.27773992,0.006681881689
12,raspi4,cifar100,69.3386665,1.193482301,3.556748152,2.24244357,0.8456054664,0.02578482922,1.46933509,0.5838032011,0,0,0.27997193,0.004506509007
13,edgegpu,ImageNet16-120,44.5305552,0.7822066074,1.618051535,0.8380059228,0.6844421586,0.0742723503,0.7043350237,0.3282970785,0,0,0.27584394,0.003624660392
14,edgetpu,ImageNet16-120,45.1388887,1.194568223,0.451364205,0.07762977229,0.6181908596,0.08515652911,0.3016416445,0.2448950136,0,0,0.27503005,0.005727444196
15,eyeriss,ImageNet16-120,43.489445,3.745989287,0.54592,0.12288,0.6236414891,0.1062014381,1.881723058,2.59699189,0,0,0.2794483,0.01456489068
16,fpga,ImageNet16-120,43.1383334,1.055252676,0.37328,0.1017257804,0.7045508654,0.02326324793,0.6980984796,0.4322955194,0,0,0.27897184,0.003951581039
17,pixel3,ImageNet16-120,43.2566666,2.692768368,0.842997434,0.8500102288,0.7526952788,0.08343304559,1.212497018,0.7455143747,0,0,0.27671644,0.006865163874
18,raspi4,ImageNet16-120,43.5300004,2.061619216,1.648742285,1.081045642,0.7596193203,0.05636753417,1.381507733,0.9633176656,0,0,0.27657002,0.003198557394
