run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,94.13,1.4338923,0.835854654,0.7662996753,0,0.4766112
1,2,edgetpu,cifar10,94.08,0.7252439,0.6479056594,0.13368019,0,0.2783318
1,3,eyeriss,cifar10,93.503334,2.17106,0.6159322799,0.3884855238,0,0.2822483
1,4,fpga,cifar10,92.61,1.13296,0.6959106991,0.3785435897,0,0.2817195
1,5,pixel3,cifar10,92.736664,3.08839,0.7956831591,0.6872798295,0,0.2869543
1,6,raspi4,cifar10,93.66,7.3436723,0.8347030478,1.376524754,0,0.3730933
1,7,edgegpu,cifar100,72.04,1.4646435,0.7741857649,1.083385568,0,0.428529
1,8,edgetpu,cifar100,72.39333,0.35718873,0.7605662938,0.1209677998,0,0.3255582
1,9,eyeriss,cifar100,71.32667,1.92832,0.7586580688,0.4555354454,0,0.3320546
1,10,fpga,cifar100,72.37334,2.98256,0.4729949769,0.7642545455,0,0.3450988
1,11,pixel3,cifar100,70.10667,1.56451,0.8775665655,0.9397450926,0,0.2757311999
1,12,raspi4,cifar100,69.76,4.8008933,0.8353463243,2.171173768,0,0.2787724
1,13,edgegpu,ImageNet16-120,45.044445,0.6134796,0.6192524286,1.314655246,0,0.2759105
1,14,edgetpu,ImageNet16-120,44.455555,0.37440833,0.7063540113,0.2948040125,0,0.2689632
1,15,eyeriss,ImageNet16-120,44.666668,0.48448,0.6645866519,0.7546006786,0,0.2671506
1,16,fpga,ImageNet16-120,41.7,0.28432,0.6923880833,1.391840357,0,0.2771836
1,17,pixel3,ImageNet16-120,43.02222,0.616485,0.7947691231,0.7434824726,0,0.2745218
1,18,raspi4,ImageNet16-120,43.4,0.0123742,0.8005622801,0.8014357026,0,0.2809209
2,1,edgegpu,cifar10,93.94,1.4570093,0.8296678382,0.1406256123,0,0.274138
2,2,edgetpu,cifar10,93.82,0.59419394,0.6945282984,0.2111152854,0,0.273853
2,3,eyeriss,cifar10,92.905,1.9253,0.6684667109,0.4386009048,0,0.2816537
2,4,fpga,cifar10,92.8,1.64816,0.6989179482,0.4564923077,0,0.2693538
2,5,pixel3,cifar10,92.56,1.08345,0.9067479249,0.6504791627,0,0.267793
2,6,raspi4,cifar10,92.93,2.5584564,0.9203728169,0.6332333775,0,0.2723652
2,7,edgegpu,cifar100,72.746666,1.4402533,0.7874475605,0.5555922208,0,0.2675297
2,8,edgetpu,cifar100,70.76,0.6737224,0.6347382946,0.3372418954,0,0.2950306
2,9,eyeriss,cifar100,71.32,2.17408,0.7393511304,0.4234511605,0,0.2845448999
2,10,fpga,cifar100,70.8,1.13296,0.6893916604,0.6024816975,0,0.2705101
2,11,pixel3,cifar100,67.48,3.10634,0.7988960491,1.843121605,0,0.2835978
2,12,raspi4,cifar100,67.35333,0.01541972,0.8662372529,0.6380041164,0,0.279073
2,13,edgegpu,ImageNet16-120,44.9,2.4209738,0.6351937121,0.7952563794,0,0.2770856
2,14,edgetpu,ImageNet16-120,42.711113,0.48615554,0.615034092,0.9929794991,0,0.2702342
2,15,eyeriss,ImageNet16-120,44.1,0.42304,0.6658086699,1.09365292,0,0.2800171
2,16,fpga,ImageNet16-120,43.266666,0.28432,0.6779376228,0.5132809683,0,0.284914
