context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,spacing_mean,spacing_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std,evaluations_mean,evaluations_std,hv_median,hv_iqr,igd_plus_median,igd_plus_iqr,spacing_median,spacing_iqr,runtime_median,runtime_iqr
1,edgegpu,cifar10,94.37334,0,0.50138474,0,0.9996426118,0.0004357744594,0.005990104436,0.007100670067,15.78457739,0.2165065031,0,0,0.6070831,0.07783099749,16304.8,76.66133315,0.9998235443,0.0001186708562,0.003390006904,0.005340568,15.88172622,0.328385173,0.58910845,0.06856779999
2,edgetpu,cifar10,94.37334,0,0.348268329,0.002632881581,0.9965682021,0.00246452215,0.003868639803,0.002565796051,0.58741872,0.0152814928,0,0,0.6501847,0.05593072019,16326.4,99.88112935,0.9976013914,0.005148922697,0.003283559373,0.004741614787,0.5841502797,0.02599875135,0.64880355,0.055755
3,eyeriss,cifar10,94.37334,0,1.67954,0,0.9985672628,0.00131762926,0.009022723288,0.007624082096,0.753220161,0.02063801119,0,0,0.50876728,0.06636870493,16432.1,50.38739922,0.9991197914,0.001760455343,0.00694060274,0.009734356164,0.7410645495,0.03272677776,0.4912927,0.0424417
4,fpga,cifar10,94.37334,0,1.13296,0,0.9978929791,0.0007109785266,0.009136369091,0.005376223465,0.7444528306,0.04164502661,0,0,0.47445866,0.02493232349,16273.5,39.30203557,0.997967573,0.0004676934346,0.007314545455,0.003727490909,0.7680547764,0.08210401922,0.4717994,0.0406043
5,pixel3,cifar10,94.37334,0,0.00327686,0,0.9995783056,0.0001264701089,0.01526549392,0.006227119169,11.98958141,0.4045662981,0,0,0.78590945,0.03408446384,16124.3,67.32911703,0.9996041181,0.0002042017471,0.0154814456,0.01228569348,11.95455802,0.5691406242,0.783798,0.0770019
6,raspi4,cifar10,94.37334,0,0.011284828,3.984e-06,0.9995060068,0.0001605128612,0.02444843775,0.008858351296,12.64361168,0.3537221924,0,0,0.75028469,0.04912753883,16051.9,76.02690313,0.999483659,0.0003226116867,0.02405537856,0.01515456512,12.75992424,0.5894584666,0.7323884,0.0851405
7,edgegpu,cifar100,73.513336,0,0.5058527,0,0.9998629114,7.956003233e-05,0.00166715503,0.001230821704,13.06895606,0.8187671203,0,0,0.6068745,0.09382506274,16320,55.20869497,0.9998742093,0.0001250149697,0.001900874556,0.001919949112,12.93844888,1.314368042,0.57698795,0.06376029999
8,edgetpu,cifar100,73.513336,0,0.35493976,0,0.9976236839,0.001557881615,0.002261456988,0.001767542673,0.7664212187,0.05918922028,0,0,0.69185969,0.06851680933,16025.8,54.38161454,0.9983612293,0.0005607931186,0.00145276573,0.001760617209,0.771900456,0.08462198786,0.68534755,0.0883258
9,eyeriss,cifar100,73.513336,0,1.68256,0,0.9978621335,0.001660972443,0.02076298225,0.01030816228,1.477412098,0.02693917202,0,0,0.49362325,0.04054181192,16568.4,70.5651472,0.9984384866,0.001165429598,0.01759804878,0.01156682927,1.474584133,0.02033186677,0.48017945,0.0144264
10,fpga,cifar100,73.513336,0,1.13296,0,0.9965534484,0.00247159474,0.02364311765,0.01648522966,1.385201926,0.06727582507,0,0,0.53260992,0.04436025234,16267.2,56.86264151,0.9965939508,0.003612338564,0.02162360294,0.03089514706,1.369500334,0.1417522463,0.5155107,0.02512389999
11,pixel3,cifar100,73.513336,0,0.0087526,0,0.9984742065,0.001002350288,0.05451382143,0.03107119628,10.78067495,0.5307219616,0,0,0.68392447,0.03032400727,16071.9,70.17756052,0.9988007335,0.0009733876511,0.04521319851,0.05560647239,10.73740819,0.6662430454,0.67955045,0.0496932
12,raspi4,cifar100,73.513336,0,0.01521528,0,0.9990267478,0.0005979876253,0.04304506138,0.0200961274,9.60672883,0.398525376,0,0,0.71342268,0.04090881756,16041,61.46869122,0.9990346537,0.0008793707682,0.04650589735,0.03008677945,9.595758436,0.3096309078,0.7197032,0.0519209
13,edgegpu,ImageNet16-120,47.1977772,0.1731187116,0.533967483,4.4349e-05,0.998589958,0.0008921828264,0.01795844885,0.007808517481,5.094686454,0.2277307465,0,0,0.63330547,0.03730524826,16309.3,93.50834187,0.9989796928,0.001431243206,0.0185278641,0.01323851433,5.090634458,0.3022811529,0.6420039,0.0496885
14,edgetpu,ImageNet16-120,47.2355548,0.1511104,0.35826077,0.0003018202744,0.995100972,0.003686567587,0.006808379264,0.008318096255,1.101974262,0.06767566596,0,0,0.63958858,0.03126591721,16061,166.1974729,0.9963301849,0.00130192142,0.003019094615,0.001774199231,1.08088587,0.09931115012,0.63586485,0.0442886
15,eyeriss,ImageNet16-120,47.31111,0,0.42304,0,0.9982122468,0.001994328594,0.006895331776,0.007410742353,1.60013242,0.03995892725,0,0,0.46228031,0.01551158306,16479.5,82.63806629,0.9989920103,0.003081019165,0.004086588785,0.01205831776,1.599931079,0.0370365529,0.4614731,0.0136186
16,fpga,ImageNet16-120,47.31111,0,0.28432,0,0.9974093468,0.002108309485,0.009337386111,0.006251897783,1.372734088,0.02615972464,0,0,0.51733219,0.01562230964,16216,81.71780712,0.9975555617,0.003124583552,0.0072890625,0.01097972222,1.375728186,0.04763340959,0.51434985,0.017121
17,pixel3,ImageNet16-120,47.31111,0,0.005351248,0.0001278167912,0.9986553553,0.0002887908012,0.01252947487,0.005318063275,4.342232241,0.1002635291,0,0,0.74625877,0.0285087923,16039.3,48.17063421,0.9986842309,0.000223200355,0.01154092737,0.006501512445,4.327454239,0.1104532498,0.73773305,0.0444697
18,raspi4,ImageNet16-120,47.31111,0,0.011514322,1.566e-06,0.9975861596,0.0005452266063,0.01600735452,0.004936890719,3.915140681,0.07976362172,0,0,0.84074475,0.049197167,16104.1,78.84345249,0.9975189941,0.0008185412636,0.01531955723,0.009736459559,3.880679385,0.1159358343,0.82772615,0.0294485
