run_id,context_id,archid,device,dataset,accuracy,latency,runtime_sec,evaluations
1,1,11443,edgegpu,cifar10,93.840000,6.147151,0.002807,80
1,1,14638,edgegpu,cifar10,93.420000,3.653722,0.002807,80
1,1,7636,edgegpu,cifar10,92.270000,2.802658,0.002807,80
1,1,8276,edgegpu,cifar10,93.145000,3.402348,0.002807,80
1,1,4533,edgegpu,cifar10,93.470000,4.790831,0.002807,80
1,1,11204,edgegpu,cifar10,91.940000,1.830888,0.002807,80
1,1,6011,edgegpu,cifar10,92.110000,2.793994,0.002807,80
1,1,8033,edgegpu,cifar10,76.130000,1.758876,0.002807,80
1,1,6478,edgegpu,cifar10,10.000000,0.612369,0.002807,80
1,2,5780,edgetpu,cifar10,93.980000,0.723967,0.001989,80
1,2,1005,edgetpu,cifar10,89.183334,0.392518,0.001989,80
1,2,14146,edgetpu,cifar10,86.620000,0.358661,0.001989,80
1,2,4064,edgetpu,cifar10,88.913330,0.392049,0.001989,80
1,2,6382,edgetpu,cifar10,93.376660,0.628638,0.001989,80
1,3,8098,eyeriss,cifar10,92.066666,3.399860,0.002703,80
1,3,14469,eyeriss,cifar10,93.633330,4.874420,0.002703,80
1,3,2225,eyeriss,cifar10,93.770000,5.120180,0.002703,80
1,3,14595,eyeriss,cifar10,10.000000,1.679540,0.002703,80
1,3,285,eyeriss,cifar10,92.823330,3.645620,0.002703,80
1,3,3983,eyeriss,cifar10,89.636665,2.171060,0.002703,80
1,3,13313,eyeriss,cifar10,88.940000,1.925300,0.002703,80
1,3,13160,eyeriss,cifar10,93.233330,3.891380,0.002703,80
1,4,10089,fpga,cifar10,89.400000,2.057760,0.002794,80
1,4,5874,fpga,cifar10,88.676670,1.648160,0.002794,80
1,4,8285,fpga,cifar10,93.895000,4.163360,0.002794,80
1,4,14440,fpga,cifar10,91.986664,2.390560,0.002794,80
1,4,69,fpga,cifar10,93.706665,3.648160,0.002794,80
1,4,2952,fpga,cifar10,93.070000,2.905760,0.002794,80
1,4,12286,fpga,cifar10,86.760000,1.132960,0.002794,80
