run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,spacing,c_metric,runtime_sec,evaluations
1,1,edgegpu,cifar10,93.97,0.5396843,0.9954029698,0.2138927171,24.87754686,0,0.3486466,10050
1,2,edgetpu,cifar10,93.9,0.35254368,0.9690468894,0.06142290241,0.9143460109,0,0.7689143,10050
1,3,eyeriss,cifar10,93.91,1.67954,0.9224548831,0.3448671968,0.6426291986,0,0.2777017,10050
1,4,fpga,cifar10,94.30666,1.13296,0.9802102786,0.1925657314,0.8228401679,0,0.3520901,10050
1,5,pixel3,cifar10,93.94666,0.00327686,0.992399343,0.2905720852,17.77055715,0,0.9660671,10050
1,6,raspi4,cifar10,93.89,0.01133014,0.9945844879,0.3921251254,19.85257541,0,0.4325155,10050
1,7,edgegpu,cifar100,71.7,0.5393505,0.9842093331,0.3189009352,16.16378017,0,0.6180273,10050
1,8,edgetpu,cifar100,70.82,0.35524306,0.9160312099,0.1800342853,0.8002323387,0,1.1737806,10050
1,9,eyeriss,cifar100,71.22,1.68256,0.946415009,0.3659897742,1.855926634,0,0.5217556,10050
1,10,fpga,cifar100,71.10667,1.13296,0.8777352194,0.6685769565,1.483350585,0,0.4328996,10050
1,11,pixel3,cifar100,71.28,0.00968557,0.9649030705,0.9622073757,13.60856494,0,0.4476431,10050
1,12,raspi4,cifar100,72.86,0.01521528,0.9946901353,0.5182506927,14.02579925,0,0.4753756,10050
1,13,edgegpu,ImageNet16-120,46.155556,0.53410053,0.9826199977,0.1940834784,7.993154841,0,0.4538936,10050
1,14,edgetpu,ImageNet16-120,44.833332,0.35810986,0.8807340381,0.2866448483,1.731386332,0,0.4471702,10050
1,15,eyeriss,ImageNet16-120,46.433334,0.42304,0.9385269878,0.09987303073,1.36449979,0,0.5538138,10050
1,16,fpga,ImageNet16-120,43.677776,0.28432,0.8616591135,0.67985961,1.677688606,0,0.3977935,10050
1,17,pixel3,ImageNet16-120,45.9,0.013957,0.9625417015,0.2668707412,8.960349248,0,0.2962136,10050
1,18,raspi4,ImageNet16-120,45.288887,0.01151902,0.9528301444,0.6227919364,6.432733097,0,0.4380663,10050
2,1,edgegpu,cifar10,93.99,0.54205894,0.993300473,0.2162755989,20.86729279,0,0.3342357,10050
2,2,edgetpu,cifar10,94.06333,0.35232753,0.9764113147,0.053318851,0.7318815759,0,0.5613968,10050
2,3,eyeriss,cifar10,93.89667,1.67954,0.9382656176,0.2337773418,0.8360874516,0,0.3712436,10050
2,4,fpga,cifar10,93.82667,1.13296,0.980441406,0.1890085714,0.9024348136,0,0.318693,10050
