run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,spacing,c_metric,runtime_sec,evaluations
1,1,edgegpu,cifar10,94.37334,0.50138474,1,0,10.82785394,0,18.6714101,10000
1,2,edgetpu,cifar10,94.37334,0.35215905,0.999253751,0.0006591977324,0.4552874287,0,18.0330667,10000
1,3,eyeriss,cifar10,94.37334,1.67954,0.9992472915,0.002365310044,0.5426176742,0,18.0250925,10000
1,4,fpga,cifar10,94.37334,1.13296,0.9972560748,0.006669911504,0.545060823,0,18.1939607,10000
1,5,pixel3,cifar10,94.37334,0.00327686,0.9995799075,0.007211610947,10.78187385,0,18.3692657,10000
1,6,raspi4,cifar10,94.37334,0.0112835,0.9998365957,0.0272831252,10.99862418,0,17.7702685,10000
1,7,edgegpu,cifar100,73.513336,0.5058527,0.9999401215,0.0001817071429,8.084411374,0,18.2308284,10000
1,8,edgetpu,cifar100,73.513336,0.35493976,0.9985434983,0.00219466193,0.6664870861,0,17.3803122,10000
1,9,eyeriss,cifar100,73.513336,1.68256,0.9986960505,0.01187495798,0.990029599,0,17.7092714,10000
1,10,fpga,cifar100,73.513336,1.13296,0.9983981117,0.007460801782,0.982383649,0,18.0898985,10000
1,11,pixel3,cifar100,73.513336,0.00884682,0.9995584788,0.01103380925,8.457922186,0,17.8189016,10000
1,12,raspi4,cifar100,73.513336,0.0153652,0.9998930929,0.01882256647,8.502899397,0,17.8246648,10000
1,13,edgegpu,ImageNet16-120,47.31111,0.5339527,0.9996784589,0.004536917888,3.982684764,0,18.6177782,10000
1,14,edgetpu,ImageNet16-120,47.31111,0.35810986,0.9976652879,0.002816181034,0.9138345637,0,17.5490782,10000
1,15,eyeriss,ImageNet16-120,47.31111,0.42304,0.9986747508,0.001045787234,1.073903112,0,17.8786059,10000
1,16,fpga,ImageNet16-120,47.31111,0.28432,0.9999454415,4.810457516e-05,0.9486293758,0,17.7891944,10000
1,17,pixel3,ImageNet16-120,47.31111,0.00528942,0.9998932271,0.0002828042959,3.88649433,0,18.0866071,10000
1,18,raspi4,ImageNet16-120,47.31111,0.01151902,0.9974915066,0.02375985505,3.838907287,0,18.1030978,10000
2,1,edgegpu,cifar10,94.37334,0.50138474,0.9999994939,6.178125e-05,10.82785147,0,18.1788286,10000
2,2,edgetpu,cifar10,94.37334,0.35254368,0.9998799113,0.0002208579526,0.4618220299,0,17.8348768,10000
2,3,eyeriss,cifar10,94.37334,1.67954,0.9985357746,0.00715441048,0.5518206989,0,18.3116874,10000
2,4,fpga,cifar10,94.37334,1.13296,0.9977892044,0.00378640708,0.5537983254,0,18.2033903,10000
2,5,pixel3,cifar10,94.37334,0.00327686,0.9997368642,0.008090346477,10.78852618,0,18.2194818,10000
2,6,raspi4,cifar10,94.37334,0.0112835,0.9998241854,0.02304065695,10.99833167,0,18.1894821,10000
2,7,edgegpu,cifar100,73.513336,0.5058527,0.9999344872,0.0002511176471,8.112481305,0,17.9629618,10000
2,8,edgetpu,cifar100,73.513336,0.35493976,0.9989686965,0.0003863949015,0.6672482265,0,17.7419748,10000
