run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,94.37334,0.50138474,0.8412624253,0,0,0.1909977
1,2,edgetpu,cifar10,94.37334,0.34654593,0.8473986504,0,0,0.1422536001
1,3,eyeriss,cifar10,94.37334,1.67954,0.8300121505,0,0,0.1501188
1,4,fpga,cifar10,94.37334,1.13296,0.7838153969,0,0,0.1996459001
1,5,pixel3,cifar10,94.37334,0.00327686,0.9416355553,0,0,0.1448078001
1,6,raspi4,cifar10,94.37334,0.0112835,0.9498121119,0,0,0.1441017999
1,7,edgegpu,cifar100,73.513336,0.5058527,0.8150179736,0,0,0.1994043001
1,8,edgetpu,cifar100,73.513336,0.35493976,0.8037397264,0,0,0.1480500001
1,9,eyeriss,cifar100,73.513336,1.68256,0.8301510444,0,0,0.1462224999
1,10,fpga,cifar100,73.513336,1.13296,0.7608187742,0,0,0.1912626
1,11,pixel3,cifar100,73.513336,0.0087526,0.9508496363,0,0,0.1512528
1,12,raspi4,cifar100,73.513336,0.01521528,0.9291264638,0,0,0.1448778
1,13,edgegpu,ImageNet16-120,47.31111,0.5339527,0.7825701559,0,0,0.2082017
1,14,edgetpu,ImageNet16-120,47.31111,0.35810986,0.8014619244,0,0,0.1735644001
1,15,eyeriss,ImageNet16-120,47.31111,0.42304,0.7675333032,0,0,0.1604558
1,16,fpga,ImageNet16-120,47.31111,0.28432,0.7460456323,0,0,0.204404
1,17,pixel3,ImageNet16-120,47.31111,0.00528942,0.8602479087,0,0,0.1645971
1,18,raspi4,ImageNet16-120,47.31111,0.0115138,0.7962630336,0,0,0.1622331
2,1,edgegpu,cifar10,94.37334,0.50138474,0.8412624253,0,0,0.1916969999
2,2,edgetpu,cifar10,94.37334,0.34654593,0.8473986504,0,0,0.2001453
2,3,eyeriss,cifar10,94.37334,1.67954,0.8300121505,0,0,0.1527928
2,4,fpga,cifar10,94.37334,1.13296,0.7838153969,0,0,0.1475541999
2,5,pixel3,cifar10,94.37334,0.00327686,0.9416355553,0,0,0.1953097001
2,6,raspi4,cifar10,94.37334,0.0112835,0.9498121119,0,0,0.1503446001
2,7,edgegpu,cifar100,73.513336,0.5058527,0.8150179736,0,0,0.1531509
2,8,edgetpu,cifar100,73.513336,0.35493976,0.8037397264,0,0,0.2045267
2,9,eyeriss,cifar100,73.513336,1.68256,0.8301510444,0,0,0.1541104
2,10,fpga,cifar100,73.513336,1.13296,0.7608187742,0,0,0.1541409
2,11,pixel3,cifar100,73.513336,0.0087526,0.9508496363,0,0,0.2092931001
2,12,raspi4,cifar100,73.513336,0.01521528,0.9291264638,0,0,0.1594079001
2,13,edgegpu,ImageNet16-120,47.31111,0.5339527,0.7825701559,0,0,0.1647283001
2,14,edgetpu,ImageNet16-120,47.31111,0.35810986,0.8014619244,0,0,0.214669
2,15,eyeriss,ImageNet16-120,47.31111,0.42304,0.7675333032,0,0,0.1739208
2,16,fpga,ImageNet16-120,47.31111,0.28432,0.7460456323,0,0,0.1579824
2,17,pixel3,ImageNet16-120,47.31111,0.00528942,0.8602479087,0,0,0.1996657
2,18,raspi4,ImageNet16-120,47.31111,0.0115138,0.7962630336,0,0,0.160958
3,1,edgegpu,cifar10,94.37334,0.50138474,0.8412624253,0,0,0.1542422001
3,2,edgetpu,cifar10,94.37334,0.34654593,0.8473986504,0,0,0.1891294
3,3,eyeriss,cifar10,94.37334,1.67954,0.8300121505,0,0,0.1493011999
3,4,fpga,cifar10,94.37334,1.13296,0.7838153969,0,0,0.1461259
3,5,pixel3,cifar10,94.37334,0.00327686,0.9416355553,0,0,0.205282
3,6,raspi4,cifar10,94.37334,0.0112835,0.9498121119,0,0,0.1649585
3,7,edgegpu,cifar100,73.513336,0.5058527,0.8150179736,0,0,0.1580481
3,8,edgetpu,cifar100,73.513336,0.35493976,0.8037397264,0,0,0.1965672
3,9,eyeriss,cifar100,73.513336,1.68256,0.8301510444,0,0,0.1558328
3,10,fpga,cifar100,73.513336,1.13296,0.7608187742,0,0,0.1627936
3,11,pixel3,cifar100,73.513336,0.0087526,0.9508496363,0,0,0.2118738999
3,12,raspi4,cifar100,73.513336,0.01521528,0.9291264638,0,0,0.1634768001
3,13,edgegpu,ImageNet16-120,47.31111,0.5339527,0.7825701559,0,0,0.1674650001
3,14,edgetpu,ImageNet16-120,47.31111,0.35810986,0.8014619244,0,0,0.1990164
3,15,eyeriss,ImageNet16-120,47.31111,0.42304,0.7675333032,0,0,0.1642046999
3,16,fpga,ImageNet16-120,47.31111,0.28432,0.7460456323,0,0,0.1619229
3,17,pixel3,ImageNet16-120,47.31111,0.00528942,0.8602479087,0,0,0.1894465
3,18,raspi4,ImageNet16-120,47.31111,0.0115138,0.7962630336,0,0,0.2254673999
4,1,edgegpu,cifar10,94.37334,0.50138474,0.8412624253,0,0,0.1759396
4,2,edgetpu,cifar10,94.37334,0.34654593,0.8473986504,0,0,0.1691016001
4,3,eyeriss,cifar10,94.37334,1.67954,0.8300121505,0,0,0.2135220999
4,4,fpga,cifar10,94.37334,1.13296,0.7838153969,0,0,0.1684768
4,5,pixel3,cifar10,94.37334,0.00327686,0.9416355553,0,0,0.1615901
4,6,raspi4,cifar10,94.37334,0.0112835,0.9498121119,0,0,0.1995634
4,7,edgegpu,cifar100,73.513336,0.5058527,0.8150179736,0,0,0.1566687999
4,8,edgetpu,cifar100,73.513336,0.35493976,0.8037397264,0,0,0.1603508
4,9,eyeriss,cifar100,73.513336,1.68256,0.8301510444,0,0,0.2144817
4,10,fpga,cifar100,73.513336,1.13296,0.7608187742,0,0,0.1467805
4,11,pixel3,cifar100,73.513336,0.0087526,0.9508496363,0,0,0.1504829
4,12,raspi4,cifar100,73.513336,0.01521528,0.9291264638,0,0,0.1879532
4,13,edgegpu,ImageNet16-120,47.31111,0.5339527,0.7825701559,0,0,0.157798
4,14,edgetpu,ImageNet16-120,47.31111,0.35810986,0.8014619244,0,0,0.1606601001
4,15,eyeriss,ImageNet16-120,47.31111,0.42304,0.7675333032,0,0,0.2070102
4,16,fpga,ImageNet16-120,47.31111,0.28432,0.7460456323,0,0,0.1663113999
4,17,pixel3,ImageNet16-120,47.31111,0.00528942,0.8602479087,0,0,0.1614951
4,18,raspi4,ImageNet16-120,47.31111,0.0115138,0.7962630336,0,0,0.2006425001
