context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,spacing_mean,spacing_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std,evaluations_mean,evaluations_std,hv_median,hv_iqr,igd_plus_median,igd_plus_iqr,spacing_median,spacing_iqr,runtime_median,runtime_iqr
1,edgegpu,cifar10,94.37334,0,0.50138474,0,0.9994722232,0.0005037476262,0.007073304211,0.006464770758,15.86055226,0.5661369154,0,0,0.58167049,0.02447577405,16297,64.43911855,0.9997275228,0.0007105593598,0.005746203991,0.007174495896,15.94996738,0.5597933865,0.5828137,0.0406283
2,edgetpu,cifar10,94.37334,0,0.3479684415,0.002465062781,0.996978387,0.002657073618,0.00376449504,0.00327847738,0.08152941817,0.01121978424,0,0,0.65059392,0.03719124992,16355,85.84870413,0.9981988509,0.003463281272,0.002613859125,0.004235685839,0.08153994102,0.01303830219,0.64485315,0.06574005001
3,eyeriss,cifar10,94.37334,0,1.67954,0,0.9986920457,0.0007109208431,0.009544448239,0.005800970726,0.7603049669,0.01454234971,0,0,0.49181177,0.01497970365,16444.35,61.06822005,0.9989144462,0.001201543335,0.008902478873,0.009321605634,0.765703514,0.02392239698,0.49039135,0.02385365
4,fpga,cifar10,94.37334,0,1.13296,0,0.9981129208,0.0008316066579,0.008306248472,0.00533017726,0.5646482854,0.2349939248,0,0,0.48240364,0.01681017553,16258.25,50.91156548,0.9982464546,0.001216671834,0.007338532751,0.008048052402,0.5767777909,0.4530415328,0.4852466,0.02186535001
5,pixel3,cifar10,94.37334,0,0.00327686,0,0.999616659,0.000122895221,0.01642545903,0.004502767378,12.09946026,0.5449128687,0,0,0.78640125,0.06435514612,16114.7,66.98813328,0.9995755551,0.0001937311098,0.01744782598,0.005959306903,11.99006744,0.8302568959,0.7810235,0.08475725
6,raspi4,cifar10,94.37334,0,0.0112835,0,0.9994964688,0.0002397954686,0.02970470144,0.01258743847,12.60412965,0.563459367,0,0,0.73348259,0.03947885364,16052.65,53.17732129,0.999496393,0.0004026132274,0.02785305648,0.02005684436,12.54332167,0.6457503855,0.744741,0.06040065
7,edgegpu,cifar100,73.513336,0,0.5058527,0,0.9995677684,0.0005119156053,0.005157204723,0.008291536452,13.27069367,0.5119449983,0,0,0.57302819,0.03019695539,16298,65.13984955,0.9997988989,0.0001218171926,0.001449896914,0.002669538117,13.4141391,1.070180776,0.5619695,0.0391871
8,edgetpu,cifar100,73.513336,0,0.35493976,0,0.9982456051,0.001148962248,0.001616140837,0.001741299696,0.1581442784,0.02558922308,0,0,0.649520225,0.02826893898,16024.85,91.03091508,0.9985783145,0.0006379849318,0.0009166610225,0.001474286748,0.1503134746,0.03261739844,0.6399751,0.0405308
9,eyeriss,cifar100,73.513336,0,1.68256,0,0.9983173847,0.001336213478,0.01745594188,0.01166884395,1.536363854,0.03283996508,0,0,0.47857999,0.01169506189,16514.75,74.44989926,0.9986069257,0.0005235227975,0.01682945946,0.01006146718,1.538624484,0.04376495766,0.47809465,0.01667995
10,fpga,cifar100,73.513336,0,1.13296,0,0.996804482,0.002311721166,0.02932669336,0.02287313783,1.000373865,0.5126081897,0,0,0.51328061,0.02119328917,16313,85.92845862,0.9973680892,0.002821386864,0.02280273438,0.02431222656,1.323328643,1.078684866,0.5082493,0.0231988
