run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,spacing,c_metric,runtime_sec,evaluations
1,1,edgegpu,cifar10,94.37334,0.50138474,0.998713637,0.01065591968,16.61829022,0,0.1118037,3074
1,2,edgetpu,cifar10,94.37334,0.35215905,0.9960210905,0.003094180515,0.09570656609,0,0.1249931,3093
1,3,eyeriss,cifar10,94.37334,1.67954,0.9961941835,0.02276818497,0.7603001626,0,0.1070839,3099
1,4,fpga,cifar10,94.37334,1.13296,0.9914698418,0.02729754074,0.7741074434,0,0.08973919999,3102
1,5,pixel3,cifar10,94.37334,0.00328479,0.9980487301,0.05391638553,14.58154309,0,0.1434689,3001
1,6,raspi4,cifar10,94.37334,0.01129678,0.9984952279,0.1147598265,13.34280276,0,0.136286,3025
1,7,edgegpu,cifar100,73.513336,0.5058527,0.9982862772,0.02225410684,14.74470061,0,0.1215021,3135
1,8,edgetpu,cifar100,73.513336,0.35493976,0.9820678227,0.009758881826,0.1680753326,0,0.1324169,3005
1,9,eyeriss,cifar100,73.513336,1.68256,0.9911093003,0.08444887075,1.520339051,0,0.1051349,3132
1,10,fpga,cifar100,73.513336,1.13296,0.9941662061,0.02891519608,1.530420468,0,0.1013628,3083
1,11,pixel3,cifar100,73.513336,0.0087526,0.9949589421,0.1214931407,11.7507726,0,0.1199581,2983
1,12,raspi4,cifar100,73.513336,0.0153652,0.9964518537,0.1948674687,10.58659853,0,0.1245981,2996
1,13,edgegpu,ImageNet16-120,46.833332,0.5339527,0.9950222011,0.06885595923,6.191274498,0,0.1060229,3144
1,14,edgetpu,ImageNet16-120,47.31111,0.3590437,0.98097844,0.01718784765,0.3145149869,0,0.1231908,3014
1,15,eyeriss,ImageNet16-120,46.933334,0.42304,0.9660512642,0.1246116298,1.55268314,0,0.1010883,3099
1,16,fpga,ImageNet16-120,47.31111,0.28432,0.9938705149,0.02379505726,0.9524221705,0,0.0982111,3093
1,17,pixel3,ImageNet16-120,47.31111,0.00570229,0.9955825902,0.06572307274,5.074494783,0,0.1438856,2991
1,18,raspi4,ImageNet16-120,47.31111,0.01151902,0.9960193799,0.07011368341,4.486100674,0,0.1469972,2984
2,1,edgegpu,cifar10,94.37334,0.5385971,0.9988503937,0.01884144755,17.54383888,0,0.1153435,3027
2,2,edgetpu,cifar10,94.37334,0.34654593,0.9882658245,0.01174936479,0.06123894981,0,0.1220125,3121
2,3,eyeriss,cifar10,94.37334,1.67954,0.9986830117,0.005616508671,0.7522748613,0,0.1005708,3133
2,4,fpga,cifar10,94.37334,1.13296,0.9929366966,0.03086624444,0.8015675638,0,0.090832,3125
2,5,pixel3,cifar10,94.37334,0.00327686,0.9986877555,0.06853654845,12.05599644,0,0.1433386,3053
2,6,raspi4,cifar10,94.37334,0.0112835,0.9987179364,0.1045940634,12.46534287,0,0.1451773,3015
2,7,edgegpu,cifar100,73.513336,0.5395651,0.9996311477,0.009593289728,12.71283131,0,0.1193295,3126
2,8,edgetpu,cifar100,73.513336,0.35493976,0.9946996121,0.003102127285,0.2019714391,0,0.1206246,3017
2,9,eyeriss,cifar100,73.26,1.68256,0.9843866187,0.1567764093,1.726043408,0,0.0948681,3160
2,10,fpga,cifar100,73.513336,1.13296,0.9899605233,0.06439643791,1.380143852,0,0.1126876,3111
2,11,pixel3,cifar100,73.513336,0.0087526,0.9973359709,0.1641770931,11.81037553,0,0.12789,3058
2,12,raspi4,cifar100,73.513336,0.01521528,0.9967763153,0.1959563148,9.647509738,0,0.1324025,3021
2,13,edgegpu,ImageNet16-120,47.31111,0.5339527,0.993059261,0.06491145777,5.826731517,0,0.1153119,3085
2,14,edgetpu,ImageNet16-120,47.033333,0.35810986,0.9840678551,0.0241547967,0.2328594136,0,0.1305549,3019
2,15,eyeriss,ImageNet16-120,47.31111,0.42304,0.9900100407,0.05876439252,1.686352426,0,0.0987492,3129
2,16,fpga,ImageNet16-120,46.933334,0.28432,0.9705698083,0.1542216818,0.2471557141,0,0.1154938,3099
2,17,pixel3,ImageNet16-120,46.933334,0.00554073,0.9872170697,0.1835570665,4.721444035,0,0.1289584,3019
2,18,raspi4,ImageNet16-120,47.31111,0.01151902,0.9958686589,0.04316421181,4.163469641,0,0.1494273,3021
3,1,edgegpu,cifar10,94.37334,0.5385971,0.997913963,0.03034557165,16.20220374,0,0.1119386,3080
3,2,edgetpu,cifar10,94.37334,0.34654593,0.9856728869,0.01901458899,0.06828338682,0,0.1113429,3039
3,3,eyeriss,cifar10,94.37334,1.67954,0.9966296911,0.01093803468,0.7632336629,0,0.09132379999,3065
3,4,fpga,cifar10,94.37334,1.13296,0.9928031067,0.03290354074,0.7884111004,0,0.0939088,3077
3,5,pixel3,cifar10,94.37334,0.00340076,0.9991177437,0.06144723945,12.53786911,0,0.1357528,3042
3,6,raspi4,cifar10,94.37334,0.01133014,0.9990627909,0.03370169561,13.33360369,0,0.1334155,3034
3,7,edgegpu,cifar100,73.513336,0.5058527,0.9985648308,0.01319911765,15.78535817,0,0.1158134,3071
3,8,edgetpu,cifar100,73.513336,0.35493976,0.9799444252,0.01669219245,0.1489728724,0,0.1473234,3092
3,9,eyeriss,cifar100,73.513336,1.68256,0.9888975421,0.07414988925,1.478837851,0,0.0986421,3100
3,10,fpga,cifar100,73.26,1.13296,0.9921439146,0.08300015033,1.430510851,0,0.0973098,3090
3,11,pixel3,cifar100,73.26,0.00884682,0.9984813117,0.08399279385,11.18274229,0,0.1109709,3044
3,12,raspi4,cifar100,73.513336,0.0153652,0.9957365609,0.2394914074,10.58318113,0,0.1412462,3070
