context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std
1,edgegpu,cifar10,93.56,0.2866160459,2.26201246,0.8127290043,0.6814339056,0.1043989296,0.7676906459,0.3956390373,0,0,0.01858879997,0.005269690665
2,edgetpu,cifar10,93.645,0.3129936102,0.428455835,0.06616570783,0.7564330897,0.04252723145,0.2117460268,0.08802807371,0,0,0.01946217,0.001098125637
3,eyeriss,cifar10,93.6309999,0.2471988799,2.613428,0.589824,0.6282734181,0.06609237635,0.5554098205,0.2160240107,0,0,0.01981674001,0.00116800995
4,fpga,cifar10,93.6454999,0.1170898458,2.15312,0.3672780396,0.6929669846,0.05914014744,0.455380501,0.1393894044,0,0,0.02062395001,0.001085755297
5,pixel3,cifar10,92.9436666,0.4102203111,2.099066,0.5918859584,0.8338574459,0.01754561518,0.8066084908,0.1288019537,0,0,0.02255649999,0.007825850465
6,raspi4,cifar10,93.0179994,0.6092769513,5.084846998,2.447441319,0.8951503377,0.02448167098,1.581038015,0.5001743143,0,0,0.01963391003,0.0008482947111
7,edgegpu,cifar100,71.326666,0.8360486722,2.30478622,0.8023696182,0.7360601716,0.09844177623,0.9408441196,0.2106903082,0,0,0.01952264999,0.0009528127255
8,edgetpu,cifar100,71.2239996,0.9322478767,0.523752232,0.1593049269,0.7583045272,0.04575794823,0.3183916495,0.09603752211,0,0,0.01963660001,0.001169787129
9,eyeriss,cifar100,71.1559994,1.004757705,2.616448,0.6667301667,0.680658563,0.05422961616,1.094196739,0.3769355269,0,0,0.02005955997,0.001200365536
10,fpga,cifar100,70.892333,0.7058392919,2.0424,0.4353312743,0.6871438452,0.04436406404,0.622229035,0.1163340426,0,0,0.02041052,0.002187319425
11,pixel3,cifar100,70.4180006,0.8083622157,2.855582,0.8537261442,0.6994123979,0.03668484886,1.170116742,0.3910597104,0,0,0.02118472001,0.003069457461
12,raspi4,cifar100,69.7526665,0.7837714476,3.87989184,1.070109377,0.7069553035,0.03277014215,1.192305492,0.315546124,0,0,0.01984204999,0.00112254476
13,edgegpu,ImageNet16-120,45.155555,0.7144539484,2.21314765,0.4490613094,0.7590564994,0.05347131072,1.02208787,0.2882366275,0,0,0.02066908999,0.001296711542
14,edgetpu,ImageNet16-120,45.3800002,0.611572559,0.468030621,0.08869730735,0.6141291785,0.07479237047,0.2783843333,0.11560488,0,0,0.01972767002,0.0008401494052
15,eyeriss,ImageNet16-120,45.355,0.7514033445,0.601216,0.1612726855,0.6164105564,0.06599418585,0.457711402,0.2163535018,0,0,0.02048306998,0.001960127754
16,fpga,ImageNet16-120,45.2211112,0.7330043678,0.4376,0.09190687461,0.7379398826,0.02766119199,0.3617799106,0.1463735747,0,0,0.02004393999,0.001177304002
17,pixel3,ImageNet16-120,44.787778,0.9726564882,0.7855607,0.235964161,0.7946796165,0.04554981873,0.7112449758,0.2268405803,0,0,0.02076696999,0.002215371397
18,raspi4,ImageNet16-120,44.477778,0.7879175794,1.96544433,0.652595501,0.7028656518,0.04863290506,0.9286997122,0.4255713379,0,0,0.02025613998,0.000920625423
