run_id,context_id,archid,device,dataset,accuracy,latency,runtime_sec,evaluations
1,1,5780,edgegpu,cifar10,93.980000,3.361888,0.563383,5000
1,1,5780,edgegpu,cifar10,93.980000,3.361888,0.563383,5000
1,1,9099,edgegpu,cifar10,93.940000,3.357520,0.563383,5000
1,1,10484,edgegpu,cifar10,93.810000,3.354015,0.563383,5000
1,1,11438,edgegpu,cifar10,92.500000,1.846719,0.563383,5000
1,1,11438,edgegpu,cifar10,92.500000,1.846719,0.563383,5000
1,1,6960,edgegpu,cifar10,92.280000,1.764450,0.563383,5000
1,2,5111,edgetpu,cifar10,94.306660,1.152010,1.106597,5000
1,2,2053,edgetpu,cifar10,94.206665,1.042178,1.106597,5000
1,2,11692,edgetpu,cifar10,94.130000,0.761100,1.106597,5000
1,2,11692,edgetpu,cifar10,94.130000,0.761100,1.106597,5000
1,2,11692,edgetpu,cifar10,94.130000,0.761100,1.106597,5000
1,2,250,edgetpu,cifar10,93.743330,0.727987,1.106597,5000
1,2,3927,edgetpu,cifar10,93.626660,0.723268,1.106597,5000
1,2,6515,edgetpu,cifar10,93.616670,0.722858,1.106597,5000
1,2,6358,edgetpu,cifar10,92.136665,0.483677,1.106597,5000
1,3,7407,eyeriss,cifar10,93.510000,3.645620,1.059330,5000
1,3,714,eyeriss,cifar10,92.905000,3.399860,1.059330,5000
1,3,13611,eyeriss,cifar10,92.490000,3.154100,1.059330,5000
1,3,13611,eyeriss,cifar10,92.490000,3.154100,1.059330,5000
1,3,13611,eyeriss,cifar10,92.490000,3.154100,1.059330,5000
1,4,6126,fpga,cifar10,93.980000,4.163360,0.655962,5000
1,4,8008,fpga,cifar10,93.480000,2.905760,0.655962,5000
1,4,13611,fpga,cifar10,92.490000,2.390560,0.655962,5000
1,4,13611,fpga,cifar10,92.490000,2.390560,0.655962,5000
1,4,13611,fpga,cifar10,92.490000,2.390560,0.655962,5000
1,4,13611,fpga,cifar10,92.490000,2.390560,0.655962,5000
1,4,13611,fpga,cifar10,92.490000,2.390560,0.655962,5000
1,5,8323,pixel3,cifar10,90.870000,3.106420,0.673957,5000
1,5,13096,pixel3,cifar10,90.700000,2.666040,0.673957,5000
1,5,13096,pixel3,cifar10,90.700000,2.666040,0.673957,5000
1,5,7197,pixel3,cifar10,90.366670,2.447670,0.673957,5000
1,5,1616,pixel3,cifar10,89.740000,2.038690,0.673957,5000
1,5,1616,pixel3,cifar10,89.740000,2.038690,0.673957,5000
1,5,4578,pixel3,cifar10,89.673330,1.714730,0.673957,5000
1,5,6624,pixel3,cifar10,89.120000,1.670570,0.673957,5000
1,6,6985,raspi4,cifar10,89.940000,4.995646,0.749799,5000
1,6,2035,raspi4,cifar10,89.670000,4.984099,0.749799,5000
1,6,2035,raspi4,cifar10,89.670000,4.984099,0.749799,5000
1,6,4210,raspi4,cifar10,89.030000,4.782748,0.749799,5000
1,6,4210,raspi4,cifar10,89.030000,4.782748,0.749799,5000
1,6,1860,raspi4,cifar10,86.646670,2.576200,0.749799,5000
1,7,3888,edgegpu,cifar100,73.260000,6.797867,0.652516,5000
1,7,2778,edgegpu,cifar100,72.993330,6.134028,0.652516,5000
1,7,4418,edgegpu,cifar100,72.746666,5.352364,0.652516,5000
1,7,4418,edgegpu,cifar100,72.746666,5.352364,0.652516,5000
1,7,12415,edgegpu,cifar100,71.940000,4.828467,0.652516,5000
1,7,12415,edgegpu,cifar100,71.940000,4.828467,0.652516,5000
1,7,12415,edgegpu,cifar100,71.940000,4.828467,0.652516,5000
1,7,9997,edgegpu,cifar100,71.520000,3.466139,0.652516,5000
1,7,9997,edgegpu,cifar100,71.520000,3.466139,0.652516,5000
1,7,8401,edgegpu,cifar100,71.080000,3.302102,0.652516,5000
1,7,8401,edgegpu,cifar100,71.080000,3.302102,0.652516,5000
1,7,10443,edgegpu,cifar100,68.300000,1.810923,0.652516,5000
1,7,11885,edgegpu,cifar100,68.040000,1.776652,0.652516,5000
1,7,11885,edgegpu,cifar100,68.040000,1.776652,0.652516,5000
1,8,9930,edgetpu,cifar100,73.513336,1.454107,0.588430,5000
1,8,9930,edgetpu,cifar100,73.513336,1.454107,0.588430,5000
1,8,9930,edgetpu,cifar100,73.513336,1.454107,0.588430,5000
1,8,9930,edgetpu,cifar100,73.513336,1.454107,0.588430,5000
1,8,9930,edgetpu,cifar100,73.513336,1.454107,0.588430,5000
1,8,3888,edgetpu,cifar100,73.260000,1.316226,0.588430,5000
1,8,3888,edgetpu,cifar100,73.260000,1.316226,0.588430,5000
1,8,1459,edgetpu,cifar100,73.140000,1.311551,0.588430,5000
1,8,1459,edgetpu,cifar100,73.140000,1.311551,0.588430,5000
1,8,1459,edgetpu,cifar100,73.140000,1.311551,0.588430,5000
1,8,4237,edgetpu,cifar100,73.073330,1.285767,0.588430,5000
1,8,12415,edgetpu,cifar100,71.940000,0.872299,0.588430,5000
1,8,69,edgetpu,cifar100,71.020000,0.727259,0.588430,5000
1,9,12574,eyeriss,cifar100,72.740000,5.123200,0.629848,5000
1,9,12574,eyeriss,cifar100,72.740000,5.123200,0.629848,5000
1,9,12574,eyeriss,cifar100,72.740000,5.123200,0.629848,5000
1,9,6925,eyeriss,cifar100,71.220000,3.894400,0.629848,5000
1,9,6787,eyeriss,cifar100,70.720000,3.648640,0.629848,5000
1,9,6787,eyeriss,cifar100,70.720000,3.648640,0.629848,5000
1,9,11973,eyeriss,cifar100,70.340000,3.402880,0.629848,5000
1,10,3888,fpga,cifar100,73.260000,5.936160,0.708662,5000
1,10,12574,fpga,cifar100,72.740000,4.678560,0.708662,5000
1,10,3540,fpga,cifar100,71.500000,4.163360,0.708662,5000
1,10,12295,fpga,cifar100,71.160000,3.648160,0.708662,5000
1,10,12295,fpga,cifar100,71.160000,3.648160,0.708662,5000
1,10,5725,fpga,cifar100,70.600000,3.420960,0.708662,5000
1,10,3487,fpga,cifar100,70.093330,2.905760,0.708662,5000
1,10,3487,fpga,cifar100,70.093330,2.905760,0.708662,5000
1,11,572,pixel3,cifar100,70.313330,8.017480,0.679769,5000
1,11,898,pixel3,cifar100,70.000000,6.516140,0.679769,5000
1,11,10689,pixel3,cifar100,67.500000,3.109220,0.679769,5000
1,11,724,pixel3,cifar100,67.053340,2.875650,0.679769,5000
1,11,724,pixel3,cifar100,67.053340,2.875650,0.679769,5000
1,11,1616,pixel3,cifar100,63.946667,1.731160,0.679769,5000
1,12,12915,raspi4,cifar100,66.950000,7.226311,0.662491,5000
1,12,2649,raspi4,cifar100,64.446660,5.109687,0.662491,5000
1,12,11209,raspi4,cifar100,64.120000,5.100011,0.662491,5000
1,12,1616,raspi4,cifar100,63.946667,5.080509,0.662491,5000
1,12,9271,raspi4,cifar100,63.400000,4.800893,0.662491,5000
1,12,12607,raspi4,cifar100,62.600000,4.779045,0.662491,5000
1,13,8733,edgegpu,ImageNet16-120,46.600000,5.249434,0.651308,5000
1,13,8733,edgegpu,ImageNet16-120,46.600000,5.249434,0.651308,5000
1,13,8733,edgegpu,ImageNet16-120,46.600000,5.249434,0.651308,5000
1,13,12415,edgegpu,ImageNet16-120,46.566666,4.667692,0.651308,5000
1,13,12415,edgegpu,ImageNet16-120,46.566666,4.667692,0.651308,5000
1,13,12415,edgegpu,ImageNet16-120,46.566666,4.667692,0.651308,5000
1,13,12415,edgegpu,ImageNet16-120,46.566666,4.667692,0.651308,5000
1,13,12415,edgegpu,ImageNet16-120,46.566666,4.667692,0.651308,5000
1,13,8884,edgegpu,ImageNet16-120,45.033333,3.499999,0.651308,5000
1,13,8426,edgegpu,ImageNet16-120,44.633335,3.370147,0.651308,5000
1,13,8426,edgegpu,ImageNet16-120,44.633335,3.370147,0.651308,5000
1,13,11961,edgegpu,ImageNet16-120,39.722220,1.916986,0.651308,5000
1,13,5674,edgegpu,ImageNet16-120,39.650000,1.763358,0.651308,5000
1,14,857,edgetpu,ImageNet16-120,47.311110,0.997730,0.674045,5000
1,14,857,edgetpu,ImageNet16-120,47.311110,0.997730,0.674045,5000
1,14,857,edgetpu,ImageNet16-120,47.311110,0.997730,0.674045,5000
1,14,857,edgetpu,ImageNet16-120,47.311110,0.997730,0.674045,5000
