context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std
1,edgegpu,cifar10,94.262001,0.139054771,0.540314674,0.001350858246,0.850505785,0.0008379301672,0.07290380458,0.02494652065,0,0,0.06154316999,0.005698091133
2,edgetpu,cifar10,94.2803365,0.1209748556,0.352690935,0.0005007581544,0.8429014963,0.005894753174,0.05159525207,0.02422464884,0,0,0.06594958,0.004364719999
3,eyeriss,cifar10,94.238002,0.1067331366,1.67954,0,0.8385158581,0.004472758718,0.1330559337,0.03626111831,0,0,0.05272483,0.003025364728
4,fpga,cifar10,94.118,0.1298306589,1.13296,0,0.7758140826,0.0057535839,0.1343659007,0.04241515984,0,0,0.0547304,0.006088272983
5,pixel3,cifar10,94.2716685,0.08678672136,0.003710479,0.00039305953,0.9574470432,0.001479879045,0.1741573195,0.04189716225,0,0,0.07632716001,0.004358433665
6,raspi4,cifar10,94.216835,0.1281533045,0.011444112,0.0001141228472,0.9481136447,0.0004905785661,0.1834014791,0.04147619491,0,0,0.07751104,0.003863739181
7,edgegpu,cifar100,72.8619996,0.3399222811,0.529969686,0.01451774577,0.8131247703,0.001352890598,0.1402654996,0.03995357358,0,0,0.06476823001,0.005206254907
8,edgetpu,cifar100,73.1839996,0.2544589897,0.356527864,0.001967277999,0.8065625004,0.006121410477,0.05769155766,0.02118995208,0,0,0.06334135,0.004096410363
9,eyeriss,cifar100,72.9346666,0.4837604423,1.68256,0,0.8421520202,0.0146898451,0.2562804251,0.1606297613,0,0,0.05407762,0.001957367052
10,fpga,cifar100,72.7433332,0.5193954956,1.13296,0,0.7347378447,0.01059998511,0.2803082107,0.09844308998,0,0,0.05781816,0.002818936244
11,pixel3,cifar100,73.1739996,0.2202726848,0.008924521,0.0001257358513,0.9373025432,0.002700213185,0.4076081117,0.1012687144,0,0,0.07535216,0.00366511226
12,raspi4,cifar100,73.0700008,0.3623662518,0.0206481341,0.01551958259,0.9205217385,0.001790820934,0.3517364363,0.1015794954,0,0,0.07719078,0.005129945795
13,edgegpu,ImageNet16-120,46.6299998,0.1650327125,0.538537971,0.004023062101,0.8097712108,0.002326874545,0.1143706923,0.02981041199,0,0,0.06751554,0.00429090256
14,edgetpu,ImageNet16-120,46.6566665,0.3419424883,0.359461435,0.0009464295079,0.8282117223,0.008352571044,0.04881898461,0.03459904935,0,0,0.0680749,0.005322774125
15,eyeriss,ImageNet16-120,46.8466669,0.2717925638,0.42304,0,0.7873364442,0.01405342606,0.1488187983,0.0598034739,0,0,0.05656624,0.004289456799
16,fpga,ImageNet16-120,46.6800002,0.2667491023,0.28432,0,0.7903463405,0.005204688989,0.1150704767,0.03041288276,0,0,0.06477094,0.003640958519
17,pixel3,ImageNet16-120,46.6177777,0.3881322618,0.005821153,0.000339259113,0.8915088709,0.005864185633,0.2183207179,0.1007122615,0,0,0.07590563999,0.00247459696
18,raspi4,ImageNet16-120,46.6699995,0.4144919215,0.01182282815,0.000193050439,0.8689830492,0.005085694744,0.1640853538,0.03454198923,0,0,0.07798265,0.004284699693
