run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,94.363335,0.5385971,0.8511124129,0.06757916567,0,0.05905679998
1,2,edgetpu,cifar10,94.293335,0.35232753,0.8467744032,0.03669778894,0,0.06358730001
1,3,eyeriss,cifar10,94.16,1.67954,0.8383248076,0.132497931,0,0.05026760002
1,4,fpga,cifar10,94.22,1.13296,0.774616012,0.1749794286,0,0.0703588
1,5,pixel3,cifar10,94.22,0.00393635,0.956973907,0.12425469,0,0.0757893
1,6,raspi4,cifar10,94.37334,0.01137756,0.9482103138,0.1873046453,0,0.08293780001
1,7,edgegpu,cifar100,72.64667,0.54352283,0.8133160957,0.1602768329,0,0.0616937
1,8,edgetpu,cifar100,73.14,0.35594803,0.8115983846,0.03993638083,0,0.05925269998
1,9,eyeriss,cifar100,73.166664,1.68256,0.8465604723,0.1662984842,0,0.05923790002
1,10,fpga,cifar100,73.166664,1.13296,0.7491770707,0.1418234286,0,0.0581202
1,11,pixel3,cifar100,73.26,0.00884682,0.9391419015,0.4646593989,0,0.0759229
1,12,raspi4,cifar100,72.42,0.01521528,0.9176284334,0.4059600994,0,0.07252260001
1,13,edgegpu,ImageNet16-120,46.5,0.5339527,0.8063935804,0.1379070091,0,0.0676408
1,14,edgetpu,ImageNet16-120,45.7,0.3590437,0.8121280453,0.1461578023,0,0.06380559999
1,15,eyeriss,ImageNet16-120,47.31111,0.42304,0.7783898698,0.1435446206,0,0.05991310001
1,16,fpga,ImageNet16-120,46.833332,0.28432,0.7844556535,0.08797569473,0,0.07267250001
1,17,pixel3,ImageNet16-120,46.933334,0.00528942,0.8870238394,0.3547063745,0,0.079799
1,18,raspi4,ImageNet16-120,46.766666,0.01201866,0.8696705168,0.2073759125,0,0.0835259
2,1,edgegpu,cifar10,94.363335,0.54205894,0.8520467785,0.03991675554,0,0.06787249999
2,2,edgetpu,cifar10,94.08,0.35254368,0.8344140784,0.09640911265,0,0.06487460001
2,3,eyeriss,cifar10,94.04,1.67954,0.8349729996,0.117002069,0,0.05299579998
2,4,fpga,cifar10,93.99,1.13296,0.7771195249,0.1041285714,0,0.05566859999
