context_id,archid,device,dataset,accuracy,latency
1,13714,edgegpu,cifar10,94.373340,6.772180
1,1459,edgegpu,cifar10,94.296670,6.748991
1,5292,edgegpu,cifar10,94.293335,6.663151
1,2053,edgegpu,cifar10,94.206665,5.482254
1,11692,edgegpu,cifar10,94.130000,4.708362
1,6330,edgegpu,cifar10,94.006670,4.384699
1,5780,edgegpu,cifar10,93.980000,3.361888
1,9099,edgegpu,cifar10,93.940000,3.357520
1,10484,edgegpu,cifar10,93.810000,3.354015
1,2776,edgegpu,cifar10,93.666664,3.331194
1,6499,edgegpu,cifar10,93.645000,3.331041
1,258,edgegpu,cifar10,93.640000,3.307109
1,11810,edgegpu,cifar10,92.780000,1.992798
1,11438,edgegpu,cifar10,92.500000,1.846719
1,6960,edgegpu,cifar10,92.280000,1.764450
1,1339,edgegpu,cifar10,92.136665,1.751881
1,14090,edgegpu,cifar10,92.086670,1.749086
1,6950,edgegpu,cifar10,92.000000,1.738467
1,13401,edgegpu,cifar10,87.010000,1.457009
1,561,edgegpu,cifar10,86.880000,1.451068
1,14407,edgegpu,cifar10,86.770000,1.440282
1,14527,edgegpu,cifar10,86.765000,1.439619
1,1549,edgegpu,cifar10,86.710000,1.436324
1,5400,edgegpu,cifar10,86.630000,1.427460
1,15200,edgegpu,cifar10,10.000000,0.501385
2,13714,edgetpu,cifar10,94.373340,1.377865
2,3731,edgetpu,cifar10,94.343330,1.282820
2,5111,edgetpu,cifar10,94.306660,1.152010
2,2053,edgetpu,cifar10,94.206665,1.042178
2,6584,edgetpu,cifar10,94.160000,0.888877
2,11692,edgetpu,cifar10,94.130000,0.761100
2,8708,edgetpu,cifar10,94.080000,nan
2,5780,edgetpu,cifar10,93.980000,0.723967
2,8449,edgetpu,cifar10,93.970000,nan
2,9099,edgetpu,cifar10,93.940000,nan
2,6016,edgetpu,cifar10,93.916664,nan
2,5902,edgetpu,cifar10,93.913330,nan
2,8285,edgetpu,cifar10,93.895000,nan
2,5539,edgetpu,cifar10,93.856670,nan
2,9950,edgetpu,cifar10,93.840000,0.723767
2,4099,edgetpu,cifar10,93.820000,nan
2,6999,edgetpu,cifar10,93.820000,nan
2,7419,edgetpu,cifar10,93.813330,nan
2,6830,edgetpu,cifar10,93.810000,nan
2,10872,edgetpu,cifar10,93.810000,nan
2,352,edgetpu,cifar10,93.795000,nan
2,8288,edgetpu,cifar10,93.795000,nan
2,13166,edgetpu,cifar10,93.780000,nan
2,295,edgetpu,cifar10,93.733330,nan
2,10086,edgetpu,cifar10,93.730000,nan
2,2254,edgetpu,cifar10,93.723335,nan
2,11271,edgetpu,cifar10,93.720000,nan
2,12663,edgetpu,cifar10,93.700000,nan
2,11157,edgetpu,cifar10,93.690000,nan
2,11226,edgetpu,cifar10,93.690000,nan
2,1656,edgetpu,cifar10,93.686670,nan
2,9302,edgetpu,cifar10,93.670000,nan
2,2776,edgetpu,cifar10,93.666664,nan
2,4983,edgetpu,cifar10,93.660000,nan
2,4604,edgetpu,cifar10,93.650000,nan
2,14203,edgetpu,cifar10,93.646670,nan
2,11270,edgetpu,cifar10,93.640000,nan
2,11564,edgetpu,cifar10,93.630000,nan
2,15567,edgetpu,cifar10,93.630000,nan
2,3927,edgetpu,cifar10,93.626660,0.723268
2,2566,edgetpu,cifar10,93.620000,nan
2,7353,edgetpu,cifar10,93.620000,nan
2,15159,edgetpu,cifar10,93.620000,nan
2,6515,edgetpu,cifar10,93.616670,0.722858
2,42,edgetpu,cifar10,93.603330,nan
2,4800,edgetpu,cifar10,93.595000,nan
2,9819,edgetpu,cifar10,93.570000,nan
2,10188,edgetpu,cifar10,93.570000,nan
2,3907,edgetpu,cifar10,93.553340,nan
2,15593,edgetpu,cifar10,93.530000,nan
2,15429,edgetpu,cifar10,93.490000,nan
2,5645,edgetpu,cifar10,93.485000,nan
2,8008,edgetpu,cifar10,93.480000,0.629746
2,5856,edgetpu,cifar10,93.480000,nan
2,11435,edgetpu,cifar10,93.450000,nan
2,12645,edgetpu,cifar10,93.450000,nan
2,1162,edgetpu,cifar10,93.430000,nan
2,4278,edgetpu,cifar10,93.430000,nan
2,5725,edgetpu,cifar10,93.410000,nan
2,5609,edgetpu,cifar10,93.390000,nan
2,1406,edgetpu,cifar10,93.386665,nan
2,4511,edgetpu,cifar10,93.380000,nan
2,11294,edgetpu,cifar10,93.380000,nan
2,13214,edgetpu,cifar10,93.380000,nan
2,6382,edgetpu,cifar10,93.376660,0.628638
2,9689,edgetpu,cifar10,93.370000,0.628386
