run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,93.87,1.788454,0.7893638746,0.6936720995,0,0.07149510001
1,2,edgetpu,cifar10,93.93,0.48133013,0.7583164098,0.0822032871,0,0.0846297
1,3,eyeriss,cifar10,93.84,2.17106,0.7148895971,0.2565242482,0,0.0899961
1,4,fpga,cifar10,93.81,1.54256,0.749475878,0.2383430717,0,0.09025919999
1,5,pixel3,cifar10,93.84,2.3714,0.8790668992,0.8047785485,0,0.08565519998
1,6,raspi4,cifar10,93.54,16.83625,0.6769709327,5.748390457,0,0.09054420001
1,7,edgegpu,cifar100,72.01,1.4405394,0.77615533,0.2786278445,0,0.08959290001
1,8,edgetpu,cifar100,72.39333,0.54177296,0.6824296509,0.121211142,0,0.1721409
1,9,eyeriss,cifar100,71.22,2.17408,0.7778187145,0.2457309091,0,0.3652613
1,10,fpga,cifar100,72.14,5.42096,0.08578005836,2.2277,0,0.1457385
1,11,pixel3,cifar100,71.16,2.37614,0.8664860183,0.9845757676,0,0.1084159
1,12,raspi4,cifar100,69.5,21.504765,0.5944059975,9.721517907,0,0.1153718
1,13,edgegpu,ImageNet16-120,44.055557,1.7758751,0.6926371843,1.151468673,0,0.0942197
1,14,edgetpu,ImageNet16-120,45.488888,0.4356796,0.8804234622,0.227972433,0,0.09575800001
1,15,eyeriss,ImageNet16-120,44.02222,0.42304,0.8669794871,0.7526776724,0,0.09456979999
1,16,fpga,ImageNet16-120,44.833332,0.38672,0.6430641623,0.3637435089,0,0.08670419999
1,17,pixel3,ImageNet16-120,45.033333,0.423075,0.8400634983,0.3742519199,0,0.1069322
1,18,raspi4,ImageNet16-120,46.433334,0.9950073,0.784696805,0.4172979162,0,0.1059129
2,1,edgegpu,cifar10,93.68,1.8635798,0.7814939525,0.3463432883,0,0.091698
2,2,edgetpu,cifar10,93.84,0.4809731,0.7535771973,0.07551455941,0,0.08762050001
2,3,eyeriss,cifar10,93.84,1.9253,0.7291383198,0.178872838,0,0.08716530001
2,4,fpga,cifar10,93.95,1.54256,0.7423801829,0.2399669868,0,0.09015820001
2,5,pixel3,cifar10,93.62666,2.38345,0.8778166405,0.7389710726,0,0.1136723
2,6,raspi4,cifar10,93.74333,34.36003,0.361815495,18.26685569,0,0.09210410001
2,7,edgegpu,cifar100,72.06,3.3093119,0.4575859152,1.158834131,0,0.08842499999
2,8,edgetpu,cifar100,72.38,0.48724422,0.6732954404,0.142277063,0,0.09337469999
2,9,eyeriss,cifar100,70.96,2.41984,0.6590012585,0.596375463,0,0.08373499999
2,10,fpga,cifar100,71.56,1.64816,0.6914699291,0.5884916285,0,0.09245739999
2,11,pixel3,cifar100,71.1,2.2035,0.8757884605,0.7866227896,0,0.0881278
2,12,raspi4,cifar100,70.84,5.706104,0.8623822361,2.03942021,0,0.0852539
2,13,edgegpu,ImageNet16-120,45.033333,2.7203226,0.5872743502,0.7013031116,0,0.08588279999
2,14,edgetpu,ImageNet16-120,44.566666,0.5991218,0.7033546317,0.4297962151,0,0.09256669998
2,15,eyeriss,ImageNet16-120,45,0.42304,0.7849843547,0.4086401984,0,0.0935818
2,16,fpga,ImageNet16-120,42.88889,0.28432,0.575571678,0.882483355,0,0.09726360001
2,17,pixel3,ImageNet16-120,40.988888,0.667827,0.7800382083,1.461411434,0,0.1581921
2,18,raspi4,ImageNet16-120,44.288887,0.98458695,0.6991474209,0.8824246423,0,0.0888308
3,1,edgegpu,cifar10,93.73,0.59859276,0.8409599963,0.5342788131,0,0.1046465
3,2,edgetpu,cifar10,93.89,0.3931766,0.5837500867,0.1811030311,0,0.0846729
3,3,eyeriss,cifar10,93.76,3.39986,0.6013772013,0.6314451506,0,0.0939946
3,4,fpga,cifar10,92.05,2.39056,0.5499856831,0.89053375,0,0.08780799998
3,5,pixel3,cifar10,89.56333,1.48501,0.8828851741,1.987535008,0,0.0914379
3,6,raspi4,cifar10,93.85667,2.5554173,0.9262277021,0.669558064,0,0.08890230002
3,7,edgegpu,cifar100,71.18,1.7572689,0.7212332823,0.7433620054,0,0.09565609999
3,8,edgetpu,cifar100,70.55333,0.63542455,0.6022938446,0.6438359465,0,0.08482719999
3,9,eyeriss,cifar100,69.26,1.92832,0.5058459355,1.624823636,0,0.0976367
3,10,fpga,cifar100,71.22,1.13296,0.718936173,0.3885542324,0,0.08722310001
3,11,pixel3,cifar100,70.666664,2.37844,0.8060562839,3.522238641,0,0.09443659999
3,12,raspi4,cifar100,67.08,5.340477,0.8496467127,2.171348012,0,0.08261389998
3,13,edgegpu,ImageNet16-120,44.7,1.9033861,0.7060733076,0.3870994667,0,0.0918195
3,14,edgetpu,ImageNet16-120,45.877777,0.46131605,0.8576045564,0.1474769114,0,0.08410930002
3,15,eyeriss,ImageNet16-120,42.9,0.85312,0.6137643374,1.282256385,0,0.0878292
3,16,fpga,ImageNet16-120,42.122223,0.64912,0.5488335542,1.226633574,0,0.0828873
3,17,pixel3,ImageNet16-120,44.655556,0.424145,0.8004547814,0.6858108287,0,0.0834259
3,18,raspi4,ImageNet16-120,46.47778,4.570794,0.6124266981,1.842965882,0,0.08887359998
4,1,edgegpu,cifar10,93.97,1.4568615,0.8443040892,0.2696733801,0,0.0833158
4,2,edgetpu,cifar10,93.64,0.56188583,0.6591874162,0.1789993195,0,0.09314309998
4,3,eyeriss,cifar10,93.99,2.17106,0.7481593874,0.1046999045,0,0.08321849999
4,4,fpga,cifar10,93.98,1.64816,0.7392935236,0.21933375,0,0.0857887
4,5,pixel3,cifar10,93.375,3.98602,0.8086526372,1.384722785,0,0.09120230001
4,6,raspi4,cifar10,93.51,7.804885,0.8371613258,1.745963331,0,0.08689910002
4,7,edgegpu,cifar100,71.5,0.55715084,0.7863119177,0.2384875943,0,0.08310000002
4,8,edgetpu,cifar100,71.92,0.49157384,0.6947963753,0.18692284,0,0.0879098
4,9,eyeriss,cifar100,70.22,2.41984,0.6335705839,1.127212113,0,0.08712050001
4,10,fpga,cifar100,71.5,1.54256,0.6920211182,0.3845842309,0,0.08502549998
4,11,pixel3,cifar100,70.48,8.98185,0.6079247339,4.422532021,0,0.08695880001
4,12,raspi4,cifar100,70.62,4.816876,0.8803515975,1.511606112,0,0.0859484
4,13,edgegpu,ImageNet16-120,45.755554,0.54814816,0.7146659789,0.6945532185,0,0.09414820001
4,14,edgetpu,ImageNet16-120,46.155556,0.49034914,0.8385123813,0.1224833579,0,0.08492960001
4,15,eyeriss,ImageNet16-120,45.38889,0.48448,0.8415247315,0.393061044,0,0.0867479
4,16,fpga,ImageNet16-120,43.122223,0.78032,0.5141826969,0.7804038182,0,0.08593879998
4,17,pixel3,ImageNet16-120,44.966667,0.737883,0.7895196952,0.686238753,0,0.09984119999
4,18,raspi4,ImageNet16-120,44.4,3.2257068,0.7043610687,0.9584280505,0,0.09128350002
5,1,edgegpu,cifar10,93.45333,1.788454,0.7893516245,0.6743121011,0,0.0841715
5,2,edgetpu,cifar10,93.785,0.39644414,0.7741807535,0.07341133582,0,0.08326270001
5,3,eyeriss,cifar10,93.83,2.17106,0.6654109408,0.414197289,0,0.08478959999
5,4,fpga,cifar10,93.706665,2.16336,0.7004608771,0.24206625,0,0.0836828
5,5,pixel3,cifar10,93.795,1.47175,0.8979014704,2.074816534,0,0.09084299998
5,6,raspi4,cifar10,93.78,2.9459317,0.9224543166,0.5972731777,0,0.1006693
5,7,edgegpu,cifar100,71.5,0.68401337,0.7609653844,0.5052352214,0,0.08872150001
5,8,edgetpu,cifar100,71.74,0.69747496,0.587647313,0.279017569,0,0.08291179998
5,9,eyeriss,cifar100,70.42,1.92832,0.7035371265,0.7048615604,0,0.09319079999
5,10,fpga,cifar100,71.76,1.54256,0.6815283573,0.37761675,0,0.08840939999
5,11,pixel3,cifar100,66.96,3.73441,0.7869728258,2.682244637,0,0.1083689
5,12,raspi4,cifar100,70.88,0.015671961,0.9255349211,0.2619661402,0,0.09312850001
5,13,edgegpu,ImageNet16-120,46.45,0.5482626,0.7102044217,0.3491802078,0,0.08951750002
5,14,edgetpu,ImageNet16-120,43.633335,0.7143999,0.5605034786,0.6856437859,0,0.08952419998
5,15,eyeriss,ImageNet16-120,45.233334,0.73024,0.7115629697,0.3529644687,0,0.08399330001
5,16,fpga,ImageNet16-120,45.2,0.38672,0.6301588296,0.3128166452,0,0.09135129998
5,17,pixel3,ImageNet16-120,44.466667,0.668126,0.8248086182,0.3678219854,0,0.1010692
5,18,raspi4,ImageNet16-120,46.133335,0.98550063,0.7467557565,0.7397720797,0,0.08430470002
6,1,edgegpu,cifar10,93.94,0.7854748,0.7976971445,0.3778974485,0,0.0894696
6,2,edgetpu,cifar10,93.746666,0.4815066,0.7474825118,0.1547169709,0,0.086133
6,3,eyeriss,cifar10,93.85,1.9253,0.632022566,0.471894951,0,0.0889148
6,4,fpga,cifar10,93.403336,2.39056,0.6464829392,0.3805325,0,0.08314820001
6,5,pixel3,cifar10,93.36,2.51055,0.8722043939,0.6966974714,0,0.0882156
6,6,raspi4,cifar10,94.12666,4.9152985,0.891726522,0.5940199354,0,0.08247750002
6,7,edgegpu,cifar100,69.52,0.54427147,0.7560556177,1.026482884,0,0.0834723
6,8,edgetpu,cifar100,72.09333,0.38393384,0.727241546,0.1301698666,0,0.0852309
6,9,eyeriss,cifar100,69.96667,3.15712,0.543466397,1.426779272,0,0.082154
6,10,fpga,cifar100,70.933334,1.64816,0.6874262123,0.6953097605,0,0.08600330001
6,11,pixel3,cifar100,70.19,2.2064,0.8660831442,1.50419262,0,0.087355
6,12,raspi4,cifar100,70.7,2.5382547,0.9149952077,0.9788534208,0,0.08437969998
6,13,edgegpu,ImageNet16-120,43.88889,0.6135988,0.4649897612,1.449847292,0,0.09361519999
6,14,edgetpu,ImageNet16-120,45.97778,0.43060905,0.9029391682,0.177053158,0,0.0875384
6,15,eyeriss,ImageNet16-120,46.5,0.60736,0.7976943495,0.1629626299,0,0.08254520001
6,16,fpga,ImageNet16-120,44.566666,0.28432,0.7169797781,0.3896632093,0,0.0879365
6,17,pixel3,ImageNet16-120,45.3,0.00659159,0.8226062189,0.440575288,0,0.08773299999
6,18,raspi4,ImageNet16-120,45.9,2.2090003,0.7650200343,0.5210787361,0,0.09497369998
7,1,edgegpu,cifar10,92.80666,3.3797407,0.5291363379,1.454370814,0,0.08636369999
7,2,edgetpu,cifar10,94.13,0.6994227,0.4362131618,0.4144851029,0,0.0901305
7,3,eyeriss,cifar10,93.6,2.17106,0.6977096996,0.2679346493,0,0.0816229
7,4,fpga,cifar10,93.22667,2.90576,0.5109869821,0.70049875,0,0.0849854
7,5,pixel3,cifar10,93.57,1.69211,0.903060868,0.9734722412,0,0.08435599998
7,6,raspi4,cifar10,93.74,5.5970774,0.848210841,3.935987027,0,0.0832616
7,7,edgegpu,cifar100,70.3,1.4285517,0.7847525441,0.7342921736,0,0.08320939998
7,8,edgetpu,cifar100,71.52,0.35920766,0.7223471806,0.272852417,0,0.08865619998
7,9,eyeriss,cifar100,71.32,3.15712,0.6347141035,0.6340963266,0,0.08733800001
7,10,fpga,cifar100,72.42,1.64816,0.7029144408,0.3498645204,0,0.08868879999
7,11,pixel3,cifar100,71.96,0.00971522,0.8858802162,0.6642473873,0,0.08447550001
7,12,raspi4,cifar100,70.48,26.229633,0.5080065965,13.44587457,0,0.08437140001
7,13,edgegpu,ImageNet16-120,42.02222,3.4545326,0.4449650235,2.276881882,0,0.088804
7,14,edgetpu,ImageNet16-120,46.233334,0.55230635,0.776262901,0.1042838255,0,0.08271670001
7,15,eyeriss,ImageNet16-120,44.2,0.91456,0.5878693086,0.7106133077,0,0.08280159999
7,16,fpga,ImageNet16-120,45.1,0.28432,0.671211429,0.3670339926,0,0.08482780002
7,17,pixel3,ImageNet16-120,45.18889,0.00750223,0.8064905776,0.4838642788,0,0.1543461
7,18,raspi4,ImageNet16-120,44.31111,0.9836294,0.7553285773,0.5405202053,0,0.09091130001
8,1,edgegpu,cifar10,93.94,0.6154394,0.7911137152,0.1447487436,0,0.0825128
8,2,edgetpu,cifar10,91.84,0.5004381,0.5018262098,1.377905605,0,0.0822494
8,3,eyeriss,cifar10,93.785,2.17106,0.7066748526,0.3663385621,0,0.08272359997
8,4,fpga,cifar10,89.05666,2.57296,0.2497868441,3.040645299,0,0.08419949998
8,5,pixel3,cifar10,93.33667,1.48091,0.9106244102,0.7175095698,0,0.1176069
8,6,raspi4,cifar10,93.66,4.8176875,0.8926780569,0.6173906063,0,0.0863499
8,7,edgegpu,cifar100,70.793335,1.750288,0.6553126231,1.347628548,0,0.08407879999
8,8,edgetpu,cifar100,72.26,0.35705772,0.7025391692,0.1290217978,0,0.0850237
8,9,eyeriss,cifar100,70.61,1.92832,0.7180506156,0.5368688143,0,0.09001410002
8,10,fpga,cifar100,71.9,1.64816,0.6862026133,0.4789621457,0,0.09377959999
8,11,pixel3,cifar100,69.76,2.39201,0.8528356404,1.912072382,0,0.0829444
8,12,raspi4,cifar100,70.44666,2.8110898,0.9163537481,0.6104497609,0,0.08196350001
8,13,edgegpu,ImageNet16-120,44.8,2.750926,0.5606987719,1.142208366,0,0.08484149998
8,14,edgetpu,ImageNet16-120,46.5,0.44405803,0.877161115,0.2044168146,0,0.08720439998
8,15,eyeriss,ImageNet16-120,45.9,0.42304,0.773259182,0.09341538462,0,0.0844768
8,16,fpga,ImageNet16-120,47.033333,0.48912,0.60936525,0.1392290909,0,0.0835712
8,17,pixel3,ImageNet16-120,44.633335,0.504592,0.8495609219,0.3047284076,0,0.08782239998
8,18,raspi4,ImageNet16-120,45.066666,3.0807564,0.7203582796,1.045329502,0,0.08403179998
9,1,edgegpu,cifar10,93.99,1.7827368,0.794878695,0.3679003377,0,0.08743759998
9,2,edgetpu,cifar10,94.06333,0.4817386,0.7914023673,0.02690256235,0,0.08238360001
9,3,eyeriss,cifar10,93.95,1.9253,0.7433018776,0.1537495789,0,0.0853489
9,4,fpga,cifar10,93.84,2.39056,0.669161665,0.25261775,0,0.08373920002
9,5,pixel3,cifar10,94.13,0.00472039,0.9044886748,1.615055024,0,0.08420470002
9,6,raspi4,cifar10,93.28333,4.9113107,0.8907198508,0.7427608421,0,0.09254020001
9,7,edgegpu,cifar100,71.08,1.792078,0.7317961901,0.5425248788,0,0.1096635
9,8,edgetpu,cifar100,72.39333,0.39519474,0.7407453792,0.08687835946,0,0.08272619999
9,9,eyeriss,cifar100,71.68,2.17408,0.6852800777,0.8405845995,0,0.08668499999
9,10,fpga,cifar100,70.52,1.54256,0.7021170209,0.5902794035,0,0.08512209999
9,11,pixel3,cifar100,70,2.08406,0.8751707798,1.115922043,0,0.0840955
9,12,raspi4,cifar100,70.06,0.01629414,0.5993606262,8.832975247,0,0.0876117
9,13,edgegpu,ImageNet16-120,44.7,0.5414963,0.7050505947,0.3393713048,0,0.0875543
9,14,edgetpu,ImageNet16-120,43.622223,0.40176874,0.8195910213,0.5955260035,0,0.08219299998
9,15,eyeriss,ImageNet16-120,44.1,0.79168,0.6561927907,0.7581992613,0,0.08407850002
9,16,fpga,ImageNet16-120,44.988888,0.51792,0.6561225532,0.3081166701,0,0.08300299998
9,17,pixel3,ImageNet16-120,44.45,0.424173,0.8528618559,0.3841930967,0,0.08583960001
9,18,raspi4,ImageNet16-120,44.766666,3.1826775,0.6740342421,1.524085365,0,0.08485800002
10,1,edgegpu,cifar10,93.85,1.774683,0.7948458977,0.4280655515,0,0.08459379998
10,2,edgetpu,cifar10,93.76,0.389467,0.6001910864,0.1729515072,0,0.09222380002
10,3,eyeriss,cifar10,93.55,1.9253,0.6925110903,0.2956337763,0,0.0844809
10,4,fpga,cifar10,93.64,1.64816,0.7453365838,0.241391875,0,0.0887274
