run_id,context_id,archid,device,dataset,accuracy,latency,runtime_sec,evaluations
1,1,14866,edgegpu,cifar10,93.870000,6.602220,0.071495,600
1,1,11443,edgegpu,cifar10,93.840000,6.147151,0.071495,600
1,1,6449,edgegpu,cifar10,93.190000,5.759697,0.071495,600
1,1,5646,edgegpu,cifar10,93.185000,4.780588,0.071495,600
1,1,14434,edgegpu,cifar10,93.160000,4.264450,0.071495,600
1,1,9636,edgegpu,cifar10,92.320000,3.671174,0.071495,600
1,1,8032,edgegpu,cifar10,92.030000,1.788454,0.071495,600
1,2,4062,edgetpu,cifar10,93.930000,1.208615,0.084630,600
1,2,250,edgetpu,cifar10,93.743330,0.727987,0.084630,600
1,2,4438,edgetpu,cifar10,92.270000,0.481473,0.084630,600
1,2,5889,edgetpu,cifar10,91.996666,0.481330,0.084630,600
1,3,9950,eyeriss,cifar10,93.840000,4.628660,0.089996,601
1,3,7407,eyeriss,cifar10,93.510000,3.645620,0.089996,601
1,3,7407,eyeriss,cifar10,93.510000,3.645620,0.089996,601
1,3,8008,eyeriss,cifar10,93.480000,3.399860,0.089996,601
1,3,8008,eyeriss,cifar10,93.480000,3.399860,0.089996,601
1,3,8008,eyeriss,cifar10,93.480000,3.399860,0.089996,601
1,3,11713,eyeriss,cifar10,92.153336,3.154100,0.089996,601
1,3,4578,eyeriss,cifar10,89.673330,2.171060,0.089996,601
1,4,6830,fpga,cifar10,93.810000,4.057760,0.090259,600
1,4,13352,fpga,cifar10,93.340000,3.648160,0.090259,600
1,4,4948,fpga,cifar10,92.890000,3.315360,0.090259,600
1,4,4948,fpga,cifar10,92.890000,3.315360,0.090259,600
1,4,6425,fpga,cifar10,92.570000,2.905760,0.090259,600
1,4,1894,fpga,cifar10,92.110000,2.390560,0.090259,600
1,4,5393,fpga,cifar10,90.360000,2.163360,0.090259,600
1,4,4227,fpga,cifar10,89.636665,1.648160,0.090259,600
1,4,12670,fpga,cifar10,86.140000,1.542560,0.090259,600
1,5,7897,pixel3,cifar10,93.840000,15.846900,0.085655,600
1,5,1617,pixel3,cifar10,93.570000,13.449100,0.085655,600
1,5,10412,pixel3,cifar10,93.530000,9.897210,0.085655,600
1,5,2648,pixel3,cifar10,93.246666,8.936790,0.085655,600
1,5,5530,pixel3,cifar10,92.676670,8.096540,0.085655,600
1,5,3264,pixel3,cifar10,92.500000,7.287530,0.085655,600
1,5,9204,pixel3,cifar10,90.010000,4.232370,0.085655,600
1,5,13887,pixel3,cifar10,89.636665,2.371400,0.085655,600
1,6,15615,raspi4,cifar10,93.540000,33.468513,0.090544,600
1,6,3949,raspi4,cifar10,92.513336,26.783243,0.090544,600
1,6,12760,raspi4,cifar10,92.485000,22.470083,0.090544,600
1,6,2646,raspi4,cifar10,89.993330,16.836250,0.090544,600
1,7,655,edgegpu,cifar100,72.010000,5.390725,0.089593,600
1,7,12415,edgegpu,cifar100,71.940000,4.828467,0.089593,600
1,7,4160,edgegpu,cifar100,67.600000,1.895065,0.089593,600
1,7,70,edgegpu,cifar100,66.760000,1.792550,0.089593,600
1,7,14527,edgegpu,cifar100,58.590000,1.440539,0.089593,600
1,8,11711,edgetpu,cifar100,72.393330,1.216490,0.172141,600
1,8,2053,edgetpu,cifar100,72.200000,1.151440,0.172141,600
1,8,14375,edgetpu,cifar100,71.740000,0.984291,0.172141,600
1,8,14375,edgetpu,cifar100,71.740000,0.984291,0.172141,600
1,8,14375,edgetpu,cifar100,71.740000,0.984291,0.172141,600
1,8,6925,edgetpu,cifar100,71.220000,0.815992,0.172141,600
1,8,8296,edgetpu,cifar100,70.270000,0.799628,0.172141,600
1,8,11080,edgetpu,cifar100,69.120000,0.731724,0.172141,600
1,8,1584,edgetpu,cifar100,68.213330,0.662610,0.172141,600
1,8,13846,edgetpu,cifar100,66.746666,0.541773,0.172141,600
1,9,6925,eyeriss,cifar100,71.220000,3.894400,0.365261,600
1,9,6925,eyeriss,cifar100,71.220000,3.894400,0.365261,600
1,9,1572,eyeriss,cifar100,69.900000,3.402880,0.365261,600
1,9,485,eyeriss,cifar100,67.593330,2.419840,0.365261,600
1,9,8323,eyeriss,cifar100,67.080000,2.174080,0.365261,600
1,10,8449,fpga,cifar100,72.140000,5.420960,0.145739,600
1,11,10902,pixel3,cifar100,71.160000,18.478000,0.108416,600
1,11,15035,pixel3,cifar100,69.700000,9.978940,0.108416,600
1,11,4830,pixel3,cifar100,69.330000,9.022400,0.108416,600
1,11,3776,pixel3,cifar100,66.920000,3.109320,0.108416,600
1,11,12036,pixel3,cifar100,63.800000,2.376140,0.108416,600
1,12,714,raspi4,cifar100,69.270000,21.504765,0.115372,600
1,12,5390,raspi4,cifar100,69.500000,26.446293,0.115372,600
1,13,3578,edgegpu,ImageNet16-120,44.055557,5.500946,0.094220,600
1,13,692,edgegpu,ImageNet16-120,43.055557,4.345336,0.094220,600
1,13,1154,edgegpu,ImageNet16-120,42.366665,4.343920,0.094220,600
1,13,5062,edgegpu,ImageNet16-120,40.744446,3.414736,0.094220,600
1,13,2022,edgegpu,ImageNet16-120,39.488888,3.064065,0.094220,600
1,13,4483,edgegpu,ImageNet16-120,38.166668,1.775875,0.094220,600
1,14,5176,edgetpu,ImageNet16-120,45.488888,0.974280,0.095758,600
1,14,3803,edgetpu,ImageNet16-120,44.933334,0.879505,0.095758,600
1,14,11465,edgetpu,ImageNet16-120,43.866665,0.777389,0.095758,600
1,14,15065,edgetpu,ImageNet16-120,43.666668,0.737755,0.095758,600
1,14,15065,edgetpu,ImageNet16-120,43.666668,0.737755,0.095758,600
1,14,11080,edgetpu,ImageNet16-120,43.433334,0.601148,0.095758,600
1,14,1044,edgetpu,ImageNet16-120,41.388890,0.571461,0.095758,600
1,14,8944,edgetpu,ImageNet16-120,38.544445,0.435680,0.095758,600
1,15,2892,eyeriss,ImageNet16-120,44.022220,1.590400,0.094570,600
1,15,14923,eyeriss,ImageNet16-120,43.911110,1.283200,0.094570,600
1,15,15495,eyeriss,ImageNet16-120,43.666668,0.976000,0.094570,600
1,15,2578,eyeriss,ImageNet16-120,42.266666,0.853120,0.094570,600
1,15,9246,eyeriss,ImageNet16-120,39.300000,0.791680,0.094570,600
1,15,8715,eyeriss,ImageNet16-120,38.800000,0.668800,0.094570,600
1,15,9371,eyeriss,ImageNet16-120,38.100000,0.607360,0.094570,600
1,15,186,eyeriss,ImageNet16-120,27.822222,0.423040,0.094570,600
1,16,6931,fpga,ImageNet16-120,44.833332,1.411200,0.086704,600
1,16,4232,fpga,ImageNet16-120,43.466667,1.116320,0.086704,600
1,16,12043,fpga,ImageNet16-120,42.900000,0.969600,0.086704,600
1,16,206,fpga,ImageNet16-120,39.711110,0.784000,0.086704,600
1,16,7891,fpga,ImageNet16-120,38.950000,0.780320,0.086704,600
1,16,5490,fpga,ImageNet16-120,36.555557,0.546720,0.086704,600
1,16,13444,fpga,ImageNet16-120,21.211111,0.386720,0.086704,600
1,16,13444,fpga,ImageNet16-120,21.211111,0.386720,0.086704,600
1,17,8884,pixel3,ImageNet16-120,45.033333,4.112300,0.106932,600
1,17,2899,pixel3,ImageNet16-120,43.911110,2.701210,0.106932,600
1,17,797,pixel3,ImageNet16-120,42.733334,2.483250,0.106932,600
1,17,8801,pixel3,ImageNet16-120,39.166668,2.208890,0.106932,600
1,17,5245,pixel3,ImageNet16-120,34.044445,0.944254,0.106932,600
1,17,2518,pixel3,ImageNet16-120,28.444445,0.423075,0.106932,600
1,18,2018,raspi4,ImageNet16-120,46.433334,7.482383,0.105913,601
1,18,1943,raspi4,ImageNet16-120,42.866665,3.803968,0.105913,601
1,18,11282,raspi4,ImageNet16-120,39.633335,3.080430,0.105913,601
1,18,11177,raspi4,ImageNet16-120,33.200000,1.573414,0.105913,601
1,18,13972,raspi4,ImageNet16-120,31.933332,1.531957,0.105913,601
1,18,5034,raspi4,ImageNet16-120,28.400000,0.995007,0.105913,601
2,1,11217,edgegpu,cifar10,93.680000,3.376017,0.091698,600
2,1,5981,edgegpu,cifar10,92.050000,1.864467,0.091698,600
2,1,3274,edgegpu,cifar10,92.046670,1.863580,0.091698,600
2,2,8426,edgetpu,cifar10,93.840000,0.731188,0.087621,600
2,2,8649,edgetpu,cifar10,93.785000,0.728821,0.087621,600
2,2,8884,edgetpu,cifar10,93.750000,0.725050,0.087621,600
2,2,2240,edgetpu,cifar10,91.990000,0.480973,0.087621,600
2,3,7897,eyeriss,cifar10,93.840000,4.874420,0.087165,600
2,3,10412,eyeriss,cifar10,93.530000,3.645620,0.087165,600
2,3,10412,eyeriss,cifar10,93.530000,3.645620,0.087165,600
2,3,10412,eyeriss,cifar10,93.530000,3.645620,0.087165,600
2,3,7870,eyeriss,cifar10,92.570000,3.399860,0.087165,600
2,3,5208,eyeriss,cifar10,90.596664,2.416820,0.087165,600
2,3,5208,eyeriss,cifar10,90.596664,2.416820,0.087165,600
2,3,13055,eyeriss,cifar10,90.340000,2.171060,0.087165,600
2,3,13055,eyeriss,cifar10,90.340000,2.171060,0.087165,600
2,3,12715,eyeriss,cifar10,89.496666,1.925300,0.087165,600
2,4,8290,fpga,cifar10,93.950000,4.678560,0.090158,601
2,4,12955,fpga,cifar10,93.456665,3.420960,0.090158,601
2,4,6590,fpga,cifar10,92.483330,2.905760,0.090158,601
2,4,11062,fpga,cifar10,92.130000,2.800160,0.090158,601
2,4,10017,fpga,cifar10,91.480000,2.390560,0.090158,601
2,4,10689,fpga,cifar10,90.790000,2.163360,0.090158,601
2,4,9805,fpga,cifar10,89.790000,1.648160,0.090158,601
2,4,13659,fpga,cifar10,86.386665,1.542560,0.090158,601
2,5,3927,pixel3,cifar10,93.626660,14.855400,0.113672,600
2,5,12251,pixel3,cifar10,93.290000,11.487900,0.113672,600
2,5,6412,pixel3,cifar10,93.216670,7.765190,0.113672,600
2,5,7551,pixel3,cifar10,90.360000,3.520300,0.113672,600
2,5,580,pixel3,cifar10,89.720000,2.383450,0.113672,600
2,6,250,raspi4,cifar10,93.743330,34.360030,0.092104,600
2,7,5374,edgegpu,cifar100,72.060000,5.409412,0.088425,600
2,7,69,edgegpu,cifar100,71.020000,3.363419,0.088425,600
2,7,13878,edgegpu,cifar100,64.153336,3.309312,0.088425,600
2,8,3385,edgetpu,cifar100,72.380000,1.213195,0.093375,600
2,8,1939,edgetpu,cifar100,70.760000,0.924823,0.093375,600
2,8,9880,edgetpu,cifar100,68.940000,0.730909,0.093375,600
2,8,1196,edgetpu,cifar100,67.066666,0.490226,0.093375,600
2,8,1196,edgetpu,cifar100,67.066666,0.490226,0.093375,600
2,8,5276,edgetpu,cifar100,66.846664,0.487244,0.093375,600
2,9,9743,eyeriss,cifar100,70.960000,4.877440,0.083735,600
2,9,9743,eyeriss,cifar100,70.960000,4.877440,0.083735,600
2,9,1450,eyeriss,cifar100,70.506670,3.894400,0.083735,600
2,9,1383,eyeriss,cifar100,70.273330,3.648640,0.083735,600
2,9,4830,eyeriss,cifar100,69.330000,3.402880,0.083735,600
2,9,2473,eyeriss,cifar100,67.180000,3.157120,0.083735,600
2,9,181,eyeriss,cifar100,63.813330,2.419840,0.083735,600
2,10,8572,fpga,cifar100,71.560000,4.678560,0.092457,600
2,10,4423,fpga,cifar100,69.573330,3.420960,0.092457,600
2,10,4423,fpga,cifar100,69.573330,3.420960,0.092457,600
2,10,14567,fpga,cifar100,69.200000,2.905760,0.092457,600
2,10,9015,fpga,cifar100,67.486664,2.390560,0.092457,600
2,10,9839,fpga,cifar100,62.820000,2.057760,0.092457,600
2,10,8873,fpga,cifar100,62.240000,1.648160,0.092457,600
2,11,8002,pixel3,cifar100,71.100000,24.295100,0.088128,600
2,11,4232,pixel3,cifar100,71.080000,15.063900,0.088128,600
2,11,9441,pixel3,cifar100,69.770000,10.799900,0.088128,600
2,11,14811,pixel3,cifar100,69.680000,8.960750,0.088128,600
2,11,4409,pixel3,cifar100,67.173330,3.113370,0.088128,600
2,11,9496,pixel3,cifar100,66.560000,3.112410,0.088128,600
2,11,6407,pixel3,cifar100,62.353333,2.205900,0.088128,600
2,11,284,pixel3,cifar100,62.140000,2.203500,0.088128,600
2,12,11443,raspi4,cifar100,70.840000,38.865510,0.085254,600
2,12,1357,raspi4,cifar100,67.480000,10.177114,0.085254,600
2,12,8573,raspi4,cifar100,64.260000,5.706104,0.085254,600
2,13,8884,edgegpu,ImageNet16-120,45.033333,3.499999,0.085883,600
2,13,2776,edgegpu,ImageNet16-120,43.588890,3.349247,0.085883,600
2,13,7750,edgegpu,ImageNet16-120,43.066666,3.340073,0.085883,600
2,13,4153,edgegpu,ImageNet16-120,39.555557,2.878752,0.085883,600
2,13,13276,edgegpu,ImageNet16-120,39.177776,2.720323,0.085883,600
2,14,15380,edgetpu,ImageNet16-120,42.900000,0.599122,0.092567,600
2,14,8855,edgetpu,ImageNet16-120,44.566666,0.757874,0.092567,600
2,15,10970,eyeriss,ImageNet16-120,45.000000,1.283200,0.093582,600
2,15,10970,eyeriss,ImageNet16-120,45.000000,1.283200,0.093582,600
2,15,13160,eyeriss,ImageNet16-120,43.266666,0.976000,0.093582,600
2,15,13316,eyeriss,ImageNet16-120,42.700000,0.914560,0.093582,600
2,15,13316,eyeriss,ImageNet16-120,42.700000,0.914560,0.093582,600
2,15,14306,eyeriss,ImageNet16-120,42.166668,0.853120,0.093582,600
2,15,13387,eyeriss,ImageNet16-120,38.900000,0.791680,0.093582,600
2,15,6064,eyeriss,ImageNet16-120,37.566666,0.607360,0.093582,600
2,15,9585,eyeriss,ImageNet16-120,0.833333,0.423040,0.093582,600
2,16,4618,fpga,ImageNet16-120,28.544445,0.284320,0.097264,601
2,16,9543,fpga,ImageNet16-120,42.888890,0.969600,0.097264,601
2,17,3132,pixel3,ImageNet16-120,40.988888,2.500410,0.158192,600
2,17,11032,pixel3,ImageNet16-120,39.422222,2.254450,0.158192,600
2,17,12636,pixel3,ImageNet16-120,36.500000,1.263680,0.158192,600
2,17,1631,pixel3,ImageNet16-120,33.788887,0.669645,0.158192,600
2,17,580,pixel3,ImageNet16-120,33.577778,0.667827,0.158192,600
2,18,1353,raspi4,ImageNet16-120,44.288887,6.156750,0.088831,600
2,18,8627,raspi4,ImageNet16-120,43.633335,4.552218,0.088831,600
2,18,1917,raspi4,ImageNet16-120,36.255554,2.860813,0.088831,600
2,18,13077,raspi4,ImageNet16-120,33.977780,2.279459,0.088831,600
2,18,1164,raspi4,ImageNet16-120,28.522223,0.984587,0.088831,600
3,1,8736,edgegpu,cifar10,93.730000,5.484295,0.104646,600
3,1,2601,edgegpu,cifar10,93.270000,4.265766,0.104646,600
3,1,10554,edgegpu,cifar10,92.170000,3.441076,0.104646,600
3,1,1815,edgegpu,cifar10,91.973335,1.927080,0.104646,600
3,1,8741,edgegpu,cifar10,86.613335,1.442742,0.104646,600
3,1,15149,edgegpu,cifar10,10.000000,0.598593,0.104646,600
3,2,14375,edgetpu,cifar10,93.890000,0.935488,0.084673,600
3,2,326,edgetpu,cifar10,93.340000,0.917869,0.084673,600
3,2,8137,edgetpu,cifar10,92.153336,0.654069,0.084673,600
3,2,15009,edgetpu,cifar10,88.970000,0.393177,0.084673,600
3,3,219,eyeriss,cifar10,93.030000,3.399860,0.093995,600
3,3,541,eyeriss,cifar10,93.760000,5.120180,0.093995,600
3,4,15019,fpga,cifar10,92.050000,2.390560,0.087808,600
3,5,1751,pixel3,cifar10,89.563330,1.853380,0.091438,600
3,5,2481,pixel3,cifar10,86.503334,1.485010,0.091438,600
3,6,5539,raspi4,cifar10,93.856670,53.944435,0.088902,600
3,6,2276,raspi4,cifar10,92.680000,26.998860,0.088902,600
3,6,4283,raspi4,cifar10,92.670000,21.654640,0.088902,600
3,6,2029,raspi4,cifar10,92.610000,20.960432,0.088902,600
3,6,13096,raspi4,cifar10,90.700000,7.430101,0.088902,600
3,6,6447,raspi4,cifar10,89.250000,5.192995,0.088902,600
3,6,375,raspi4,cifar10,89.165000,5.150240,0.088902,600
3,6,1860,raspi4,cifar10,86.646670,2.576200,0.088902,600
3,6,12475,raspi4,cifar10,86.580000,2.555417,0.088902,600
3,7,6931,edgegpu,cifar100,71.180000,5.708232,0.095656,600
3,7,5776,edgegpu,cifar100,70.740000,4.337230,0.095656,600
3,7,15567,edgegpu,cifar100,69.820000,3.385076,0.095656,600
3,7,8276,edgegpu,cifar100,69.290000,3.374457,0.095656,600
3,7,12723,edgegpu,cifar100,68.000000,3.126664,0.095656,600
3,7,9824,edgegpu,cifar100,67.686670,2.845335,0.095656,600
3,7,14243,edgegpu,cifar100,62.980000,1.784954,0.095656,600
3,7,3953,edgegpu,cifar100,62.613335,1.757269,0.095656,600
3,8,10200,edgetpu,cifar100,70.553330,0.728958,0.084827,600
3,8,10750,edgetpu,cifar100,70.540000,0.727712,0.084827,600
3,8,2648,edgetpu,cifar100,69.680000,0.635425,0.084827,600
3,9,2896,eyeriss,cifar100,69.260000,3.402880,0.097637,600
3,9,1435,eyeriss,cifar100,62.226665,1.928320,0.097637,600
3,10,6925,fpga,cifar100,71.220000,3.936160,0.087223,600
3,10,3045,fpga,cifar100,70.120000,3.830560,0.087223,600
3,10,10658,fpga,cifar100,69.953330,3.420960,0.087223,600
3,10,7031,fpga,cifar100,69.526665,2.905760,0.087223,600
3,10,3511,fpga,cifar100,67.146670,2.390560,0.087223,600
3,10,9413,fpga,cifar100,63.666668,1.648160,0.087223,600
3,10,14108,fpga,cifar100,58.226665,1.542560,0.087223,600
3,10,1728,fpga,cifar100,55.146667,1.132960,0.087223,600
3,11,203,pixel3,cifar100,70.666664,23.198500,0.094437,601
3,11,7291,pixel3,cifar100,64.106670,2.594550,0.094437,601
3,11,14407,pixel3,cifar100,58.500000,2.378440,0.094437,601
3,12,9762,raspi4,cifar100,67.080000,9.740194,0.082614,600
3,12,8573,raspi4,cifar100,64.260000,5.706104,0.082614,600
3,12,1995,raspi4,cifar100,58.366665,5.340477,0.082614,600
3,13,4946,edgegpu,ImageNet16-120,44.700000,3.490419,0.091819,601
3,13,8426,edgegpu,ImageNet16-120,44.633335,3.370147,0.091819,601
3,13,9997,edgegpu,ImageNet16-120,43.966667,3.355384,0.091819,601
3,13,8644,edgegpu,ImageNet16-120,42.733334,3.349962,0.091819,601
3,13,11438,edgegpu,ImageNet16-120,39.733334,1.903386,0.091819,601
3,14,2217,edgetpu,ImageNet16-120,45.877777,0.978972,0.084109,600
3,14,13583,edgetpu,ImageNet16-120,45.866665,0.807343,0.084109,600
3,14,11299,edgetpu,ImageNet16-120,44.900000,0.800374,0.084109,600
3,14,9722,edgetpu,ImageNet16-120,44.000000,0.617363,0.084109,600
