run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,94.13,0.5396843,0.8481447465,0.1584657801,0,0.2493922
1,2,edgetpu,cifar10,94.30666,0.36174473,0.7735327126,0.09394706743,0,0.1517875
1,3,eyeriss,cifar10,94.3,1.67954,0.9852842203,0.1702560972,0,0.2328358
1,4,fpga,cifar10,94.29667,1.13296,0.7878439452,0.2104665789,0,0.2176117001
1,5,pixel3,cifar10,94.37334,1.05676,0.9557115504,0.3653835529,0,0.2212348999
1,6,raspi4,cifar10,94.19,0.01147758,0.9440623038,0.5525545454,0,0.2329232
1,7,edgegpu,cifar100,72.48,0.5396509,0.8031103299,0.5413601553,0,0.2048998
1,8,edgetpu,cifar100,72.01,0.52972716,0.7012834627,0.3117442055,0,0.1566069
1,9,eyeriss,cifar100,71.88,1.68256,0.8949246771,0.8264047181,0,0.1684985999
1,10,fpga,cifar100,71.04,1.13296,0.9326780822,0.949560843,0,0.1555022
1,11,pixel3,cifar100,72.48,1.47639,0.91128774,1.507430912,0,0.1547635
1,12,raspi4,cifar100,72.666664,0.01560854,0.916890987,0.4354936668,0,0.2473189
1,13,edgegpu,ImageNet16-120,46.5,0.55698395,0.7559261821,0.8344589552,0,0.1885383
1,14,edgetpu,ImageNet16-120,46,0.36462292,0.799317866,0.157977724,0,0.184138
1,15,eyeriss,ImageNet16-120,45.511112,0.48448,0.8689075008,0.5282260658,0,0.2603118001
1,16,fpga,ImageNet16-120,46.58889,0.28432,0.7805147272,0.2244778595,0,0.25186
1,17,pixel3,ImageNet16-120,45.97778,0.00598104,0.8616689795,0.3271032228,0,0.2373157
1,18,raspi4,ImageNet16-120,46.9,0.01175568,0.8664585727,0.3237582589,0,0.2302125
2,1,edgegpu,cifar10,93.84,0.5412197,0.8461597804,0.2083691704,0,0.1708734001
2,2,edgetpu,cifar10,94.22,0.37431288,0.8446287625,0.07069754815,0,0.1985482
2,3,eyeriss,cifar10,94.3,1.67954,0.9832655399,0.3134418302,0,0.1556666
2,4,fpga,cifar10,94.3,1.13296,0.7909704669,0.2222355665,0,0.1887561
2,5,pixel3,cifar10,94.37334,0.00327686,0.9574161619,0.2549723368,0,0.1714246999
