run_id,context_id,archid,device,dataset,accuracy,latency,runtime_sec,evaluations
1,1,7602,edgegpu,cifar10,94.085000,6.666264,0.014206,48
1,1,3077,edgegpu,cifar10,92.720000,6.558533,0.014206,48
1,1,3077,edgegpu,cifar10,92.720000,6.558533,0.014206,48
1,1,7127,edgegpu,cifar10,92.010000,3.472834,0.014206,48
1,1,7127,edgegpu,cifar10,92.010000,3.472834,0.014206,48
1,1,14051,edgegpu,cifar10,91.836670,3.164024,0.014206,48
1,1,11959,edgegpu,cifar10,91.086670,2.942519,0.014206,48
1,1,12607,edgegpu,cifar10,89.180000,1.784811,0.014206,48
1,2,12967,edgetpu,cifar10,93.960000,1.084628,0.014505,48
1,2,497,edgetpu,cifar10,93.423330,0.838095,0.014505,48
1,2,497,edgetpu,cifar10,93.423330,0.838095,0.014505,48
1,2,12417,edgetpu,cifar10,92.250000,0.714709,0.014505,48
1,2,9805,edgetpu,cifar10,89.790000,0.499896,0.014505,48
1,2,1005,edgetpu,cifar10,89.183334,0.392518,0.014505,48
1,2,6863,edgetpu,cifar10,86.740000,0.369590,0.014505,48
1,2,15288,edgetpu,cifar10,86.660000,0.354230,0.014505,48
1,3,7548,eyeriss,cifar10,93.956665,7.823540,0.014467,48
1,3,7548,eyeriss,cifar10,93.956665,7.823540,0.014467,48
1,3,10946,eyeriss,cifar10,92.370000,5.365940,0.014467,48
1,3,12030,eyeriss,cifar10,91.250000,4.874420,0.014467,48
1,3,1187,eyeriss,cifar10,91.136665,3.399860,0.014467,48
1,3,1187,eyeriss,cifar10,91.136665,3.399860,0.014467,48
1,3,15137,eyeriss,cifar10,88.820000,1.925300,0.014467,48
1,3,15137,eyeriss,cifar10,88.820000,1.925300,0.014467,48
1,4,12542,fpga,cifar10,93.156670,4.678560,0.014810,48
1,4,6626,fpga,cifar10,92.660000,3.936160,0.014810,48
1,4,6626,fpga,cifar10,92.660000,3.936160,0.014810,48
1,4,9745,fpga,cifar10,92.330000,2.905760,0.014810,48
1,4,14310,fpga,cifar10,92.153336,2.390560,0.014810,48
1,4,5806,fpga,cifar10,86.283330,1.542560,0.014810,48
1,4,9933,fpga,cifar10,84.070000,1.132960,0.014810,48
1,5,8008,pixel3,cifar10,93.480000,8.914150,0.014690,48
1,5,8008,pixel3,cifar10,93.480000,8.914150,0.014690,48
1,5,7856,pixel3,cifar10,90.473335,4.081240,0.014690,48
1,5,2835,pixel3,cifar10,90.230000,3.100650,0.014690,48
1,5,9682,pixel3,cifar10,87.960000,2.487700,0.014690,48
1,5,9682,pixel3,cifar10,87.960000,2.487700,0.014690,48
1,5,7511,pixel3,cifar10,84.523330,1.553160,0.014690,48
1,5,7511,pixel3,cifar10,84.523330,1.553160,0.014690,48
1,6,1062,raspi4,cifar10,93.640000,73.956470,0.014746,48
1,6,1062,raspi4,cifar10,93.640000,73.956470,0.014746,48
1,6,14779,raspi4,cifar10,92.660000,37.376083,0.014746,48
1,6,12977,raspi4,cifar10,92.440000,23.115395,0.014746,48
1,6,6278,raspi4,cifar10,90.276665,15.027988,0.014746,48
1,6,15012,raspi4,cifar10,89.695000,7.542740,0.014746,48
1,6,15012,raspi4,cifar10,89.695000,7.542740,0.014746,48
1,6,11248,raspi4,cifar10,89.393330,5.196696,0.014746,48
1,7,7313,edgegpu,cifar100,70.840000,7.119398,0.022776,48
1,7,7313,edgegpu,cifar100,70.840000,7.119398,0.022776,48
1,7,10217,edgegpu,cifar100,70.140000,5.661697,0.022776,48
1,7,7502,edgegpu,cifar100,69.120000,5.606890,0.022776,48
1,7,1131,edgegpu,cifar100,67.960000,4.705682,0.022776,48
1,7,6636,edgegpu,cifar100,67.400000,3.335037,0.022776,48
1,7,3379,edgegpu,cifar100,67.140000,2.759423,0.022776,48
1,7,3379,edgegpu,cifar100,67.140000,2.759423,0.022776,48
1,8,8621,edgetpu,cifar100,72.100000,1.171318,0.014020,48
1,8,4433,edgetpu,cifar100,69.786670,1.027424,0.014020,48
1,8,3237,edgetpu,cifar100,69.133330,0.935302,0.014020,48
1,8,3237,edgetpu,cifar100,69.133330,0.935302,0.014020,48
1,8,3237,edgetpu,cifar100,69.133330,0.935302,0.014020,48
1,8,2936,edgetpu,cifar100,66.160000,0.932629,0.014020,48
