context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std
1,edgegpu,cifar10,94.308672,0.1383755791,4.97251795,0.9037213294,0.3492379339,0.1285512184,0.3029891736,0.09814744793,0,0,0.10073399,0.005623306902
2,edgetpu,cifar10,94.3223395,0.1530015,1.014464636,0.1404966656,0.3671938195,0.159615136,0.0637456418,0.1425808367,0,0,0.10646277,0.004779816171
3,eyeriss,cifar10,94.37334,0,5.316788,0.393216,0.6415355951,0.1578255915,0.02384652137,0.03634186274,0,0,0.1026532,0.002393989369
4,fpga,cifar10,94.37334,0,4.62704,0.4860387079,0.5772322044,0.07522252428,0.01353132401,0.01228465254,0,0,0.10452405,0.002892933319
5,pixel3,cifar10,94.3653395,0.0240015,16.58331,1.406621588,0.6522645694,0.0591661844,0.145084389,0.0300119897,0,0,0.10427377,0.003192910179
6,raspi4,cifar10,94.37334,0,41.3058954,3.143311953,0.6974467552,0.1258742748,0.2550143804,0.3418051662,0,0,0.10313099,0.002712187362
7,edgegpu,cifar100,73.436669,0.230001,5.25235612,0.6381589103,0.2619432661,0.04274650406,0.09961612142,0.1653781029,0,0,0.10547826,0.004646826518
8,edgetpu,cifar100,73.513336,0,1.21360246,0.1026348348,0.3290142702,0.06349861198,0.01232442054,0.006370701869,0,0,0.10428064,0.003228112225
9,eyeriss,cifar100,73.4486688,0.1300284085,6.179968,0.8080235998,0.5651614378,0.1215793385,0.1384960893,0.1341219089,0,0,0.10399302,0.004118430788
10,fpga,cifar100,73.1333344,0.7396462338,4.47856,0.690287175,0.4637804712,0.0876524303,0.4000637751,0.6455421889,0,0,0.10257063,0.002375111879
11,pixel3,cifar100,73.4880024,0.0760008,19.79598,2.692443729,0.5945678046,0.03749852332,0.10296643,0.06209573788,0,0,0.10515739,0.004359583737
12,raspi4,cifar100,73.4373352,0.1160931396,40.9893386,6.661189505,0.6104016307,0.1139827294,0.2414566387,0.2643251509,0,0,0.10806236,0.01104771123
13,edgegpu,ImageNet16-120,47.0855548,0.2301392695,4.8486828,0.2767071128,0.6699394155,0.08687176563,0.1977119724,0.1105402001,0,0,0.10503211,0.003076133407
14,edgetpu,ImageNet16-120,46.857777,0.315242101,0.793311517,0.08330301667,0.443360224,0.24392036,0.3855174783,0.2661282743,0,0,0.1029479,0.002391410166
15,eyeriss,ImageNet16-120,46.7477772,0.2175079358,1.301632,0.08710623362,0.6489363585,0.08286264358,0.4718905167,0.1759660965,0,0,0.10287115,0.003846561955
16,fpga,ImageNet16-120,47.0833329,0.2749290034,1.3392,0.2104386276,0.4251193124,0.09710148704,0.2373894603,0.1934009991,0,0,0.10496964,0.002719521951
17,pixel3,ImageNet16-120,46.8399996,0.3168200594,4.591026,0.8384255569,0.5837102369,0.08764110234,0.5241341521,0.3058243402,0,0,0.10416103,0.003741364857
18,raspi4,ImageNet16-120,46.957777,0.270883099,7.0723824,1.23344988,0.5623961428,0.04706574237,0.4272492523,0.1569637995,0,0,0.10670784,0.008714168228
