run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,93.84,3.711133,0.5765384317,1.074786415,0,0.008436999982
1,2,edgetpu,cifar10,93.77,0.6317334,0.6725245141,0.1562120815,0,0.02679270005
1,3,eyeriss,cifar10,94.37334,3.64562,0.5811441152,0.6892992973,0,0.02590779995
1,4,fpga,cifar10,93.78,2.57296,0.6572270758,0.3588166667,0,0.02807709994
1,5,pixel3,cifar10,93.99,2.63316,0.7043562003,0.765549707,0,0.02783959999
1,6,raspi4,cifar10,93.61,18.765045,0.6212521039,2.383129506,0,0.0261434
1,7,edgegpu,cifar100,72.26,2.6144505,0.5328643761,1.194036194,0,0.03149700002
1,8,edgetpu,cifar100,71.69334,0.48913148,0.8325798171,0.2184139754,0,0.02990019997
1,9,eyeriss,cifar100,70.44,3.40288,0.5407132177,1.163288764,0,0.02619880007
1,10,fpga,cifar100,70.18,2.16336,0.595036567,1.100377087,0,0.02561279992
1,11,pixel3,cifar100,70.18,3.27252,0.6603616906,0.9155485127,0,0.02629900002
1,12,raspi4,cifar100,72.74,12.354549,0.7186949488,1.565700179,0,0.02915259998
1,13,edgegpu,ImageNet16-120,44.233334,3.8694382,0.2641407267,2.068335927,0,0.02663910005
1,14,edgetpu,ImageNet16-120,45.633335,0.44254363,0.7208418667,0.1359472482,0,0.02487720002
1,15,eyeriss,ImageNet16-120,44.544445,0.54592,0.5201923535,0.7023367403,0,0.02640800003
1,16,fpga,ImageNet16-120,45.333332,0.64912,0.718153839,0.2152021188,0,0.02633619995
1,17,pixel3,ImageNet16-120,46.533333,1.26066,0.6740264603,0.7341414094,0,0.02517819998
1,18,raspi4,ImageNet16-120,43.22222,1.5319134,0.647219037,0.6518886795,0,0.02807080001
2,1,edgegpu,cifar10,93.68,1.880722,0.7209413565,0.5736209375,0,0.0330691
2,2,edgetpu,cifar10,93.76,0.48348615,0.6319935664,0.1789287693,0,0.0248893
2,3,eyeriss,cifar10,93.82,2.17106,0.5609930283,0.7318616015,0,0.02474070003
