run_id,context_id,archid,device,dataset,accuracy,latency,runtime_sec,evaluations
1,1,11443,edgegpu,cifar10,93.840000,6.147151,0.008437,60
1,1,11443,edgegpu,cifar10,93.840000,6.147151,0.008437,60
1,1,12520,edgegpu,cifar10,93.300000,4.725385,0.008437,60
1,1,9977,edgegpu,cifar10,92.590000,4.665880,0.008437,60
1,1,9977,edgegpu,cifar10,92.590000,4.665880,0.008437,60
1,1,10837,edgegpu,cifar10,92.140000,4.212670,0.008437,60
1,1,6946,edgegpu,cifar10,92.026665,3.726316,0.008437,60
1,1,2358,edgegpu,cifar10,91.250000,3.711133,0.008437,60
1,2,10767,edgetpu,cifar10,93.770000,1.320056,0.026793,60
1,2,3927,edgetpu,cifar10,93.626660,0.723268,0.026793,60
1,2,8158,edgetpu,cifar10,92.666664,0.631733,0.026793,60
1,3,6111,eyeriss,cifar10,94.373340,7.823540,0.025908,60
1,3,8449,eyeriss,cifar10,93.970000,6.348980,0.025908,60
1,3,8449,eyeriss,cifar10,93.970000,6.348980,0.025908,60
1,3,8449,eyeriss,cifar10,93.970000,6.348980,0.025908,60
1,3,10155,eyeriss,cifar10,93.375000,3.891380,0.025908,60
1,3,10155,eyeriss,cifar10,93.375000,3.891380,0.025908,60
1,3,3404,eyeriss,cifar10,91.860000,3.645620,0.025908,60
1,4,13166,fpga,cifar10,93.780000,5.315360,0.028077,60
1,4,11022,fpga,cifar10,93.630000,4.572960,0.028077,60
1,4,13761,fpga,cifar10,93.283330,3.420960,0.028077,60
1,4,4948,fpga,cifar10,92.890000,3.315360,0.028077,60
1,4,11238,fpga,cifar10,92.610000,2.905760,0.028077,60
1,4,995,fpga,cifar10,89.743330,2.572960,0.028077,60
1,5,15425,pixel3,cifar10,93.990000,24.389300,0.027840,60
1,5,15425,pixel3,cifar10,93.990000,24.389300,0.027840,60
1,5,15615,pixel3,cifar10,93.540000,14.844900,0.027840,60
1,5,12081,pixel3,cifar10,92.590000,8.971710,0.027840,60
1,5,13930,pixel3,cifar10,92.023330,8.968730,0.027840,60
1,5,1973,pixel3,cifar10,91.663330,7.988270,0.027840,60
1,5,1973,pixel3,cifar10,91.663330,7.988270,0.027840,60
1,5,3183,pixel3,cifar10,91.006670,6.399860,0.027840,60
1,5,253,pixel3,cifar10,89.246666,3.577240,0.027840,60
1,5,253,pixel3,cifar10,89.246666,3.577240,0.027840,60
1,5,1012,pixel3,cifar10,89.136665,3.049930,0.027840,60
1,5,9234,pixel3,cifar10,89.050000,2.633160,0.027840,60
1,6,244,raspi4,cifar10,93.610000,41.395065,0.026143,60
1,6,7489,raspi4,cifar10,93.346664,27.231937,0.026143,60
1,6,3562,raspi4,cifar10,92.456665,26.539610,0.026143,60
1,6,866,raspi4,cifar10,92.223335,21.637869,0.026143,60
1,6,866,raspi4,cifar10,92.223335,21.637869,0.026143,60
1,6,2971,raspi4,cifar10,92.110000,19.701160,0.026143,60
1,6,2971,raspi4,cifar10,92.110000,19.701160,0.026143,60
1,6,2971,raspi4,cifar10,92.110000,19.701160,0.026143,60
1,6,5889,raspi4,cifar10,91.996666,18.765045,0.026143,60
1,7,722,edgegpu,cifar100,72.260000,6.243353,0.031497,60
1,7,2162,edgegpu,cifar100,70.880000,6.115127,0.031497,60
1,7,11299,edgegpu,cifar100,70.620000,5.174594,0.031497,60
1,7,12955,edgegpu,cifar100,69.960000,4.543452,0.031497,60
1,7,9710,edgegpu,cifar100,68.020000,3.348436,0.031497,60
1,7,5644,edgegpu,cifar100,64.080000,2.614450,0.031497,60
1,8,869,edgetpu,cifar100,71.693340,1.043578,0.029900,60
