context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std
1,edgegpu,cifar10,94.37334,0,0.505105976,0.011163708,0.8411611663,0.0001913442597,0.002843903394,0.004049091899,0,0,0.9686971,0.1645786932
2,edgetpu,cifar10,94.37334,0,0.347107242,0.001683936,0.85139458,0.001894350932,0.002856326136,0.002898591611,0,0,1.01261891,0.1960392179
3,eyeriss,cifar10,94.37334,0,1.67954,0,0.8294358192,0.0004616983499,0.005421288312,0.004638726654,0,0,0.85265198,0.1421531886
4,fpga,cifar10,94.37334,0,1.13296,0,0.7830932826,0.0005165710189,0.00342866875,0.003909350985,0,0,0.87118375,0.1868541367
5,pixel3,cifar10,94.37334,0,0.003308687,9.5481e-05,0.9403941414,0.0002332570996,0.04790595284,0.01675047825,0,0,1.11168335,0.1851063242
6,raspi4,cifar10,94.37334,0,0.011292828,1.8656e-05,0.949216086,0.0002180236899,0.04245103807,0.02374737167,0,0,1.11365101,0.1854685354
7,edgegpu,cifar100,73.513336,0,0.5058527,0,0.8149214181,6.177532649e-05,0.001103521412,0.001126067188,0,0,0.97151201,0.1458398548
8,edgetpu,cifar100,73.513336,0,0.35493976,0,0.8019706167,0.000223087883,0.001660692111,0.0005910955787,0,0,1.00124171,0.1574087126
9,eyeriss,cifar100,73.513336,0,1.68256,0,0.8293778021,0.0007042363905,0.01155602963,0.009313998217,0,0,0.84890851,0.1156713702
10,fpga,cifar100,73.513336,0,1.13296,0,0.758825398,0.0007493754158,0.01893942143,0.007040828398,0,0,0.92323026,0.1996920412
11,pixel3,cifar100,73.513336,0,0.0087526,0,0.9493484992,0.001111735116,0.06763047874,0.03360581432,0,0,1.02582862,0.1693155797
12,raspi4,cifar100,73.513336,0,0.01521528,0,0.9282289706,0.0004963117768,0.06597988822,0.03437789138,0,0,1.02547416,0.1510769281
13,edgegpu,ImageNet16-120,47.31111,0,0.534461963,0.001527789,0.7813210526,0.001068680766,0.01777709133,0.0160378933,0,0,0.9671447,0.128371485
14,edgetpu,ImageNet16-120,47.31111,0,0.358411862,0.0003698757365,0.8027895285,0.001695295676,0.005507939377,0.00335084497,0,0,0.95974965,0.1945825779
15,eyeriss,ImageNet16-120,47.31111,0,0.42304,0,0.7670496267,0.0008786410868,0.003522631579,0.00541227559,0,0,0.79958564,0.1013334834
16,fpga,ImageNet16-120,47.31111,0,0.28432,0,0.7442695061,0.00144370044,0.008053708777,0.006703812078,0,0,0.94690716,0.1901231748
17,pixel3,ImageNet16-120,47.2733324,0.1133328,0.00528942,0,0.9018919704,0.001560330307,0.02930930425,0.02445821648,0,0,1.13900501,0.2226314612
18,raspi4,ImageNet16-120,47.31111,0,0.011514322,1.566e-06,0.793365805,0.0009777255619,0.03989765956,0.01712033032,0,0,1.2264117,0.1996297757
