context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std
1,edgegpu,cifar10,93.8164168,0.2440580391,0.7876305605,0.3859052393,0.9379708312,0.06613348913,0.6162806488,0.2918910612,0,0,0.00287009,0.000913700552
2,edgetpu,cifar10,93.8945826,0.2511587984,0.4078177465,0.0734609283,0.9093419521,0.03165274442,0.1797252862,0.07972952836,0,0,0.007266105,0.01080784476
3,eyeriss,cifar10,93.9473332,0.2631864872,1.839284,0.1606864507,0.9365125921,0.05094944331,0.5468747561,0.1871255047,0,0,0.012447715,0.01773379141
4,fpga,cifar10,93.82825015,0.2875693219,1.44608,0.2547816508,0.9449798205,0.03882076221,0.4680141136,0.1675490767,0,0,0.017401165,0.01836370605
5,pixel3,cifar10,93.86991645,0.2170032783,0.4421179085,0.6481180636,0.9828829109,0.006664685566,0.6006260204,0.1701287813,0,0,0.00818568,0.01227090784
6,raspi4,cifar10,93.80216645,0.2862545921,1.513102773,2.122245713,0.9800569072,0.01633895106,0.9370405974,0.3427194114,0,0,0.002960985,0.0004280762623
7,edgegpu,cifar100,71.5815005,0.6786261102,0.9530408325,0.6093923337,0.9325912527,0.06039344129,0.7222325307,0.268282612,0,0,0.00726996,0.01367136776
8,edgetpu,cifar100,71.83116675,0.7208406948,0.402754829,0.07108248308,0.9029021244,0.04288176804,0.2979506727,0.1465739934,0,0,0.007727315,0.01290281528
9,eyeriss,cifar100,71.86633305,0.8236377993,1.830016,0.196608,0.9506797211,0.02477754376,0.8673264135,0.3010051277,0,0,0.01240112,0.0155462781
10,fpga,cifar100,71.475,0.6794625801,1.43024,0.235813947,0.9242080773,0.02771755966,0.7364981619,0.1946836557,0,0,0.016713635,0.01743482796
11,pixel3,cifar100,71.6033327,0.9863296193,0.516979372,0.7501179123,0.9661996498,0.0129875611,1.048311778,0.3895177514,0,0,0.00689528,0.01116975192
12,raspi4,cifar100,71.7879998,1.077327313,1.362304285,1.742490647,0.9623157574,0.01800247105,1.438049355,0.5117663765,0,0,0.005346455,0.007534009397
13,edgegpu,ImageNet16-120,45.2566666,0.6659156277,0.9156656215,0.5935979443,0.9220750912,0.04215952834,0.7117348423,0.1981553193,0,0,0.00453298,0.007901323221
14,edgetpu,ImageNet16-120,45.58277795,0.4479653033,0.392060115,0.03641271697,0.9023320036,0.02746512439,0.2394881643,0.08853102742,0,0,0.00966157,0.01413368751
15,eyeriss,ImageNet16-120,45.6977774,0.6472579503,0.462976,0.03516064709,0.9395975951,0.02124416075,0.3461285816,0.1189319397,0,0,0.013480645,0.01644486504
16,fpga,ImageNet16-120,45.33972245,0.5572341385,0.3552,0.07206237298,0.9365430814,0.02513394351,0.263830403,0.08671880017,0,0,0.013448395,0.01548874511
17,pixel3,ImageNet16-120,45.66111095,0.6431859499,0.147957407,0.2256399031,0.9552192449,0.01371587139,0.5616646768,0.194303635,0,0,0.010404505,0.01441908042
18,raspi4,ImageNet16-120,45.60722245,0.6719721148,0.427807318,0.5524186746,0.956617962,0.01626361949,0.5818282176,0.1985420581,0,0,0.00580063,0.01088552853
