run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,93.84,0.77893734,0.9419042469,0.5963624922,0,0.002908799999
1,2,edgetpu,cifar10,93.486664,0.389467,0.8964013226,0.2679262075,0,0.002060000001
1,3,eyeriss,cifar10,93.94,1.67954,0.9567537773,0.4500824822,0,0.0025898
1,4,fpga,cifar10,94.13,1.13296,0.9948885047,0.3692676497,0,0.004326100001
1,5,pixel3,cifar10,93.895,0.00393635,0.9837624849,0.4549382381,0,0.003380300001
1,6,raspi4,cifar10,94.21,0.01165384,0.9937319596,0.4526904666,0,0.0028855
1,7,edgegpu,cifar100,71.38,0.61003685,0.9636783681,0.6973144699,0,0.002110000001
1,8,edgetpu,cifar100,71.2,0.36154225,0.8695773853,0.4622281592,0,0.002347700001
1,9,eyeriss,cifar100,72.64,1.68256,0.9771907972,0.7369210865,0,0.002462199998
1,10,fpga,cifar100,73.07333,1.13296,0.9308371577,0.4419335745,0,0.0027711
1,11,pixel3,cifar100,72.04,1.48034,0.974001498,1.407739311,0,0.0029961
1,12,raspi4,cifar100,71.18,0.01623556,0.9674696317,1.684154318,0,0.003070999999
1,13,edgegpu,ImageNet16-120,45.433334,0.75038433,0.889390515,0.7555056867,0,0.002436000001
1,14,edgetpu,ImageNet16-120,46.58889,0.37436852,0.9596381195,0.09023592005,0,0.002373900001
1,15,eyeriss,ImageNet16-120,45.366665,0.48448,0.9341809824,0.3802158052,0,0.0068691
1,16,fpga,ImageNet16-120,44.666668,0.38672,0.9337408184,0.3346199575,0,0.0302953
1,17,pixel3,ImageNet16-120,44.88889,0.0148158,0.9511927048,0.6335657043,0,0.002867699999
1,18,raspi4,ImageNet16-120,45.488888,0.98366916,0.9712476442,0.4123590039,0,0.0035255
2,1,edgegpu,cifar10,93.64,0.5465269,0.9521692521,0.6487750167,0,0.002353100001
2,2,edgetpu,cifar10,94.085,0.37581867,0.9277014017,0.1935125011,0,0.002587499999
2,3,eyeriss,cifar10,93.89333,1.9253,0.954687708,0.4344511756,0,0.002285600001
2,4,fpga,cifar10,93.69,1.64816,0.9182967238,0.4229250544,0,0.0334496
2,5,pixel3,cifar10,93.78,1.31156,0.9856476246,0.6557282844,0,0.002918300001
2,6,raspi4,cifar10,93.933334,0.45740595,0.9913740183,0.6649781501,0,0.0030295
2,7,edgegpu,cifar100,71.28,1.4438009,0.9725937726,0.8175535637,0,0.004067
2,8,edgetpu,cifar100,70.74,0.37735167,0.8584812062,0.3995091708,0,0.002020899999
2,9,eyeriss,cifar100,70.566666,1.68256,0.9681406832,1.297336805,0,0.0021636
2,10,fpga,cifar100,72.42,1.95216,0.8602311618,0.6608807335,0,0.0348942
2,11,pixel3,cifar100,71.28,0.384578,0.9659805916,1.13424439,0,0.002936699999
2,12,raspi4,cifar100,72.26,0.01583894,0.9506106423,1.40075913,0,0.0029048
2,13,edgegpu,ImageNet16-120,45,0.5339527,0.9332243397,0.501579875,0,0.002831199999
2,14,edgetpu,ImageNet16-120,45.288887,0.37348312,0.9262459941,0.2331711922,0,0.0027009
2,15,eyeriss,ImageNet16-120,46.45,0.48448,0.952567026,0.2093105317,0,0.002585100001
2,16,fpga,ImageNet16-120,45.1,0.28432,0.9679544565,0.2354767834,0,0.0379047
2,17,pixel3,ImageNet16-120,44.783333,0.422463,0.9496473459,0.7233902412,0,0.0033573
2,18,raspi4,ImageNet16-120,45.333332,0.01215232,0.9640151243,0.4626720901,0,0.003587499999
3,1,edgegpu,cifar10,94.37334,0.54814816,0.9790596984,0.7867610979,0,0.0027181
3,2,edgetpu,cifar10,93.79,0.36816198,0.8652373488,0.1955222634,0,0.0024278
3,3,eyeriss,cifar10,94.03,1.9253,0.9530803143,0.6768174422,0,0.002171599999
3,4,fpga,cifar10,93.415,1.54256,0.9249428751,0.7981368027,0,0.0025286
3,5,pixel3,cifar10,94.363335,0.00549244,0.9819898491,0.8126735841,0,0.003396399999
3,6,raspi4,cifar10,94.29667,5.753224,0.9480996347,1.434809146,0,0.003075499999
3,7,edgegpu,cifar100,71.54,0.5410099,0.9830728497,0.4301218557,0,0.002584999998
3,8,edgetpu,cifar100,72.36,0.3954965,0.9381845563,0.2117342436,0,0.002268200002
3,9,eyeriss,cifar100,71.94,1.68256,0.9435140587,0.8565300927,0,0.0414948
3,10,fpga,cifar100,70.84,1.13296,0.9746147111,1.018420642,0,0.002652000001
3,11,pixel3,cifar100,72.666664,0.0118819,0.9696025033,0.9723767364,0,0.0032078
3,12,raspi4,cifar100,71.5,0.01614044,0.9290792976,2.080959123,0,0.003871499999
3,13,edgegpu,ImageNet16-120,44.88889,0.54631233,0.9068576503,0.8172067791,0,0.003046400001
3,14,edgetpu,ImageNet16-120,45.38889,0.37738514,0.9057574213,0.2184917297,0,0.002651699999
3,15,eyeriss,ImageNet16-120,45.011112,0.48448,0.9440402945,0.4359451333,0,0.0313055
3,16,fpga,ImageNet16-120,46.4,0.51792,0.909090209,0.1716169795,0,0.003692599999
3,17,pixel3,ImageNet16-120,45.755554,0.030964,0.9505929788,0.6744463076,0,0.0045083
3,18,raspi4,ImageNet16-120,46.133335,0.01169834,0.97206591,0.5657522799,0,0.002877699999
4,1,edgegpu,cifar10,93.99,0.6805229,0.9898444399,0.2462905199,0,0.0026698
4,2,edgetpu,cifar10,93.97,0.3629091,0.9398114692,0.06736339,0,0.0318359
4,3,eyeriss,cifar10,94.293335,1.9253,0.9588624418,0.3567438743,0,0.0020195
4,4,fpga,cifar10,94.07,1.54256,0.9290455225,0.4759968217,0,0.0028946
4,5,pixel3,cifar10,93.94,0.0473983,0.9853732895,0.2460145655,0,0.0026296
4,6,raspi4,cifar10,93.636665,0.06287444,0.9916794226,0.7082610884,0,0.002614399998
4,7,edgegpu,cifar100,70.76,0.5393839,0.7883279032,1.114204511,0,0.002216199999
4,8,edgetpu,cifar100,70.52,0.39397532,0.8486428786,0.4581599972,0,0.0385015
4,9,eyeriss,cifar100,70.58,2.17408,0.9093788379,1.098168848,0,0.002453200001
4,10,fpga,cifar100,71.5,1.54256,0.9279303279,0.578257023,0,0.0025682
4,11,pixel3,cifar100,70.58,2.205,0.9479526099,1.262878251,0,0.0030314
4,12,raspi4,cifar100,70.78,2.864314,0.9688558158,1.142301929,0,0.002784
4,13,edgegpu,ImageNet16-120,44.7,0.5444908,0.9411933934,0.8191118684,0,0.002594400001
4,14,edgetpu,ImageNet16-120,45.333332,0.42312518,0.8680842265,0.2783544352,0,0.002310400001
4,15,eyeriss,ImageNet16-120,46.5,0.54592,0.9262304147,0.1301149548,0,0.0371496
4,16,fpga,ImageNet16-120,45.033333,0.48912,0.8951161521,0.2229756929,0,0.002794
4,17,pixel3,ImageNet16-120,46.71111,0.0059122,0.9490625677,0.4690402636,0,0.0036523
4,18,raspi4,ImageNet16-120,46.58889,0.01221788,0.9705753047,0.5467669475,0,0.002661099999
