run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,93.84,0.6123686,0.9433001091,0.4112412726,0,0.0028068
1,2,edgetpu,cifar10,93.98,0.35866064,0.9462383243,0.0677867025,0,0.001988700001
1,3,eyeriss,cifar10,93.77,1.67954,0.9558557282,0.5368910513,0,0.0027029
1,4,fpga,cifar10,93.895,1.13296,0.9874603859,0.2281753923,0,0.002793600001
1,5,pixel3,cifar10,93.895,0.00493483,0.9785339676,0.4843390874,0,0.0031618
1,6,raspi4,cifar10,93.36667,0.06259246,0.9857133783,1.189748127,0,0.0035034
1,7,edgegpu,cifar100,72.746666,0.5474901,0.9085634684,0.9792259443,0,0.005522699999
1,8,edgetpu,cifar100,72.64667,0.3783192,0.950212348,0.1121303291,0,0.0023185
1,9,eyeriss,cifar100,70.92667,1.92832,0.9218624256,0.6349650769,0,0.0036497
1,10,fpga,cifar100,73.26,1.13296,0.99152073,0.3484813065,0,0.0046404
1,11,pixel3,cifar100,71.06,0.0417414,0.9709992282,1.235349775,0,0.0026546
1,12,raspi4,cifar100,71.5,0.01558306,0.9814973984,1.121319594,0,0.0028118
1,13,edgegpu,ImageNet16-120,44.633335,0.5454397,0.9542562764,0.5535569329,0,0.0030454
1,14,edgetpu,ImageNet16-120,45.866665,0.43015718,0.9259520965,0.1304462716,0,0.0020607
1,15,eyeriss,ImageNet16-120,44.366665,0.42304,0.9110896496,0.6762065386,0,0.0024854
1,16,fpga,ImageNet16-120,46.3,0.38672,0.8798433894,0.3456121706,0,0.0324284
1,17,pixel3,ImageNet16-120,45.166668,0.0081432,0.9507019468,0.4054805907,0,0.003024099999
1,18,raspi4,ImageNet16-120,44.9,0.01183346,0.9148076061,0.908388306,0,0.0027883
2,1,edgegpu,cifar10,94,0.54914474,0.9866460007,0.5770351743,0,0.0027166
2,2,edgetpu,cifar10,93.95,0.35766047,0.8946386755,0.1644207501,0,0.0021936
2,3,eyeriss,cifar10,93.36,1.67954,0.9887763532,0.8346706277,0,0.0317119
2,4,fpga,cifar10,93.95,1.95216,0.8683444113,0.3875331858,0,0.0024398
2,5,pixel3,cifar10,93.85,0.0389998,0.9707326946,0.6363982916,0,0.0026904
2,6,raspi4,cifar10,93.78,0.13691826,0.9637729245,0.956018274,0,0.002897
2,7,edgegpu,cifar100,71.526665,0.5593395,0.94287676,1.151866881,0,0.0028999
2,8,edgetpu,cifar100,72.74,0.39428282,0.9629317172,0.08628255026,0,0.029738
2,9,eyeriss,cifar100,72.99333,2.17408,0.8154867194,0.8222598319,0,0.002250099999
2,10,fpga,cifar100,71.66,1.13296,0.9855301,0.4409716754,0,0.0036026
2,11,pixel3,cifar100,70.52,0.0087526,0.9009967941,2.368881234,0,0.0305858
2,12,raspi4,cifar100,70.72,0.0156597,0.9445776206,1.63763218,0,0.0037463
2,13,edgegpu,ImageNet16-120,46.233334,0.742836,0.9810755757,0.2607831247,0,0.0027003
2,14,edgetpu,ImageNet16-120,45.488888,0.37021694,0.9293345772,0.199965957,0,0.0029918
2,15,eyeriss,ImageNet16-120,44.233334,0.42304,0.9282305143,0.7316318713,0,0.0021972
2,16,fpga,ImageNet16-120,46.58889,0.41552,0.8695487879,0.1987937273,0,0.0356196
2,17,pixel3,ImageNet16-120,43.3,0.020846,0.92900987,0.8469501687,0,0.0025064
2,18,raspi4,ImageNet16-120,44.866665,0.01151902,0.9565457154,0.6047123867,0,0.003631799999
3,1,edgegpu,cifar10,94.25,0.61565876,0.8514428227,0.4803053305,0,0.003164199999
3,2,edgetpu,cifar10,93.73,0.37263286,0.8977566162,0.1561543739,0,0.002145500001
3,3,eyeriss,cifar10,93.81,1.9253,0.9528684245,0.6542323741,0,0.002317500001
3,4,fpga,cifar10,93.67,1.13296,0.953833791,0.5010194168,0,0.0315945
3,5,pixel3,cifar10,94.363335,1.4691,0.9819215638,0.5620670917,0,0.0034811
3,6,raspi4,cifar10,93.99,0.0114894,0.9918775626,1.073604689,0,0.0028969
3,7,edgegpu,cifar100,73.513336,0.5577564,0.9821396127,0.2429147883,0,0.0026702
3,8,edgetpu,cifar100,70.78,0.49995753,0.8110260511,0.4592336036,0,0.0024623
3,9,eyeriss,cifar100,72.28,1.68256,0.8916474593,0.8260938232,0,0.0347409
3,10,fpga,cifar100,71.98,1.64816,0.9089506175,0.7511163923,0,0.002849
3,11,pixel3,cifar100,73.166664,1.47993,0.9780030738,1.162405021,0,0.0031002
3,12,raspi4,cifar100,71.84,0.0154831,0.9775970603,1.430207172,0,0.0032093
3,13,edgegpu,ImageNet16-120,45.033333,0.7731867,0.9096004539,0.9653947167,0,0.0026293
3,14,edgetpu,ImageNet16-120,46.444443,0.4657013,0.8775399628,0.1548284945,0,0.0023939
3,15,eyeriss,ImageNet16-120,45.266666,0.48448,0.9077901669,0.4715893201,0,0.0035802
3,16,fpga,ImageNet16-120,45.9,0.28432,0.9511745927,0.255473824,0,0.0316758
3,17,pixel3,ImageNet16-120,45.85,0.00593124,0.9577703708,0.4895160694,0,0.0028063
3,18,raspi4,ImageNet16-120,46.566666,1.01858,0.9642135346,0.6317331395,0,0.004392399999
4,1,edgegpu,cifar10,94.13,0.73206425,0.9935874731,0.357373815,0,0.0024414
4,2,edgetpu,cifar10,93.765,0.38988543,0.9608135351,0.0803620703,0,0.031289
4,3,eyeriss,cifar10,93.45,1.67954,0.9845045744,0.9744527657,0,0.0026706
4,4,fpga,cifar10,93.47,1.13296,0.9173193101,0.5856296335,0,0.003696600001
4,5,pixel3,cifar10,93.88333,0.0485463,0.9640415416,0.7538431252,0,0.0028079
4,6,raspi4,cifar10,94.02,0.13658842,0.9917927376,0.660556332,0,0.004871900001
4,7,edgegpu,cifar100,72.16,0.5058527,0.9547937979,0.928514583,0,0.0026609
4,8,edgetpu,cifar100,72.86,0.35718873,0.9445489067,0.1258243795,0,0.0029405
4,9,eyeriss,cifar100,72.72,1.92832,0.8566980034,0.9849173475,0,0.002448
4,10,fpga,cifar100,70.14,1.13296,0.9736176523,0.8630405358,0,0.0327461
4,11,pixel3,cifar100,70.54,0.0524682,0.9651107969,1.263288379,0,0.003867599999
4,12,raspi4,cifar100,71.1,0.1399089,0.9710538956,1.388140261,0,0.0029175
4,13,edgegpu,ImageNet16-120,44.916668,0.5481005,0.9292943886,0.6179450253,0,0.002291100001
4,14,edgetpu,ImageNet16-120,45.566666,0.35810986,0.9743405589,0.153397374,0,0.0024144
4,15,eyeriss,ImageNet16-120,44,0.48448,0.9224200554,0.7842589354,0,0.0306786
4,16,fpga,ImageNet16-120,45.81111,0.54672,0.8383535708,0.398700331,0,0.0029594
4,17,pixel3,ImageNet16-120,44.5,0.00567089,0.9449873874,0.6487191406,0,0.0035619
4,18,raspi4,ImageNet16-120,46.133335,0.01183348,0.9645394851,0.5489409048,0,0.002546600001
5,1,edgegpu,cifar10,93.79,0.5440235,0.9797465421,0.5452289397,0,0.0026718
5,2,edgetpu,cifar10,93.44,0.39396945,0.8695336395,0.2808018757,0,0.002302899999
5,3,eyeriss,cifar10,93.17333,1.67954,0.9853837883,0.9648422198,0,0.0304817
5,4,fpga,cifar10,94.12,1.13296,0.983021114,0.2035279955,0,0.0024009
5,5,pixel3,cifar10,93.64,0.0403767,0.987978742,0.3296402884,0,0.0023916
5,6,raspi4,cifar10,93.22,0.01236088,0.9621121084,1.887481801,0,0.0321329
5,7,edgegpu,cifar100,73.16,1.4710474,0.9686646597,0.8814165987,0,0.002738599999
5,8,edgetpu,cifar100,71.24,0.35594803,0.8814960091,0.3266661026,0,0.0021861
5,9,eyeriss,cifar100,72.48,1.68256,0.8930389354,0.827081224,0,0.0024261
5,10,fpga,cifar100,70.85333,1.13296,0.977881659,0.7409165066,0,0.0023619
5,11,pixel3,cifar100,72.04,0.0529968,0.9352644197,1.224882112,0,0.0310955
5,12,raspi4,cifar100,71.84,0.01624632,0.9024680222,2.766167024,0,0.0030176
5,13,edgegpu,ImageNet16-120,45.9,0.53410053,0.9278526674,0.6007837332,0,0.0026106
5,14,edgetpu,ImageNet16-120,45.91111,0.42861047,0.8827355364,0.1496726739,0,0.0027938
5,15,eyeriss,ImageNet16-120,45.266666,0.48448,0.9214966016,0.3557734116,0,0.0323082
5,16,fpga,ImageNet16-120,46.133335,0.28432,0.9605612137,0.257054038,0,0.0027943
5,17,pixel3,ImageNet16-120,44.166668,0.449403,0.9413733168,0.6593696047,0,0.0028943
5,18,raspi4,ImageNet16-120,45.783333,1.5388075,0.9260915681,0.6569526728,0,0.0024998
6,1,edgegpu,cifar10,93.94,0.54753304,0.9923522265,0.1582453266,0,0.0027144
6,2,edgetpu,cifar10,93.94,0.35641143,0.9625237118,0.06768841701,0,0.0409798
6,3,eyeriss,cifar10,94.21667,1.9253,0.9588615958,0.3309868519,0,0.0022293
6,4,fpga,cifar10,93.38,1.54256,0.8865236073,0.8627893545,0,0.0027424
6,5,pixel3,cifar10,93.63,0.00464342,0.9783169016,0.943587336,0,0.0030333
6,6,raspi4,cifar10,94.04,4.8994536,0.9672762603,0.8354602848,0,0.0030356
6,7,edgegpu,cifar100,73.14,0.58806896,0.9792933938,0.5297417281,0,0.0031771
