context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std
1,edgegpu,cifar10,93.7472492,0.2387600162,0.595183377,0.2622072989,0.8583534545,0.008891088652,0.2337153881,0.1174130928,0,0,0.899154675,0.2027496593
2,edgetpu,cifar10,94.08683475,0.2176672335,0.3513143735,0.002814016155,0.8407664774,0.02672343681,0.07932527674,0.04401607997,0,0,1.851375175,0.5873615074
3,eyeriss,cifar10,93.87,0.2454368695,1.67954,0,0.7629059345,0.02600468399,0.2898683735,0.08878849185,0,0,0.91897232,0.1833795707
4,fpga,cifar10,93.8010825,0.2190490472,1.35824,0.2037734271,0.8051144387,0.03998095745,0.3429304268,0.1698529205,0,0,0.83639624,0.09317645736
5,pixel3,cifar10,93.9215834,0.3097509804,0.005907624,0.007098426972,0.943676832,0.004576579733,0.3494054867,0.09581529426,0,0,1.31868002,0.2764261757
6,raspi4,cifar10,93.90716725,0.2346378793,0.019091365,0.01826835461,0.9431882012,0.006531172257,0.4672704338,0.1392996214,0,0,1.28059067,0.4028477081
7,edgegpu,cifar100,71.3606668,0.6848186091,0.5288960915,0.01518209965,0.829601816,0.005291830193,0.4911127659,0.1440887826,0,0,1.07354542,0.2785021952
8,edgetpu,cifar100,71.8093339,0.9216057482,0.3553807565,0.0005400236986,0.7726684291,0.03543512127,0.2023890549,0.1284361069,0,0,1.599389755,0.4825734712
9,eyeriss,cifar100,71.31833455,0.7013665731,1.68256,0,0.7820410171,0.02761064404,0.5308612826,0.1384498023,0,0,0.962276825,0.151160198
10,fpga,cifar100,71.18866685,0.6988438261,1.2968,0.2388357896,0.8018669938,0.02599466526,0.4558865808,0.1583909344,0,0,0.93829613,0.1224276027
11,pixel3,cifar100,71.8050001,0.9021004215,0.0128410935,0.009532308354,0.9140210651,0.00663274881,0.760113622,0.1955913202,0,0,1.331709725,0.3767575036
12,raspi4,cifar100,71.7468325,0.6643478343,0.017866536,0.0111575075,0.9113530508,0.005038676387,0.7020961462,0.1847251943,0,0,1.15873281,0.2175535055
13,edgegpu,ImageNet16-120,45.63444455,0.7259658899,0.5390620175,0.005055771019,0.7835058625,0.02387949837,0.3793657447,0.1222808913,0,0,1.00742892,0.199578373
14,edgetpu,ImageNet16-120,45.87750035,0.5836733468,0.3597797555,0.001440677393,0.8555834259,0.02213862637,0.07978301441,0.05111291451,0,0,1.64629341,0.3774869687
15,eyeriss,ImageNet16-120,45.63083325,0.7982824343,0.42304,0,0.7192350991,0.02193584415,0.2696649606,0.1163280702,0,0,0.89537401,0.1128456065
16,fpga,ImageNet16-120,45.61611115,0.7469484472,0.34064,0.06036390975,0.7121129014,0.02037065591,0.2884743931,0.107413565,0,0,0.99379676,0.1161960225
17,pixel3,ImageNet16-120,45.66555575,0.5881323618,0.0069579215,0.003006789793,0.8569268398,0.008762962104,0.4112799121,0.09619674602,0,0,1.332285805,0.2233009916
18,raspi4,ImageNet16-120,45.8038888,0.6864295165,0.014087316,0.006242383777,0.8227809751,0.01305042422,0.4734386615,0.1462150863,0,0,1.34608615,0.3050776727
