run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,94.04,0.54205894,0.8545800096,0.3187153597,0,1.0949373
1,2,edgetpu,cifar10,93.91,0.34654593,0.837440987,0.09214003553,0,1.9034048
1,3,eyeriss,cifar10,94.37334,1.67954,0.7263196226,0.3728104114,0,1.2709495
1,4,fpga,cifar10,94.02,1.54256,0.729657468,0.6170996207,0,1.0251444
1,5,pixel3,cifar10,93.683334,0.00377975,0.9466384686,0.2792204865,0,0.9731665
1,6,raspi4,cifar10,94.06333,0.01150722,0.9439096225,0.3934552866,0,1.6144685
1,7,edgegpu,cifar100,71.84,0.5358076,0.829433674,0.468326551,0,0.7886769
1,8,edgetpu,cifar100,71.54667,0.35493976,0.7479662332,0.2385465711,0,1.3597124
1,9,eyeriss,cifar100,70.5,1.68256,0.7639501041,0.5773943383,0,0.6697816
1,10,fpga,cifar100,71.013336,1.13296,0.8166575458,0.4088623029,0,1.0087267
1,11,pixel3,cifar100,72.746666,0.0087526,0.9157302258,0.6031560978,0,1.8544541
1,12,raspi4,cifar100,71.08,0.015546,0.9069816148,0.642536483,0,0.9050875
1,13,edgegpu,ImageNet16-120,45.177776,0.5396509,0.7984105035,0.2154679616,0,0.885364
1,14,edgetpu,ImageNet16-120,46.3,0.35810986,0.8703466189,0.04218571608,0,1.1781561
1,15,eyeriss,ImageNet16-120,44.933334,0.42304,0.7120281882,0.3464019282,0,0.8491641
1,16,fpga,ImageNet16-120,46.47778,0.28432,0.717666565,0.1727787974,0,1.177586
1,17,pixel3,ImageNet16-120,45.47778,0.00574125,0.8694474834,0.2675122745,0,1.7103541
1,18,raspi4,ImageNet16-120,44.25,0.0115138,0.8051786443,0.718808161,0,1.2150685
2,1,edgegpu,cifar10,93.57,0.54205894,0.8577094536,0.2978021931,0,0.8206039
2,2,edgetpu,cifar10,94.02,0.34654593,0.8526395786,0.07305596773,0,1.7727003
2,3,eyeriss,cifar10,94.37334,1.67954,0.8153141809,0.05714446154,0,1.5068406
2,4,fpga,cifar10,93.53,1.54256,0.7858181378,0.4392111917,0,0.6697946
2,5,pixel3,cifar10,94.04,0.00327686,0.9406002716,0.3117526476,0,1.5035872
2,6,raspi4,cifar10,93.94,0.01172166,0.9481225423,0.1949874133,0,2.3838559
2,7,edgegpu,cifar100,71,0.5058527,0.8355545242,0.4385763383,0,0.9017101
2,8,edgetpu,cifar100,73.513336,0.35493976,0.8177144842,0.0516895947,0,2.4679444
2,9,eyeriss,cifar100,72.5,1.68256,0.8465121637,0.2530853462,0,0.9812120999
2,10,fpga,cifar100,70.76,1.13296,0.8227113569,0.3894874155,0,1.2185638
2,11,pixel3,cifar100,71.16,0.00896936,0.9104496177,0.7902239091,0,1.408915
2,12,raspi4,cifar100,71.16,0.0153652,0.8988199811,1.269924561,0,1.4417081
2,13,edgegpu,ImageNet16-120,45.466667,0.5339527,0.7842690519,0.321381375,0,1.1118654
2,14,edgetpu,ImageNet16-120,46.133335,0.35810986,0.8622379935,0.05391274439,0,1.473593
2,15,eyeriss,ImageNet16-120,44.6,0.42304,0.7227433057,0.3632452979,0,0.870949
2,16,fpga,ImageNet16-120,44.8,0.38672,0.6628867693,0.4792812249,0,0.8086436001
2,17,pixel3,ImageNet16-120,45.033333,0.00528942,0.8556453995,0.4510765762,0,0.9692797001
2,18,raspi4,ImageNet16-120,46.333332,0.01154458,0.833615403,0.3454405773,0,1.5197607
3,1,edgegpu,cifar10,93.785,0.54696083,0.8593304802,0.2515135916,0,0.8391410999
3,2,edgetpu,cifar10,94.16,0.35296565,0.8483483589,0.07582105743,0,1.5194601
3,3,eyeriss,cifar10,93.445,1.67954,0.7235085165,0.3909217446,0,0.8932336
3,4,fpga,cifar10,94.09,1.13296,0.8435068688,0.1704037816,0,0.8568678
3,5,pixel3,cifar10,94.21667,0.00327686,0.9454574706,0.382473505,0,1.797014
3,6,raspi4,cifar10,93.99,0.01133014,0.9465049092,0.5025888304,0,1.278828
