context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std
1,edgegpu,cifar10,94.37334,0,0.528054715,0.01747441694,0.8417513428,0.0005184450576,0.01188240617,0.01059617801,0,0,7.38654791,0.4338248143
2,edgetpu,cifar10,94.370339,0.009003,0.351172397,0.002326076528,0.856061238,0.0035200381,0.008636011171,0.008173761062,0,0,7.26795629,0.4601680709
3,eyeriss,cifar10,94.37334,0,1.67954,0,0.8293822272,0.000829232132,0.005936877751,0.00326738538,0,0,7.33444111,0.3792548808
4,fpga,cifar10,94.349006,0.073002,1.13296,0,0.779861139,0.003381957563,0.02610867,0.03548601445,0,0,7.32689287,0.5708652134
5,pixel3,cifar10,94.37334,0,0.003335858,0.0001012448972,0.9464947639,0.0001515746889,0.02228740245,0.01123409331,0,0,7.51909759,0.5766617055
6,raspi4,cifar10,94.37334,0,0.011307468,1.913620067e-05,0.9502052213,0.0002149340643,0.04585503474,0.02101262673,0,0,7.36445445,0.5196735351
7,edgegpu,cifar100,73.513336,0,0.521598336,0.01520831778,0.8146686003,0.0001726908954,0.005300114518,0.006188181932,0,0,7.45701401,0.6102919804
8,edgetpu,cifar100,73.513336,0,0.355190774,0.0002406054779,0.8040379425,0.001722374704,0.00493763256,0.003523232194,0,0,7.38947365,0.5816552522
9,eyeriss,cifar100,73.4880024,0.0760008,1.68256,0,0.8333953353,0.001001834999,0.01622074977,0.009306536061,0,0,7.44545478,0.5892216205
10,fpga,cifar100,73.4333352,0.1226388954,1.13296,0,0.7614765987,0.001813275628,0.04153649382,0.02870583078,0,0,7.47188395,0.4591038456
11,pixel3,cifar100,73.3520008,0.1344569271,0.008857466,9.126686805e-05,0.9468185808,0.00134966411,0.05042780124,0.02466039872,0,0,7.48514118,0.4953297752
12,raspi4,cifar100,73.386668,0.126668,0.015360386,0.0001213387071,0.9283991685,0.0005541587674,0.04455816943,0.02739608113,0,0,7.41594823,0.3974086721
13,edgegpu,ImageNet16-120,46.962222,0.1854055681,0.535495272,0.002324461463,0.7804535737,0.001207141969,0.02176823173,0.01409998641,0,0,7.24850047,0.3782880117
14,edgetpu,ImageNet16-120,47.1811101,0.2080508131,0.358487226,0.0003773665267,0.7990025057,0.006189013069,0.01588300637,0.01737767092,0,0,7.19623975,0.5204923222
15,eyeriss,ImageNet16-120,47.2833323,0.0833331,0.42304,0,0.7738353085,0.00126904853,0.007616307312,0.01105879589,0,0,7.13373865,0.2498824988
16,fpga,ImageNet16-120,47.2555546,0.1111108,0.28432,0,0.7504709911,0.001440644042,0.006477157828,0.005525304106,0,0,7.41996253,0.6199867493
17,pixel3,ImageNet16-120,47.31111,0,0.005574686,0.0001687967999,0.8582289131,0.001032727518,0.02495747612,0.01108977692,0,0,7.42439093,0.596729158
18,raspi4,ImageNet16-120,47.2277769,0.1272934129,0.011565938,5.09206445e-05,0.7935845486,0.00065390465,0.03776068984,0.01639423809,0,0,7.47476681,0.5078165472
