run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,94.37334,0.5396843,0.8401745734,0.02561188306,0,0.6130016
1,2,edgetpu,cifar10,93.97,0.34654593,0.8338230986,0.1012689733,0,0.6162957001
1,3,eyeriss,cifar10,94.34333,1.67954,0.8312391456,0.04694106111,0,0.6338344
1,4,fpga,cifar10,94.29667,1.13296,0.7981049231,0.1375651833,0,0.6416062
1,5,pixel3,cifar10,94.22,0.00360318,0.9508476639,0.1048075959,0,0.6386752999
1,6,raspi4,cifar10,94.17667,0.01180604,0.9467029016,0.3168341122,0,0.646712
1,7,edgegpu,cifar100,73.513336,0.5058527,0.8132247859,0.09343379892,0,0.637304
1,8,edgetpu,cifar100,73.513336,0.35558823,0.8042647754,0.0354894286,0,0.6283324
1,9,eyeriss,cifar100,73.166664,1.68256,0.8270832099,0.1634184166,0,0.6409014
1,10,fpga,cifar100,72.37334,1.13296,0.7350742656,0.3595610984,0,0.6470653
1,11,pixel3,cifar100,73.26,0.00884682,0.9426043428,0.3183676823,0,0.6429546
1,12,raspi4,cifar100,73.26,0.01561154,0.9269865777,0.117766331,0,0.6636189
1,13,edgegpu,ImageNet16-120,46.766666,0.5398226,0.7743054614,0.09788598782,0,0.6475286999
1,14,edgetpu,ImageNet16-120,46.9,0.35810986,0.8126347211,0.06834990318,0,0.6365262
1,15,eyeriss,ImageNet16-120,46.58889,0.42304,0.795774544,0.1021597844,0,0.6376433
1,16,fpga,ImageNet16-120,46.9,0.28432,0.7703554409,0.1114553497,0,0.6390769001
1,17,pixel3,ImageNet16-120,45.755554,0.00629285,0.8847438307,0.4408622691,0,0.6496844999
1,18,raspi4,ImageNet16-120,46.133335,0.01175754,0.8434958901,0.351990305,0,0.6532415
2,1,edgegpu,cifar10,94.3,0.54374695,0.8392724162,0.08872932915,0,0.6360065
2,2,edgetpu,cifar10,93.99,0.35254368,0.8346977438,0.09154419908,0,0.6215338
2,3,eyeriss,cifar10,94.37334,1.67954,0.8119075475,0.1666272399,0,0.6318559001
2,4,fpga,cifar10,94.37334,1.13296,0.7979109017,0.1485208692,0,0.6301665
2,5,pixel3,cifar10,94.37334,0.00371245,0.9442433462,0.136340813,0,0.6469694
2,6,raspi4,cifar10,94.13,0.01158714,0.9477338844,0.2305952772,0,0.6460765
2,7,edgegpu,cifar100,73.09333,0.5365467,0.8130527445,0.2206392794,0,0.6520666
2,8,edgetpu,cifar100,73.26,0.35558823,0.7911054869,0.07455972262,0,0.6363319
2,9,eyeriss,cifar100,73.513336,1.68256,0.830613304,0.0731371831,0,0.6456172001
2,10,fpga,cifar100,73.26,1.13296,0.7536859348,0.09612781967,0,0.6361775999
2,11,pixel3,cifar100,73.513336,0.00884682,0.9440181026,0.162474547,0,0.6495539
2,12,raspi4,cifar100,73.26,0.01570154,0.9219716289,0.3664423907,0,0.6360453999
2,13,edgegpu,ImageNet16-120,46.9,0.5410528,0.7767012284,0.0663305561,0,0.6381328
2,14,edgetpu,ImageNet16-120,46.933334,0.35810986,0.8062306149,0.06882854551,0,0.656437
2,15,eyeriss,ImageNet16-120,46.6,0.42304,0.7933616372,0.1422239814,0,0.6454054
2,16,fpga,ImageNet16-120,46.58889,0.28432,0.7685816858,0.127892169,0,0.6595594001
2,17,pixel3,ImageNet16-120,46.666668,0.00570229,0.8944747917,0.2464189198,0,0.7100061999
2,18,raspi4,ImageNet16-120,47.033333,0.0115138,0.8563694061,0.2750353493,0,0.6749367
3,1,edgegpu,cifar10,94.37334,0.5396843,0.8402860403,0.05015335553,0,0.6470244001
3,2,edgetpu,cifar10,94.37334,0.35215905,0.8505260698,0.01502753686,0,0.6242674
3,3,eyeriss,cifar10,94.37334,1.67954,0.8214105575,0.07732996364,0,0.6300292
3,4,fpga,cifar10,94.13,1.13296,0.7957768044,0.1284006667,0,0.6336713
3,5,pixel3,cifar10,94.37334,0.00340076,0.9483849672,0.1751875028,0,0.6627119
3,6,raspi4,cifar10,94.34333,0.01150722,0.9493095822,0.1028346197,0,0.6497961001
3,7,edgegpu,cifar100,73.26,0.5365467,0.813507268,0.1533394995,0,0.6569191001
3,8,edgetpu,cifar100,73.513336,0.35629702,0.8100021348,0.02369536004,0,0.6379934
3,9,eyeriss,cifar100,73.16,1.92832,0.8224825129,0.1444892454,0,0.6330861
3,10,fpga,cifar100,72.88,1.13296,0.7440021269,0.2656934532,0,0.6331570999
3,11,pixel3,cifar100,73.166664,0.00898243,0.942018381,0.3275012533,0,0.6361688999
3,12,raspi4,cifar100,73.22,0.0155033795,0.9221588467,0.3694283482,0,0.6341960001
3,13,edgegpu,ImageNet16-120,46.933334,0.5398226,0.775774858,0.07282485777,0,0.6329809
3,14,edgetpu,ImageNet16-120,47.31111,0.35810986,0.815513493,0.03424667068,0,0.6383016
3,15,eyeriss,ImageNet16-120,46.933334,0.42304,0.7760475943,0.1308636744,0,0.6289655999
3,16,fpga,ImageNet16-120,46.766666,0.28432,0.7578599184,0.1816714029,0,0.641404
3,17,pixel3,ImageNet16-120,46.933334,0.00552623,0.8928006952,0.245789976,0,0.6454226
3,18,raspi4,ImageNet16-120,47.31111,0.0115627,0.8619109707,0.07927082837,0,0.7049766
4,1,edgegpu,cifar10,94.37334,0.5385971,0.8411136483,0.02179111876,0,0.6353779001
4,2,edgetpu,cifar10,94.37334,0.35215905,0.8407781669,0.05344312,0,0.6471183
4,3,eyeriss,cifar10,94.37334,1.67954,0.8146716287,0.1609719788,0,0.6225310001
4,4,fpga,cifar10,94.363335,1.13296,0.7976283239,0.1200924667,0,0.642258
4,5,pixel3,cifar10,94.37334,0.00462963,0.948833704,0.1079486974,0,0.6404966001
4,6,raspi4,cifar10,94.37334,0.0115694,0.9479677258,0.3039250521,0,0.6436397
4,7,edgegpu,cifar100,73.513336,0.5058527,0.8163402347,0.04437018281,0,0.6437578
4,8,edgetpu,cifar100,73.26,0.35524306,0.7853991096,0.07914987838,0,0.6115388001
4,9,eyeriss,cifar100,72.86,1.68256,0.811762031,0.23915846,0,0.6212887
4,10,fpga,cifar100,73.26,1.13296,0.741588581,0.2340362287,0,0.6190102
4,11,pixel3,cifar100,73.513336,0.00893796,0.9363536,0.6605971939,0,0.6316570999
4,12,raspi4,cifar100,73.513336,0.01569932,0.9207112809,0.3623396645,0,0.6397744
4,13,edgegpu,ImageNet16-120,46.933334,0.53904533,0.7785220955,0.01944866582,0,0.636087
4,14,edgetpu,ImageNet16-120,46.47778,0.35886532,0.79933257,0.1206681308,0,0.6247209
4,15,eyeriss,ImageNet16-120,45.7,0.42304,0.7733051365,0.1926642265,0,0.6356869
4,16,fpga,ImageNet16-120,46.233334,0.28432,0.7632379592,0.2017058376,0,0.6412012001
4,17,pixel3,ImageNet16-120,47.31111,0.00574453,0.9034043606,0.08635109368,0,0.6378814001
4,18,raspi4,ImageNet16-120,46.71111,0.0115627,0.8543861556,0.2375626206,0,0.6212145
5,1,edgegpu,cifar10,94.293335,0.50138474,0.8386764262,0.0590775666,0,0.6386440999
5,2,edgetpu,cifar10,94.37334,0.35215905,0.8343761395,0.0675093261,0,0.6147531001
5,3,eyeriss,cifar10,94.37334,1.67954,0.829134653,0.05437225455,0,0.6186601
5,4,fpga,cifar10,94.30666,1.13296,0.805267752,0.06646586667,0,0.6327716999
5,5,pixel3,cifar10,94.16,0.00360318,0.9493026551,0.2011778146,0,0.6447512
5,6,raspi4,cifar10,94.37334,0.01133014,0.947917024,0.2394739681,0,0.6521564999
5,7,edgegpu,cifar100,73.166664,0.5358076,0.8122535355,0.198390792,0,0.654842
5,8,edgetpu,cifar100,73.513336,0.355595,0.7947957672,0.05921455167,0,0.6417743
5,9,eyeriss,cifar100,73.16,1.68256,0.8285372198,0.1593218592,0,0.6444444
5,10,fpga,cifar100,73.513336,1.13296,0.7452905211,0.1805418889,0,0.6381428
5,11,pixel3,cifar100,72.746666,0.0093033,0.9364244091,0.3990005359,0,0.6271512
5,12,raspi4,cifar100,73.14,0.01541972,0.9242772784,0.2270382877,0,0.6359173
