context_id,archid,device,dataset,accuracy,latency
1,13714,edgegpu,cifar10,94.373340,6.772180
1,1459,edgegpu,cifar10,94.296670,6.748991
1,5292,edgegpu,cifar10,94.293335,6.663151
1,2053,edgegpu,cifar10,94.206665,5.482254
1,11692,edgegpu,cifar10,94.130000,4.708362
1,6330,edgegpu,cifar10,94.006670,4.384699
1,5780,edgegpu,cifar10,93.980000,3.361888
1,9099,edgegpu,cifar10,93.940000,3.357520
1,10484,edgegpu,cifar10,93.810000,3.354015
1,2776,edgegpu,cifar10,93.666664,3.331194
1,6499,edgegpu,cifar10,93.645000,3.331041
1,258,edgegpu,cifar10,93.640000,3.307109
1,11810,edgegpu,cifar10,92.780000,1.992798
1,11438,edgegpu,cifar10,92.500000,1.846719
1,6960,edgegpu,cifar10,92.280000,1.764450
1,1339,edgegpu,cifar10,92.136665,1.751881
1,14090,edgegpu,cifar10,92.086670,1.749086
1,6950,edgegpu,cifar10,92.000000,1.738467
1,13401,edgegpu,cifar10,87.010000,1.457009
1,561,edgegpu,cifar10,86.880000,1.451068
1,14407,edgegpu,cifar10,86.770000,1.440282
1,14527,edgegpu,cifar10,86.765000,1.439619
1,1549,edgegpu,cifar10,86.710000,1.436324
1,5400,edgegpu,cifar10,86.630000,1.427460
1,15200,edgegpu,cifar10,10.000000,0.501385
2,13714,edgetpu,cifar10,94.373340,1.377865
2,3731,edgetpu,cifar10,94.343330,1.282820
2,5111,edgetpu,cifar10,94.306660,1.152010
2,2053,edgetpu,cifar10,94.206665,1.042178
2,6584,edgetpu,cifar10,94.160000,0.888877
2,11692,edgetpu,cifar10,94.130000,0.761100
2,5780,edgetpu,cifar10,93.980000,0.723967
2,9950,edgetpu,cifar10,93.840000,0.723767
2,3927,edgetpu,cifar10,93.626660,0.723268
2,6515,edgetpu,cifar10,93.616670,0.722858
2,8008,edgetpu,cifar10,93.480000,0.629746
2,6382,edgetpu,cifar10,93.376660,0.628638
2,9689,edgetpu,cifar10,93.370000,0.628386
2,797,edgetpu,cifar10,93.280000,0.627996
2,8192,edgetpu,cifar10,93.093330,0.627745
2,11810,edgetpu,cifar10,92.780000,0.482879
2,11438,edgetpu,cifar10,92.500000,0.482393
2,13611,edgetpu,cifar10,92.490000,0.481826
2,15000,edgetpu,cifar10,92.400000,0.481741
2,10683,edgetpu,cifar10,92.330000,0.481277
2,11112,edgetpu,cifar10,92.110000,0.480732
2,9380,edgetpu,cifar10,89.335000,0.395662
2,4161,edgetpu,cifar10,89.250000,0.391221
2,5647,edgetpu,cifar10,89.110000,0.389378
2,5946,edgetpu,cifar10,88.963330,0.389012
2,5258,edgetpu,cifar10,88.775000,0.388629
2,6918,edgetpu,cifar10,87.000000,0.375819
2,7017,edgetpu,cifar10,86.970000,0.353089
2,2485,edgetpu,cifar10,86.700000,0.346546
3,6111,eyeriss,cifar10,94.373340,7.823540
3,13714,eyeriss,cifar10,94.373340,7.823540
3,3731,eyeriss,cifar10,94.343330,6.594740
3,5111,eyeriss,cifar10,94.306660,5.365940
3,6584,eyeriss,cifar10,94.160000,4.874420
3,11472,eyeriss,cifar10,93.970000,4.628660
3,8592,eyeriss,cifar10,93.750000,3.891380
3,13987,eyeriss,cifar10,93.596664,3.645620
3,8008,eyeriss,cifar10,93.480000,3.399860
3,13611,eyeriss,cifar10,92.490000,3.154100
3,14112,eyeriss,cifar10,91.296670,2.908340
3,6854,eyeriss,cifar10,91.040000,2.662580
3,6899,eyeriss,cifar10,90.900000,2.416820
3,8323,eyeriss,cifar10,90.870000,2.171060
3,8720,eyeriss,cifar10,89.875000,1.925300
3,12438,eyeriss,cifar10,89.875000,1.925300
3,4384,eyeriss,cifar10,86.796670,1.679540
4,6111,fpga,cifar10,94.373340,6.678560
4,13714,fpga,cifar10,94.373340,6.678560
4,3731,fpga,cifar10,94.343330,5.936160
4,5111,fpga,cifar10,94.306660,5.193760
4,6584,fpga,cifar10,94.160000,4.163360
4,11472,fpga,cifar10,93.970000,3.648160
4,13987,fpga,cifar10,93.596664,3.420960
4,8008,fpga,cifar10,93.480000,2.905760
4,13611,fpga,cifar10,92.490000,2.390560
4,8323,fpga,cifar10,90.870000,2.163360
4,15295,fpga,cifar10,90.050000,2.057760
4,8720,fpga,cifar10,89.875000,1.648160
4,12438,fpga,cifar10,89.875000,1.648160
4,10431,fpga,cifar10,87.000000,1.542560
4,4384,fpga,cifar10,86.796670,1.132960
5,6111,pixel3,cifar10,94.373340,23.584800
5,3731,pixel3,cifar10,94.343330,23.361300
