context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std
1,edgegpu,cifar10,93.9016661,0.2673482824,2.266675946,0.987640869,0.6946006937,0.1307758832,0.8211732003,0.3750676808,0,0,0.14552943,0.002952842621
2,edgetpu,cifar10,94.192169,0.1373670667,0.744217137,0.2962164977,0.7356643457,0.1160782624,0.2243950179,0.08433407536,0,0,0.14396732,0.004246026743
3,eyeriss,cifar10,93.107167,0.5345301142,2.04818,0.4945824595,0.7238494043,0.06881401521,0.5055942789,0.2335213481,0,0,0.1491266,0.0109796309
4,fpga,cifar10,93.422667,0.6360126082,1.94224,0.8114135577,0.4937419543,0.09677815528,0.5839425182,0.2839584082,0,0,0.14493899,0.003277358408
5,pixel3,cifar10,93.178666,0.6978738969,1.6420238,2.372625665,0.8343033199,0.1092400246,1.508395076,1.238405031,0,0,0.14743771,0.004977185646
6,raspi4,cifar10,91.9781666,1.471542311,2.136540519,1.491389042,0.8764857141,0.04594888104,1.446752364,1.024816756,0,0,0.14738505,0.005371761554
7,edgegpu,cifar100,71.0209996,1.674023396,2.144217964,1.38468169,0.6591546157,0.1663015996,1.564192338,0.6729955383,0,0,0.16648246,0.06296930016
8,edgetpu,cifar100,72.0766672,1.766682876,0.81122502,0.3153635029,0.5379101348,0.1310242893,0.8477890723,0.8159668478,0,0,0.16275965,0.06253154502
9,eyeriss,cifar100,71.7066659,1.922408046,3.845248,1.485984543,0.5330724622,0.1245277525,1.592994537,0.5556997677,0,0,0.14585542,0.006153112181
10,fpga,cifar100,71.8973336,1.370604047,3.03152,1.489570303,0.5614730186,0.1354336584,1.176155301,0.39351038,0,0,0.16743333,0.06434553106
11,pixel3,cifar100,69.646667,2.123927315,2.102184881,1.587611579,0.8386518525,0.04339871534,1.729677486,0.908332228,0,0,0.15238907,0.008751782942
12,raspi4,cifar100,66.104667,3.944703486,1.85214219,2.327386973,0.8414523551,0.0538776255,2.696160715,1.469248869,0,0,0.14696641,0.00478244798
13,edgegpu,ImageNet16-120,45.918889,0.7053944702,3.32812786,1.309523571,0.5509622614,0.1185500197,1.138996378,0.4286836235,0,0,0.15266161,0.01028301454
14,edgetpu,ImageNet16-120,46.5355558,0.8022158626,0.816617767,0.1515944753,0.3810303051,0.1489434462,0.5014570201,0.67959632,0,0,0.1433084,0.006442486669
15,eyeriss,ImageNet16-120,45.8372222,1.467247158,1.074304,0.4337507351,0.4529210023,0.2177135949,0.793557068,0.6844895846,0,0,0.14655107,0.008530233284
16,fpga,ImageNet16-120,45.8338891,1.257923537,1.016128,0.3553079101,0.6120844839,0.1169982151,0.9134321942,0.6075062841,0,0,0.14498165,0.00441737376
17,pixel3,ImageNet16-120,45.0105558,1.541112842,1.526562638,1.160267901,0.5880585822,0.1124529428,1.377798735,0.8131647488,0,0,0.14703601,0.005594452844
18,raspi4,ImageNet16-120,44.8983335,1.717214839,2.907982348,2.046970769,0.6924450062,0.09496684829,1.683399348,0.6072615222,0,0,0.14581507,0.003932560048
