run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,94.13,1.4338923,0.8385271574,0.358495386,0,0.1478074
1,2,edgetpu,cifar10,94.09,0.5612332,0.8259531816,0.1525256438,0,0.1406262
1,3,eyeriss,cifar10,93.54,2.17106,0.7864030599,0.1982296154,0,0.1423563
1,4,fpga,cifar10,93.69,1.64816,0.6113959971,0.4275923853,0,0.142526
1,5,pixel3,cifar10,94.13,8.29449,0.5318030082,4.46145863,0,0.1519342
1,6,raspi4,cifar10,93.23,2.7522902,0.9020910135,0.929832623,0,0.145319
1,7,edgegpu,cifar100,72.666664,1.8050909,0.7620442699,0.9889063957,0,0.1430753
1,8,edgetpu,cifar100,72.88,0.48877385,0.7088942904,0.3079216148,0,0.1385631
1,9,eyeriss,cifar100,73.07333,5.36896,0.3883333697,1.504459333,0,0.1458183
1,10,fpga,cifar100,70.06,1.64816,0.6629844386,1.628872545,0,0.3603225
1,11,pixel3,cifar100,64.44,1.47589,0.829728456,2.618821366,0,0.1511676
1,12,raspi4,cifar100,66.46,0.01569932,0.8702288894,1.251540458,0,0.1427539
1,13,edgegpu,ImageNet16-120,46.233334,3.5398102,0.6091979324,0.7564941017,0,0.148334
1,14,edgetpu,ImageNet16-120,46.58889,0.74999547,0.5117860794,0.3933191979,0,0.1400633
1,15,eyeriss,ImageNet16-120,47.31111,0.976,0.6016089134,0.19968,0,0.1439215
1,16,fpga,ImageNet16-120,46.833332,1.4112,0.4889850556,0.5410806125,0,0.1473644
1,17,pixel3,ImageNet16-120,46.433334,1.1457,0.7281292899,0.2811667898,0,0.1458707
1,18,raspi4,ImageNet16-120,46.3,0.9735139,0.7524726155,2.566651279,0,0.148095
2,1,edgegpu,cifar10,94.066666,3.2735634,0.5535612711,1.341767721,0,0.143956
2,2,edgetpu,cifar10,94.045,0.35511708,0.834580923,0.1917657059,0,0.1521025
2,3,eyeriss,cifar10,93.39667,1.67954,0.7406849917,0.3966962858,0,0.1791191
2,4,fpga,cifar10,93.35667,2.39056,0.5524665434,0.4898448571,0,0.1523383
2,5,pixel3,cifar10,94.09,1.31079,0.8998413249,0.8965025551,0,0.1481386
2,6,raspi4,cifar10,89.795,2.7593055,0.8803561151,2.195359405,0,0.1448203
2,7,edgegpu,cifar100,71.9,1.8661118,0.7471769845,0.8959045884,0,0.1497246
2,8,edgetpu,cifar100,73.513336,1.037956,0.4899118231,0.2800028571,0,0.1400406
2,9,eyeriss,cifar100,70.793335,3.40288,0.5953696327,1.635578082,0,0.1385308
2,10,fpga,cifar100,73.26,2.90576,0.6399797552,0.4981478111,0,0.1514795
2,11,pixel3,cifar100,69.36,1.48208,0.8684820141,1.536969041,0,0.1547259
2,12,raspi4,cifar100,71.04,2.5609047,0.899011356,2.201289697,0,0.1417002
2,13,edgegpu,ImageNet16-120,46.71111,5.2068996,0.3930773125,1.214266869,0,0.1558372
2,14,edgetpu,ImageNet16-120,46.766666,0.71090645,0.6056146025,0.2164708416,0,0.1385099
2,15,eyeriss,ImageNet16-120,46.55,0.976,0.5554124303,0.3292962327,0,0.1396076
2,16,fpga,ImageNet16-120,44.77778,0.8096,0.6841504442,1.387254271,0,0.1401546
2,17,pixel3,ImageNet16-120,43.955555,0.423356,0.6748377788,2.060230546,0,0.1562334
2,18,raspi4,ImageNet16-120,46.666668,6.047941,0.5347286737,2.136749411,0,0.1518654
3,1,edgegpu,cifar10,94.37334,3.370366,0.5406647067,1.166565784,0,0.1517173
3,2,edgetpu,cifar10,94.37334,0.63101065,0.8176098399,0.1500737343,0,0.1434301
3,3,eyeriss,cifar10,93.03,2.17106,0.6497333406,0.6925680769,0,0.1548788
3,4,fpga,cifar10,92.083336,1.13296,0.4766453308,1.224692571,0,0.1465407
3,5,pixel3,cifar10,93.89,2.49618,0.8402360697,0.9013331645,0,0.1597653
3,6,raspi4,cifar10,92.20333,0.13658585,0.9017630718,0.7142026662,0,0.160642
3,7,edgegpu,cifar100,72.746666,5.3523636,0.2429223062,1.74746211,0,0.1467733
3,8,edgetpu,cifar100,72.38,0.6372306,0.6736538631,0.5163534311,0,0.1562847
3,9,eyeriss,cifar100,73.14,5.1232,0.4234782175,1.353447333,0,0.1491445
3,10,fpga,cifar100,70.28,1.13296,0.6803458729,1.545546311,0,0.1473501
3,11,pixel3,cifar100,67.82,0.00882281,0.833013829,1.395089565,0,0.1748129
3,12,raspi4,cifar100,66.4,7.7939835,0.7874647652,4.556723982,0,0.1455019
3,13,edgegpu,ImageNet16-120,46.233334,2.4882698,0.5959694423,0.9723140752,0,0.1448601
3,14,edgetpu,ImageNet16-120,46.933334,0.8264329,0.4151932289,0.1510491447,0,0.1579317
3,15,eyeriss,ImageNet16-120,46.533333,1.71328,0.1281630826,0.7519072085,0,0.1662109
3,16,fpga,ImageNet16-120,45.166668,0.51792,0.7431794392,1.123632961,0,0.140099
3,17,pixel3,ImageNet16-120,46.58889,2.96252,0.4568777728,0.7684632091,0,0.1450126
3,18,raspi4,ImageNet16-120,46.4,5.6591287,0.5505663922,2.10687975,0,0.1453362
4,1,edgegpu,cifar10,93.99,0.54032326,0.8353878596,0.3965201414,0,0.1431082
4,2,edgetpu,cifar10,94.29667,1.0656255,0.6140336958,0.2234989984,0,0.1404259
4,3,eyeriss,cifar10,92.11,1.67954,0.6928567581,0.9317019231,0,0.1428812
4,4,fpga,cifar10,94.09,3.42096,0.3266941906,0.6609687408,0,0.1425749
4,5,pixel3,cifar10,92.94666,0.00340076,0.7617669374,3.26336092,0,0.144485
4,6,raspi4,cifar10,92.22,2.7339299,0.8986320799,0.8294109135,0,0.1441843
4,7,edgegpu,cifar100,67.6,1.4285946,0.7905138336,3.017628573,0,0.142285
4,8,edgetpu,cifar100,70.08,0.49045628,0.6104035751,1.682330015,0,0.1339761
4,9,eyeriss,cifar100,73.26,5.1232,0.4250000001,1.31545976,0,0.1438328
4,10,fpga,cifar100,72.64667,4.67856,0.4136167253,1.075118606,0,0.1450344
4,11,pixel3,cifar100,70.64,1.47857,0.8830142039,0.8098570887,0,0.1577949
4,12,raspi4,cifar100,66.4,0.01571752,0.8583496696,3.017956757,0,0.1428706
4,13,edgegpu,ImageNet16-120,46.71111,3.349247,0.6372987712,0.6774098114,0,0.1439277
4,14,edgetpu,ImageNet16-120,46.933334,0.85516423,0.3789730257,0.1537427069,0,0.1382223
4,15,eyeriss,ImageNet16-120,45.166668,1.16032,0.4223289932,1.005669558,0,0.1401612
4,16,fpga,ImageNet16-120,42.933334,0.48912,0.7069712506,2.328469973,0,0.1458006
4,17,pixel3,ImageNet16-120,43.18889,2.83035,0.4520389529,2.338153875,0,0.158706
4,18,raspi4,ImageNet16-120,44.455555,2.2137332,0.7650741572,1.065939077,0,0.1437989
5,1,edgegpu,cifar10,93.73333,1.510582,0.8128624119,0.521643095,0,0.1436071
5,2,edgetpu,cifar10,94.09,0.80813193,0.7252741315,0.2190749111,0,0.1494632
5,3,eyeriss,cifar10,93.28,2.17106,0.7729533481,0.3157619299,0,0.1452349
5,4,fpga,cifar10,94.13,2.05776,0.5408769077,0.2418763119,0,0.1442292
5,5,pixel3,cifar10,92.745,0.00567462,0.8679461065,1.571116941,0,0.1467053
5,6,raspi4,cifar10,93.95,2.754807,0.9014676334,0.9949619711,0,0.1456996
5,7,edgegpu,cifar100,69.22,1.7572689,0.7582483609,2.206769503,0,0.1457676
5,8,edgetpu,cifar100,73.513336,1.2881769,0.2979130672,0.4595106722,0,0.1418217
5,9,eyeriss,cifar100,70.06,1.92832,0.7437825652,1.450546,0,0.1383808
5,10,fpga,cifar100,72.86,2.39056,0.6967508162,0.5207440606,0,0.1458024
5,11,pixel3,cifar100,69.26,0.433486,0.8543025839,1.697909131,0,0.1513371
5,12,raspi4,cifar100,69.32,2.5723464,0.9000511314,1.362312723,0,0.1468464
5,13,edgegpu,ImageNet16-120,45.033333,2.4209738,0.7159621153,0.9789366114,0,0.1649409
5,14,edgetpu,ImageNet16-120,46.533333,0.8157472,0.3989808002,0.4759097304,0,0.139027
5,15,eyeriss,ImageNet16-120,46.233334,1.2832,0.4019056949,0.5921135954,0,0.148248
5,16,fpga,ImageNet16-120,45.5,1.504,0.4292130907,1.164039349,0,0.1448864
5,17,pixel3,ImageNet16-120,45.433334,1.0817,0.6414309281,0.9714400365,0,0.1436507
5,18,raspi4,ImageNet16-120,45.333332,4.596437,0.6067887322,2.078200715,0,0.1446971
6,1,edgegpu,cifar10,93.73,2.707076,0.6378634692,1.308142123,0,0.1492121
6,2,edgetpu,cifar10,94.37334,0.62932473,0.8128087473,0.1378895351,0,0.1422319
6,3,eyeriss,cifar10,93.28,1.9253,0.8099444595,0.2546426991,0,0.1423059
6,4,fpga,cifar10,93.56,1.54256,0.4526693424,0.4967881768,0,0.1408236
6,5,pixel3,cifar10,93,0.00473085,0.9061311763,1.029880135,0,0.1466156
6,6,raspi4,cifar10,88.85667,2.570878,0.8804759453,1.791648402,0,0.1546219
6,7,edgegpu,cifar100,72.2,3.302102,0.5532008256,1.512844076,0,0.1434092
6,8,edgetpu,cifar100,72.84,0.6373623,0.6908790519,0.3042908318,0,0.1406075
6,9,eyeriss,cifar100,73.166664,3.8944,0.5718695653,0.9140990199,0,0.1520537
6,10,fpga,cifar100,70.64,1.64816,0.6285537502,1.381737823,0,0.1454486
6,11,pixel3,cifar100,70.4,5.75609,0.724599899,4.041766273,0,0.1510203
6,12,raspi4,cifar100,71.46,2.726897,0.9065155813,0.7057043223,0,0.1528145
6,13,edgegpu,ImageNet16-120,46.58889,1.4318419,0.6957509484,0.4260713083,0,0.1462735
6,14,edgetpu,ImageNet16-120,46.58889,0.87668,0.3431037026,0.3977685788,0,0.1393541
6,15,eyeriss,ImageNet16-120,46.833332,0.976,0.5850125447,0.2378578011,0,0.1374537
6,16,fpga,ImageNet16-120,47.31111,1.5296,0.4312049718,0.5179613237,0,0.1413763
6,17,pixel3,ImageNet16-120,46.55,2.88257,0.4462166377,1.194502809,0,0.148715
6,18,raspi4,ImageNet16-120,40.666668,0.9704994,0.7788265973,2.442194384,0,0.1450478
7,1,edgegpu,cifar10,93.73333,2.4701023,0.6822973819,0.6646178464,0,0.1458309
7,2,edgetpu,cifar10,94.08,0.75047284,0.7360184137,0.3746187549,0,0.138297
7,3,eyeriss,cifar10,93.82,3.39986,0.5682271186,0.6561806883,0,0.1397885
7,4,fpga,cifar10,93.98,3.31536,0.3569692042,0.5684857143,0,0.1446709
7,5,pixel3,cifar10,93.48,1.23572,0.906655343,0.6314077931,0,0.1465719
7,6,raspi4,cifar10,91.68,0.01206386,0.901635278,0.6971659361,0,0.1441705
7,7,edgegpu,cifar100,69.78,0.6298828,0.6072116862,2.01921254,0,0.1525982
7,8,edgetpu,cifar100,73.166664,1.2164904,0.371924319,0.4578495907,0,0.34964
7,9,eyeriss,cifar100,67.62,1.68256,0.6405289892,3.077496667,0,0.1428125
