context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std
1,edgegpu,cifar10,93.7047492,0.2259676909,1.015189883,0.7175025043,0.8015639965,0.05598400328,0.609640306,0.2693228016,0,0,0.25268336,0.007719138973
2,edgetpu,cifar10,93.8781657,0.1711979751,0.432176005,0.066350463,0.8459234612,0.02923315711,0.232364227,0.07788049888,0,0,0.245653625,0.01366881186
3,eyeriss,cifar10,93.7521667,0.2255659817,1.9253,0.3297216397,0.927912008,0.05811833182,0.6065845132,0.2267061385,0,0,0.251306515,0.01034285139
4,fpga,cifar10,93.70349955,0.2479098179,1.56896,0.3005034709,0.9060012597,0.03697801753,0.4783546909,0.1262901911,0,0,0.260621735,0.0256027273
5,pixel3,cifar10,93.78649935,0.2262590426,0.59326328,0.7668569246,0.9373055496,0.009613784234,0.7200487605,0.2368153009,0,0,0.269548725,0.03535177809
6,raspi4,cifar10,93.6863335,0.3173348216,1.447705503,1.911562367,0.920106628,0.0229555689,1.210381904,0.4166412401,0,0,0.2618912,0.01953164703
7,edgegpu,cifar100,71.2066675,1.01839333,0.740483518,0.3966561521,0.77404752,0.0459898289,1.136095013,0.4031997517,0,0,0.250660205,0.01217184014
8,edgetpu,cifar100,70.84850025,0.6581851945,0.4433219365,0.0682552879,0.8816777972,0.03124320623,0.3205532859,0.1205532666,0,0,0.243155765,0.01000572291
9,eyeriss,cifar100,71.2688327,0.9287152863,2.002048,0.2070810568,0.8347784724,0.01928658289,1.013237582,0.2189126511,0,0,0.24947849,0.01563674862
10,fpga,cifar100,71.4768328,0.8770722889,1.53856,0.282217278,0.8352607241,0.04989559329,0.9491044238,0.2632850027,0,0,0.26283373,0.04673054333
11,pixel3,cifar100,71.4136657,0.8400536794,0.6574058105,0.8884727167,0.8922213568,0.01609745159,1.354650745,0.4108001486,0,0,0.25488346,0.01494409797
12,raspi4,cifar100,71.2226663,0.7117778665,0.3803915785,0.8326534825,0.906700463,0.01189087277,1.61964947,0.4246921755,0,0,0.255938995,0.01284956455
13,edgegpu,ImageNet16-120,45.45333305,0.7303696664,0.9361004845,0.4764130752,0.729207296,0.03875064548,0.9031983662,0.3156211757,0,0,0.25372001,0.01874186349
14,edgetpu,ImageNet16-120,45.4663883,0.8162744905,0.3980417975,0.03085261218,0.764302969,0.03154677631,0.2847049693,0.1599667375,0,0,0.25033072,0.02274781134
15,eyeriss,ImageNet16-120,45.3366667,0.8381644893,0.54592,0.1149437149,0.8296186138,0.05086707101,0.4126293019,0.1606536251,0,0,0.24770949,0.01289142775
16,fpga,ImageNet16-120,45.44805535,0.7184479934,0.40912,0.05987506994,0.8099103388,0.02882555553,0.4830702572,0.1692027698,0,0,0.26277549,0.02827489264
17,pixel3,ImageNet16-120,45.3597223,0.8437292241,0.2424152415,0.266818626,0.865938155,0.0158518516,0.6684841157,0.1964368485,0,0,0.263532635,0.01839134305
18,raspi4,ImageNet16-120,44.8569439,0.5819793419,0.4301455745,0.6104038473,0.8300007565,0.01441532436,0.712315167,0.129076452,0,0,0.268334765,0.0374376014
