run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,93.98,0.5412197,0.8436037258,0.1329145768,0,4.8367819
1,2,edgetpu,cifar10,94.29667,0.35296565,0.9058662372,0.0268305969,0,4.7825041
1,3,eyeriss,cifar10,94.21667,1.67954,0.9842419339,0.1865954127,0,5.3453282
1,4,fpga,cifar10,94.16,1.13296,0.8358585929,0.2198207083,0,5.053539
1,5,pixel3,cifar10,94.293335,0.00389283,0.9555870885,0.2865637763,0,5.1211653
1,6,raspi4,cifar10,94.30666,0.01129678,0.9548355011,0.2107196097,0,5.0374904
1,7,edgegpu,cifar100,73.16,0.5440569,0.811566869,0.3468531388,0,5.1917194
1,8,edgetpu,cifar100,73.14,0.355341,0.791477859,0.09496064141,0,4.9457051
1,9,eyeriss,cifar100,73.26,1.68256,0.9540695472,0.4473624564,0,5.0207423
1,10,fpga,cifar100,72.04,1.13296,0.8661671042,0.5393450489,0,5.007642
1,11,pixel3,cifar100,72.39333,0.00882281,0.9194803278,0.727149302,0,5.1999637
1,12,raspi4,cifar100,72.78,0.01560854,0.9168474565,0.4342960299,0,5.081697
1,13,edgegpu,ImageNet16-120,46.58889,0.53904533,0.7954735767,0.389239117,0,5.1617006
1,14,edgetpu,ImageNet16-120,46.766666,0.36182344,0.8732588017,0.07156692187,0,4.983106
1,15,eyeriss,ImageNet16-120,46.9,0.42304,0.8009935578,0.1824131657,0,5.1871299
1,16,fpga,ImageNet16-120,45.9,0.28432,0.8042298161,0.317178755,0,5.0940333
1,17,pixel3,ImageNet16-120,46.9,0.00574453,0.8882928881,0.3823807065,0,5.1919922
1,18,raspi4,ImageNet16-120,47.31111,0.01183346,0.8747893138,0.1931109455,0,5.41477
2,1,edgegpu,cifar10,94.22,0.50138474,0.8407969001,0.1782119389,0,4.9371165
2,2,edgetpu,cifar10,94.293335,0.35232753,0.8978115108,0.07996651191,0,4.9993868
2,3,eyeriss,cifar10,94.293335,1.67954,0.9840108068,0.2181747556,0,4.9640323
2,4,fpga,cifar10,94.37334,1.13296,0.8341209864,0.1621037246,0,4.9461297
2,5,pixel3,cifar10,94.3,0.00404932,0.9543293584,0.2699316893,0,5.1484179
2,6,raspi4,cifar10,94.16,0.01158126,0.9535491997,0.338581474,0,5.0350799
2,7,edgegpu,cifar100,72.78,0.55059433,0.8125365341,0.358434486,0,5.0512482
2,8,edgetpu,cifar100,72.4,0.35584584,0.7897589287,0.1828061369,0,5.0010181
2,9,eyeriss,cifar100,72.88,1.68256,0.9532724429,0.3353795314,0,5.2380473
2,10,fpga,cifar100,73.513336,1.13296,0.8715479079,0.4100689539,0,5.1929639
2,11,pixel3,cifar100,72.72,0.00916011,0.9267499197,0.5018230418,0,5.0715297
2,12,raspi4,cifar100,73.14,0.01521528,0.9161808829,0.3131745933,0,5.008814
2,13,edgegpu,ImageNet16-120,46.133335,0.5398226,0.8006777711,0.284103258,0,4.9426677
2,14,edgetpu,ImageNet16-120,46.71111,0.3752616,0.8679914822,0.06699081637,0,4.9506506
2,15,eyeriss,ImageNet16-120,46.71111,0.42304,0.8001068021,0.1615740476,0,4.9205615
2,16,fpga,ImageNet16-120,47.033333,0.28432,0.8375677792,0.1111718609,0,4.9665224
2,17,pixel3,ImageNet16-120,45.866665,0.00613112,0.8829509365,0.4483476486,0,5.0349407
2,18,raspi4,ImageNet16-120,46.766666,0.01211046,0.864217895,0.3076255832,0,5.6984754
3,1,edgegpu,cifar10,94.13,0.5465269,0.841988261,0.1611693785,0,5.0628224
3,2,edgetpu,cifar10,94.19,0.35279092,0.8879319755,0.1134590132,0,5.3456551
3,3,eyeriss,cifar10,94.066666,1.67954,0.982487808,0.2402299729,0,5.4682655
3,4,fpga,cifar10,94.363335,1.13296,0.8288627723,0.2284110516,0,5.0249404
3,5,pixel3,cifar10,94.29667,0.00327686,0.9580445257,0.2288183967,0,5.1119313
3,6,raspi4,cifar10,94.25,0.01153682,0.9540629419,0.2322664459,0,5.11143
3,7,edgegpu,cifar100,73.26,0.53345203,0.8139196127,0.2583704423,0,5.6236355
3,8,edgetpu,cifar100,72.86,0.35493976,0.7902637663,0.1159379355,0,5.3372137
3,9,eyeriss,cifar100,73.22,1.68256,0.9525343504,0.5324121253,0,5.1433665
3,10,fpga,cifar100,73.09333,1.13296,0.8860505477,0.2560852733,0,5.2134234
3,11,pixel3,cifar100,71.71333,0.00896936,0.9196300604,0.6397096834,0,4.9987765
3,12,raspi4,cifar100,73,0.01578782,0.9159361593,0.4821910734,0,5.2522011
3,13,edgegpu,ImageNet16-120,46.58889,0.5449438,0.7998310307,0.3115627748,0,6.2923727
3,14,edgetpu,ImageNet16-120,47.033333,0.35810986,0.8797358941,0.07658724934,0,5.9823417
3,15,eyeriss,ImageNet16-120,46.9,0.42304,0.8257905835,0.07584533064,0,5.347826
3,16,fpga,ImageNet16-120,46.55,0.28432,0.8263733909,0.185929529,0,5.2345164
3,17,pixel3,ImageNet16-120,46.58889,0.00580401,0.893536693,0.2617835492,0,5.0276039
3,18,raspi4,ImageNet16-120,46.4,0.01174164,0.8653094497,0.2181478368,0,5.131414
4,1,edgegpu,cifar10,94.37334,0.5448675,0.8428999992,0.09822819366,0,4.9815426
4,2,edgetpu,cifar10,94.363335,0.35385835,0.9061876634,0.05288751436,0,5.2369235
4,3,eyeriss,cifar10,94.22,1.67954,0.9846350024,0.1974925409,0,5.0135493
4,4,fpga,cifar10,94.02,1.13296,0.8267785599,0.2472652952,0,5.2036025
