run_id,context_id,archid,device,dataset,accuracy,latency,runtime_sec,evaluations
1,1,11443,edgegpu,cifar10,93.840000,6.147151,0.026919,30
1,1,8961,edgegpu,cifar10,92.930000,3.426576,0.026919,30
1,1,313,edgegpu,cifar10,75.765000,2.705297,0.026919,30
1,2,6338,edgetpu,cifar10,93.136665,1.243007,0.047848,30
1,2,1040,edgetpu,cifar10,92.840000,0.898026,0.047848,30
1,2,13438,edgetpu,cifar10,92.060000,0.484981,0.047848,30
1,2,9423,edgetpu,cifar10,84.185000,0.447339,0.047848,30
1,3,1000,eyeriss,cifar10,93.550000,4.874420,0.043228,30
1,3,11487,eyeriss,cifar10,92.860000,3.891380,0.043228,30
1,3,7189,eyeriss,cifar10,92.845000,3.645620,0.043228,30
1,3,12892,eyeriss,cifar10,89.155000,3.399860,0.043228,30
1,3,5409,eyeriss,cifar10,10.000000,3.154100,0.043228,30
1,4,1856,fpga,cifar10,93.666664,5.724960,0.054365,30
1,4,14735,fpga,cifar10,93.470000,5.315360,0.054365,30
1,4,9689,fpga,cifar10,93.370000,3.315360,0.054365,30
1,4,8108,fpga,cifar10,89.175000,2.572960,0.054365,30
1,4,6798,fpga,cifar10,88.480000,2.163360,0.054365,30
1,4,7110,fpga,cifar10,86.555000,1.952160,0.054365,30
1,5,12967,pixel3,cifar10,93.960000,22.409500,0.042389,30
1,5,8768,pixel3,cifar10,92.760000,11.596600,0.042389,30
1,5,622,pixel3,cifar10,92.330000,9.778890,0.042389,30
1,5,2064,pixel3,cifar10,91.970000,8.001030,0.042389,30
1,5,13229,pixel3,cifar10,89.540000,6.466660,0.042389,30
1,5,1370,pixel3,cifar10,89.403336,3.458540,0.042389,30
1,5,1732,pixel3,cifar10,88.923330,2.278540,0.042389,30
1,5,41,pixel3,cifar10,88.670000,1.576940,0.042389,30
1,5,14311,pixel3,cifar10,10.000000,0.048546,0.042389,30
1,6,12663,raspi4,cifar10,93.700000,40.507133,0.040952,30
1,6,547,raspi4,cifar10,92.323330,39.041780,0.040952,30
1,6,12789,raspi4,cifar10,92.290000,37.409977,0.040952,30
