run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,94.37334,0.50138474,0.8412624253,0,0,0.2226403001
1,2,edgetpu,cifar10,94.37334,0.34654593,0.8473986504,0,0,0.2160319
1,3,eyeriss,cifar10,94.37334,1.67954,0.8300121505,0,0,0.1716792
1,4,fpga,cifar10,94.37334,1.13296,0.7838153969,0,0,0.1860238001
1,5,pixel3,cifar10,94.37334,0.00327686,0.9416355553,0,0,0.1676344001
1,6,raspi4,cifar10,94.37334,0.0112835,0.9498121119,0,0,0.2148098999
1,7,edgegpu,cifar100,73.513336,0.5058527,0.8150179736,0,0,0.1794185999
1,8,edgetpu,cifar100,73.513336,0.35493976,0.8037397264,0,0,0.1678726
1,9,eyeriss,cifar100,73.513336,1.68256,0.8301510444,0,0,0.1679121
1,10,fpga,cifar100,73.513336,1.13296,0.7608187742,0,0,0.1714893001
1,11,pixel3,cifar100,73.513336,0.0087526,0.9508496363,0,0,0.2253182
1,12,raspi4,cifar100,73.513336,0.01521528,0.9291264638,0,0,0.2035706
1,13,edgegpu,ImageNet16-120,47.31111,0.5339527,0.7825701559,0,0,0.210008
1,14,edgetpu,ImageNet16-120,47.31111,0.35810986,0.8014619244,0,0,0.1826065
1,15,eyeriss,ImageNet16-120,47.31111,0.42304,0.7675333032,0,0,0.2281545
1,16,fpga,ImageNet16-120,47.31111,0.28432,0.7460456323,0,0,0.2408140999
1,17,pixel3,ImageNet16-120,47.31111,0.00528942,0.8602479087,0,0,0.1854818
1,18,raspi4,ImageNet16-120,47.31111,0.0115138,0.7962630336,0,0,0.1954005
2,1,edgegpu,cifar10,94.37334,0.50138474,0.8412624253,0,0,0.1719117
2,2,edgetpu,cifar10,94.37334,0.34654593,0.8473986504,0,0,0.2137966
2,3,eyeriss,cifar10,94.37334,1.67954,0.8300121505,0,0,0.2281983
2,4,fpga,cifar10,94.37334,1.13296,0.7838153969,0,0,0.1657214999
