run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,spacing,c_metric,runtime_sec,evaluations
1,1,edgegpu,cifar10,94.37334,0.5385971,0.9998476663,0.006144482411,15.88351543,0.32,1.7493395,118430
1,2,edgetpu,cifar10,94.37334,0.35215905,0.9976257405,0.005882194112,0.6034465668,0.2068965517,1.720337,113534
1,3,eyeriss,cifar10,94.37334,1.67954,0.9970317051,0.03220176471,0.7749287494,0,1.3480025,103842
1,4,fpga,cifar10,94.30666,1.13296,0.997960283,0.02541533333,0.8197699196,0,1.2331619,111630
1,5,pixel3,cifar10,94.37334,0.00404932,0.9996159062,0.02620683164,12.20766884,0,2.0932422,95634
1,6,raspi4,cifar10,94.30666,0.0112835,0.9991192278,0.05607194261,13.75215609,0.1315789474,1.7724936,93702
1,7,edgegpu,cifar100,73.513336,0.5058527,0.9993780925,0.02142915,13.06276253,0.25,1.784281,129730
1,8,edgetpu,cifar100,73.513336,0.35575444,0.9961572818,0.005205679167,0.831855962,0.3333333333,2.3166862,165950
1,9,eyeriss,cifar100,73.26,1.68256,0.9985704981,0.03327306667,1.441127768,0,1.413256,108070
1,10,fpga,cifar100,73.26,1.13296,0.9973767575,0.07048516179,1.538257069,0,1.3645684,100014
1,11,pixel3,cifar100,73.513336,0.0087526,0.996613783,0.05037959711,10.51485457,0.02857142857,1.9166591,90102
1,12,raspi4,cifar100,73.16,0.01521528,0.9972050156,0.1108082439,9.204107553,0.2051282051,2.0698405,100686
1,13,edgegpu,ImageNet16-120,47.31111,0.5398226,0.9988348504,0.006034630393,5.148991906,0.2580645161,1.9077116,126222
1,14,edgetpu,ImageNet16-120,47.31111,0.35886532,0.9946039507,0.009449059947,1.429120544,0.1627906977,2.0744175,159374
1,15,eyeriss,ImageNet16-120,47.31111,0.42304,0.9993698264,0.01394375,1.711642765,0,1.8144676,170530
1,16,fpga,ImageNet16-120,47.31111,0.28432,0.9992307025,0.01354976471,1.502157033,0,1.3336904,88462
1,17,pixel3,ImageNet16-120,47.31111,0.00583465,0.9990395696,0.02003296821,4.642643849,0,2.3212341,132338
1,18,raspi4,ImageNet16-120,47.033333,0.01151902,0.997605389,0.02667397791,4.087008762,0.2222222222,2.1188894,91950
2,1,edgegpu,cifar10,94.37334,0.54217815,0.9998368764,0.007987814,15.88312299,0.24,1.7108235,114014
2,2,edgetpu,cifar10,94.37334,0.34654593,0.9954391788,0.007283347215,0.6994849312,0.1379310345,1.8496028,122750
2,3,eyeriss,cifar10,94.37334,1.67954,0.9984839542,0.008627647059,0.8569650638,0,1.391461,103758
2,4,fpga,cifar10,94.37334,1.13296,0.9987869073,0.01408,0.7550365239,0,1.2239619,103782
2,5,pixel3,cifar10,94.30666,0.00327686,0.9995494118,0.02121943812,12.02497679,0.02325581395,2.2260112,104046
2,6,raspi4,cifar10,94.13,0.01133014,0.9981185264,0.1157004609,14.30670286,0.1052631579,1.7428489,98226
2,7,edgegpu,cifar100,73.513336,0.5358076,0.9995576835,0.0174681,12.38905812,0.3,1.5363772,97350
2,8,edgetpu,cifar100,73.513336,0.35575444,0.9952667667,0.007775862039,0.9234795874,0.3333333333,1.9122648,108790
2,9,eyeriss,cifar100,73.513336,1.68256,0.9974414688,0.049152,1.51411748,0,1.4879917,122314
2,10,fpga,cifar100,73.513336,1.13296,0.9972713235,0.03043722222,1.369864537,0,1.4294664,105234
2,11,pixel3,cifar100,73.513336,0.00884682,0.9952141303,0.06373338009,9.532106571,0,1.8086098,94158
2,12,raspi4,cifar100,72.74,0.01521528,0.9955546852,0.1590915231,10.78711629,0.1794871795,1.8085871,103362
2,13,edgegpu,ImageNet16-120,47.31111,0.5396509,0.9997481151,0.004349319355,5.549892545,0.2258064516,1.8029067,119494
2,14,edgetpu,ImageNet16-120,47.31111,0.3588635,0.9956728373,0.005343269302,1.16496288,0.2093023256,2.0005991,151486
2,15,eyeriss,ImageNet16-120,47.31111,0.42304,0.9968097643,0.01906375,1.645890135,0,1.7664957,165594
2,16,fpga,ImageNet16-120,47.31111,0.28432,0.9975688493,0.02252858824,1.489832899,0,1.8420805,155214
2,17,pixel3,ImageNet16-120,47.31111,0.00528942,0.9994950474,0.01130886462,4.412762228,0,1.8952204,88974
2,18,raspi4,ImageNet16-120,47.31111,0.01151902,0.9994568956,0.009422676305,3.892347916,0.1851851852,2.4351807,103398
