context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,spacing_mean,spacing_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std,evaluations_mean,evaluations_std,hv_median,hv_iqr,igd_plus_median,igd_plus_iqr,spacing_median,spacing_iqr,runtime_median,runtime_iqr
1,edgegpu,cifar10,93.83261143,0.2082823701,0.568395776,0.2180564076,0.9844430311,0.01054409623,0.5407450877,0.17562915,22.14751962,4.127508035,0.02533333333,0.03008137113,0.3416802267,0.08075880447,10050,0,0.9866840973,0.005697536563,0.5355314978,0.1811744842,22.66400256,3.974168651,0.3302587,0.0846966
2,edgetpu,cifar10,93.96016643,0.1788090072,0.3525862597,0.001840344619,0.9368565389,0.02376897147,0.1369623639,0.05750105168,0.7578420615,0.08970404779,0.05862068966,0.03578018946,0.7791567,0.2739651082,10050,0,0.9388386354,0.01752103987,0.1258837005,0.03980659643,0.7405432647,0.116869574,0.7143395,0.2710898
3,eyeriss,cifar10,93.90461113,0.2735893034,1.687732,0.0441152701,0.9205742307,0.02808027448,0.3723490351,0.1218824254,0.8103970273,0.1191732171,0,0,0.3809663167,0.1237622859,10050,0,0.92380584,0.02724452316,0.3527867754,0.1212875258,0.8079030133,0.1096526902,0.3599349,0.0753247
4,fpga,cifar10,93.8136105,0.2493929092,1.2968,0.226826209,0.8948615832,0.03393396731,0.441964757,0.1206144237,0.9850981994,0.5527081146,0,0,0.34583886,0.08086094958,10050,0,0.9002316011,0.04467330193,0.4300302401,0.1734765956,0.8675032124,0.1593956343,0.33811805,0.0874889
5,pixel3,cifar10,93.95644467,0.261619943,0.007512732333,0.008880830176,0.9848362605,0.01217067037,0.5678136296,0.1283880047,19.14553121,2.281777697,0.003875968992,0.008666930145,0.5689523833,0.2427399396,10050,0,0.9890458708,0.007350684609,0.5670662956,0.1824898785,18.25329221,2.998152613,0.54346335,0.2346727
6,raspi4,cifar10,93.89705543,0.2646428342,0.01974316,0.02250084361,0.9902761238,0.002623918729,0.6227929673,0.1719402285,18.83438087,1.682898459,0.00701754386,0.01509179871,0.5130844767,0.1809101653,10050,0,0.9905018553,0.003674988735,0.6184508436,0.1463150064,19.12549361,2.395150003,0.42152055,0.2259986
7,edgegpu,cifar100,71.35933353,0.8108688854,0.5651137033,0.2170451886,0.9627012164,0.01756897113,0.9846249479,0.223597029,16.05063968,2.538516268,0.035,0.05346338311,0.3985385167,0.1380615091,10050,0,0.9669129804,0.01351158361,0.9740591679,0.335200131,16.34233848,2.236634406,0.3741332,0.149349
8,edgetpu,cifar100,71.64922207,0.8735546676,0.355845019,0.001046083686,0.8866458307,0.02948631157,0.4108580115,0.18947217,1.252102244,0.2067211987,0.02962962963,0.02579331162,0.5804138167,0.3354482442,10050,0,0.8837048951,0.04966550608,0.4234350468,0.350720763,1.21242763,0.1873584648,0.5397338,0.1568692
9,eyeriss,cifar100,71.72299983,0.8693027217,1.68256,0,0.8827835553,0.03677759631,0.8612182977,0.2573815306,1.607472998,0.1537237484,0,0,0.38030935,0.114521499,10050,0,0.889523715,0.06080359192,0.8317343058,0.495367532,1.605087886,0.1733754177,0.35882505,0.0774699
10,fpga,cifar100,71.15444447,0.6805550077,1.283146667,0.1973839503,0.8559975472,0.03268623853,0.9313272784,0.2372622048,1.534697343,0.2912305294,0,0,0.3887857667,0.1503209199,10050,0,0.8571529983,0.04628161816,0.9176288437,0.3257836755,1.538986974,0.3691538836,0.3529615,0.0906598
11,pixel3,cifar100,71.41455537,0.8124053421,0.012648492,0.01003265954,0.9634367701,0.006403868762,1.283660081,0.2629904851,14.58607513,1.147445976,0.00380952381,0.009712418121,0.4954230233,0.1706618246,10050,0,0.9640333338,0.008831230248,1.275518329,0.5086383555,14.57983927,1.868552215,0.43716605,0.1256972
12,raspi4,cifar100,71.6206663,0.780602864,0.02214000733,0.02176657257,0.9712348582,0.01142192155,1.369394323,0.376137031,14.35408475,1.449303391,0.002564102564,0.007692307692,0.4419452867,0.1618571459,10050,0,0.9716848619,0.01027637653,1.424200825,0.4198809448,14.12727879,1.433215384,0.3957158,0.092521
13,edgegpu,ImageNet16-120,45.43462937,0.5028327494,0.5387204413,0.003567460729,0.9335169442,0.02111595061,0.8366552216,0.2260576041,7.449455167,0.7251421625,0.01935483871,0.02711724777,0.4291151467,0.1408724652,10050,0,0.9363163212,0.0310206283,0.8550419669,0.3515448842,7.468956447,1.05369135,0.40901205,0.1382624
14,edgetpu,ImageNet16-120,45.7653706,0.7533404617,0.359496539,0.001051147083,0.8956308588,0.02211740542,0.15128553,0.06293426974,1.698265813,0.1627687471,0.03023255814,0.02177453009,0.59832634,0.1649667595,10050,0,0.8948404285,0.01919151455,0.1409486566,0.07809381543,1.672386613,0.2850548329,0.5566875,0.1925665
15,eyeriss,ImageNet16-120,45.3898147,0.7530378663,0.42304,0,0.8675942006,0.02787983307,0.5684875577,0.19931682,1.596312927,0.1770926338,0,0,0.35049053,0.1311595564,10050,0,0.872823959,0.03863726285,0.6034853564,0.2349869478,1.592987565,0.1802206878,0.308492,0.0773841
16,fpga,ImageNet16-120,45.6344444,0.7244720399,0.3218666667,0.04934598757,0.8788347508,0.02607715703,0.4399984462,0.1591435053,1.465631566,0.1952985872,0,0,0.3997393967,0.1224082023,10050,0,0.8801022921,0.03078600924,0.4238087907,0.2133735503,1.43807015,0.2162610484,0.375745,0.1000228
17,pixel3,ImageNet16-120,45.6920373,0.7240688533,0.007117543667,0.004096937041,0.9499155941,0.01509933885,0.6137569484,0.1827107911,6.653736322,0.8285641239,0,0,0.5279359733,0.1385270882,10050,0,0.952547164,0.01617979494,0.6092395116,0.2082292595,6.502753591,0.6910621648,0.52145195,0.1726967
18,raspi4,ImageNet16-120,45.50277767,0.744196729,0.06292278667,0.2765156415,0.9565020751,0.01355417482,0.588864066,0.1341028307,6.188707956,0.726862347,0.01728395062,0.01719554108,0.52300258,0.1116028715,10050,0,0.9570567733,0.01149413861,0.5762687804,0.2106696735,6.167117696,0.5970942817,0.52522055,0.1579409
