run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,spacing,c_metric,runtime_sec,evaluations
1,1,edgegpu,cifar10,93.97,0.5396843,0.9896037911,0.4783839156,24.87754686,0.08,0.6795099,10050
1,2,edgetpu,cifar10,93.9,0.35254368,0.9414788385,0.1347681749,0.9143460109,0.03448275862,1.6997622,10050
1,3,eyeriss,cifar10,93.91,1.67954,0.9064890794,0.4538336871,0.6426291986,0,0.6105573,10050
1,4,fpga,cifar10,94.30666,1.13296,0.9402757514,0.2250572131,0.8228401679,0,0.713166,10050
1,5,pixel3,cifar10,93.94666,0.00327686,0.989058052,0.5143673595,17.77055715,0.02325581395,1.5403829,10050
1,6,raspi4,cifar10,93.89,0.01133014,0.9923001347,0.6116733728,19.85257541,0,0.8606114,10050
1,7,edgegpu,cifar100,71.7,0.5393505,0.9718568855,0.8747747505,16.16378017,0,0.9194093,10050
1,8,edgetpu,cifar100,70.82,0.35524306,0.8528684131,0.6553978096,0.8002323387,0.05555555556,2.2516174,10050
1,9,eyeriss,cifar100,71.22,1.68256,0.8997168809,0.7257049782,1.855926634,0,0.8833256,10050
1,10,fpga,cifar100,71.10667,1.13296,0.8244849397,1.25923504,1.483350585,0,1.130899,10050
1,11,pixel3,cifar100,71.28,0.00968557,0.9582377925,1.6244527,13.60856494,0,1.1429728,10050
1,12,raspi4,cifar100,72.86,0.01521528,0.989247564,0.8058746443,14.02579925,0,1.1489515,10050
1,13,edgegpu,ImageNet16-120,46.155556,0.53410053,0.951336426,0.5611475436,7.993154841,0.03225806452,1.017648,10050
1,14,edgetpu,ImageNet16-120,44.833332,0.35810986,0.8616934232,0.2776929504,1.731386332,0.04651162791,1.1329913,10050
1,15,eyeriss,ImageNet16-120,46.433334,0.42304,0.8860181212,0.2849493039,1.36449979,0,0.9672529,10050
1,16,fpga,ImageNet16-120,43.677776,0.28432,0.8587743054,0.9358113005,1.677688606,0,0.9695691,10050
1,17,pixel3,ImageNet16-120,45.9,0.013957,0.9485773061,0.4012625792,8.960349248,0,0.3251381,10050
1,18,raspi4,ImageNet16-120,45.288887,0.01151902,0.9489425405,0.7326674984,6.432733097,0.03703703704,0.4760895,10050
2,1,edgegpu,cifar10,93.99,0.54205894,0.987289502,0.4384658148,20.86729279,0,0.3700414,10050
2,2,edgetpu,cifar10,94.06333,0.35232753,0.9359567587,0.1235055837,0.7318815759,0.03448275862,0.6314497,10050
2,3,eyeriss,cifar10,93.89667,1.67954,0.921585162,0.3810428768,0.8360874516,0,0.4169832,10050
2,4,fpga,cifar10,93.82667,1.13296,0.9298631811,0.3211188441,0.9024348136,0,0.3484111,10050
2,5,pixel3,cifar10,93.95,0.00340076,0.9877102939,0.4537062866,20.03710746,0,0.5323458,10050
2,6,raspi4,cifar10,93.55334,0.01133014,0.9900426501,0.6106828185,17.50265787,0,0.8876539,10050
2,7,edgegpu,cifar100,70.74,0.5395651,0.9561586498,1.221982632,14.96230378,0,0.5096558,10050
2,8,edgetpu,cifar100,70.72,0.3569702,0.8608768807,0.6495192619,1.311944004,0,0.5258388,10050
2,9,eyeriss,cifar100,72.2,1.68256,0.9041601188,0.6903789721,1.610412731,0,0.3873535,10050
2,10,fpga,cifar100,72.2,1.13296,0.8920061354,0.7706680407,1.585532256,0,0.4784181,10050
2,11,pixel3,cifar100,71.96,0.00904683,0.964586357,1.081332482,16.41666316,0,0.3113559,10050
2,12,raspi4,cifar100,72.22,0.06748086,0.9694059604,1.458648988,14.8749342,0,0.3766361,10050
2,13,edgegpu,ImageNet16-120,46.533333,0.5396509,0.9355539011,0.6896378543,6.916270704,0,0.5016791,10050
2,14,edgetpu,ImageNet16-120,46.344444,0.3590437,0.8888053386,0.125857632,1.52982982,0.02325581395,0.5535006,10050
2,15,eyeriss,ImageNet16-120,44.822224,0.42304,0.8416699422,0.7701998296,1.674892916,0,0.3243317,10050
2,16,fpga,ImageNet16-120,45.6,0.38672,0.8465406059,0.5237701286,1.569178006,0,0.4148413,10050
2,17,pixel3,ImageNet16-120,45.288887,0.0235367,0.9048525817,0.9145189425,9.508461785,0,0.2890476,10050
2,18,raspi4,ImageNet16-120,45.27778,0.0115138,0.9543050175,0.6462709547,6.335124733,0.05555555556,0.5961858,10050
3,1,edgegpu,cifar10,93.79,0.5396843,0.9885636704,0.5440949198,20.85036651,0,0.379253,10050
3,2,edgetpu,cifar10,94.04,0.35448664,0.9492066606,0.09614617236,0.7503792061,0.03448275862,0.7501329,10050
3,3,eyeriss,cifar10,93.48,1.67954,0.865675326,0.6111932151,0.8280103921,0,0.3861755,10050
3,4,fpga,cifar10,93.37,1.54256,0.8872721631,0.5396679256,3.221546373,0,0.3602857,10050
3,5,pixel3,cifar10,94.21667,0.00401469,0.9841805956,0.7806363905,17.08247563,0,0.5213122,10050
3,6,raspi4,cifar10,94.3,0.01133014,0.9907596531,0.6168752842,18.14469602,0,0.5578225,10050
3,7,edgegpu,cifar100,71.18,0.5095005,0.9537575218,1.121239712,17.3316202,0,0.3677952,10050
3,8,edgetpu,cifar100,70.86,0.355341,0.83206944,0.6511984576,1.253005467,0,0.5553625,10050
3,9,eyeriss,cifar100,72.06,1.68256,0.9239181194,0.5743992306,1.830164092,0,0.401774,10050
3,10,fpga,cifar100,70.5,1.13296,0.8316715462,1.089638548,1.65051903,0,0.3889978,10050
3,11,pixel3,cifar100,72.04,0.0313949,0.9661321591,1.076147081,15.89564511,0,0.3411917,10050
