run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,spacing,c_metric,runtime_sec,evaluations
1,1,edgegpu,cifar10,94.37334,0.50138474,1,7.600000001e-08,10.82785394,0.4,17.5406589,10000
1,2,edgetpu,cifar10,94.37334,0.35215905,0.9985257716,0.002411501379,0.4552874287,0.3103448276,17.7271855,10000
1,3,eyeriss,cifar10,94.37334,1.67954,0.9992261456,0.010392,0.5426176742,0,17.678657,10000
1,4,fpga,cifar10,94.37334,1.13296,0.9972560748,0.02037333333,0.545060823,0,17.8700223,10000
1,5,pixel3,cifar10,94.37334,0.00327686,0.9995789038,0.01788075555,10.78187385,0.02325581395,17.928597,10000
1,6,raspi4,cifar10,94.37334,0.0112835,0.9998202662,0.03885834193,10.99862418,0.1052631579,18.4693574,10000
1,7,edgegpu,cifar100,73.513336,0.5058527,0.9999400614,0.00025453,8.084411374,0.35,17.8682214,10000
1,8,edgetpu,cifar100,73.513336,0.35493976,0.9985088518,0.004380960389,0.6664870861,0.3611111111,17.4285629,10000
1,9,eyeriss,cifar100,73.513336,1.68256,0.9986433368,0.032768,0.990029599,0,17.6840661,10000
1,10,fpga,cifar100,73.513336,1.13296,0.9983370005,0.02352611111,0.982383649,0,17.8181578,10000
1,11,pixel3,cifar100,73.513336,0.00884682,0.9995397591,0.0393265634,8.457922186,0,17.6442348,10000
1,12,raspi4,cifar100,73.513336,0.0153652,0.9998908653,0.02257882791,8.502899397,0.1025641026,17.782291,10000
1,13,edgegpu,ImageNet16-120,47.31111,0.5339527,0.9996784645,0.00824253871,3.982684764,0.3870967742,17.7835987,10000
1,14,edgetpu,ImageNet16-120,47.31111,0.35810986,0.997641212,0.003271675581,0.9138345637,0.3023255814,17.2442117,10000
1,15,eyeriss,ImageNet16-120,47.31111,0.42304,1,0.00512,1.073903112,0,17.8584476,10000
1,16,fpga,ImageNet16-120,47.31111,0.28432,0.999943894,0.0002164705882,0.9486293758,0,17.759069,10000
1,17,pixel3,ImageNet16-120,47.31111,0.00528942,0.9998720935,0.002148278537,3.88649433,0,17.6833935,10000
1,18,raspi4,ImageNet16-120,47.31111,0.01151902,0.9974832978,0.02752919162,3.838907287,0.1111111111,17.7185134,10000
2,1,edgegpu,cifar10,94.37334,0.50138474,0.9999995436,0.000131876,10.82785147,0.4,17.8695235,10000
2,2,edgetpu,cifar10,94.37334,0.35254368,0.9992131384,0.001498848367,0.4618220299,0.3103448276,17.2353879,10000
2,3,eyeriss,cifar10,94.37334,1.67954,0.9990777149,0.01715705882,0.5518206989,0,17.5809222,10000
2,4,fpga,cifar10,94.37334,1.13296,0.9977892044,0.0168176,0.5537983254,0,17.9025299,10000
2,5,pixel3,cifar10,94.37334,0.00327686,0.9997358603,0.02253527869,10.78852618,0.02325581395,17.8862297,10000
2,6,raspi4,cifar10,94.37334,0.0112835,0.9998078561,0.02913019388,10.99833167,0.1052631579,17.815345,10000
2,7,edgegpu,cifar100,73.513336,0.5058527,0.9999344271,0.00061741,8.112481305,0.4,17.8618471,10000
2,8,edgetpu,cifar100,73.513336,0.35493976,0.9989340352,0.0032575,0.6672482265,0.3888888889,17.5135907,10000
2,9,eyeriss,cifar100,73.513336,1.68256,0.9993262164,0.016384,1.004435032,0,17.7885977,10000
2,10,fpga,cifar100,73.513336,1.13296,0.998059758,0.02451111111,0.925310611,0,17.8388563,10000
2,11,pixel3,cifar100,73.513336,0.0087526,0.999755061,0.02574377265,8.457277897,0.02857142857,17.8012693,10000
2,12,raspi4,cifar100,73.513336,0.01521528,0.9995957634,0.03639586882,8.485021043,0.07692307692,17.7286268,10000
2,13,edgegpu,ImageNet16-120,47.31111,0.5339527,0.9999583092,0.001245729032,3.966797767,0.3225806452,17.6560981,10000
2,14,edgetpu,ImageNet16-120,47.31111,0.35810986,0.9982221526,0.002164703953,0.9038665493,0.2558139535,17.4169127,10000
2,15,eyeriss,ImageNet16-120,47.31111,0.42304,0.9996061481,0.01394375,1.0735822,0,17.6730755,10000
2,16,fpga,ImageNet16-120,47.31111,0.28432,0.9997576141,0.004138,0.9498829024,0,17.8628351,10000
2,17,pixel3,ImageNet16-120,47.31111,0.00528942,0.9988583873,0.02010199509,3.85718932,0,17.7497094,10000
2,18,raspi4,ImageNet16-120,47.31111,0.0115138,0.998427098,0.0232105305,3.860660573,0.2222222222,17.769966,10000
3,1,edgegpu,cifar10,94.37334,0.50138474,1,7.600000001e-08,10.82785394,0.4,17.6171741,10000
3,2,edgetpu,cifar10,94.37334,0.35215905,0.9992499196,0.001402916207,0.4582716326,0.3448275862,17.290982,10000
3,3,eyeriss,cifar10,94.37334,1.67954,0.9992685325,0.008235294118,0.5425886666,0,17.781007,10000
3,4,fpga,cifar10,94.37334,1.13296,0.9984071623,0.0188176,0.5249650301,0,17.8102133,10000
3,5,pixel3,cifar10,94.37334,0.00327686,0.9995625133,0.01922354624,10.78279982,0.02325581395,17.8951312,10000
3,6,raspi4,cifar10,94.37334,0.01129678,0.9999215107,0.01817634867,10.99971658,0.05263157895,17.7256392,10000
3,7,edgegpu,cifar100,73.513336,0.5058527,0.999809397,0.003393545,8.170332063,0.4,17.975798,10000
3,8,edgetpu,cifar100,73.513336,0.35493976,0.9989419188,0.003216002778,0.6661540338,0.3888888889,17.4955256,10000
3,9,eyeriss,cifar100,73.513336,1.68256,1,0.016384,1.059561529,0,17.7176927,10000
3,10,fpga,cifar100,73.513336,1.13296,0.9974727685,0.0326,0.9550497214,0,17.836678,10000
3,11,pixel3,cifar100,73.513336,0.0087526,0.9996987883,0.02986607065,8.4583868,0.02857142857,17.8169803,10000
3,12,raspi4,cifar100,73.513336,0.01521528,0.9999451099,0.02328287829,8.492785789,0.07692307692,17.7833105,10000
3,13,edgegpu,ImageNet16-120,46.933334,0.5339527,0.9968796482,0.03942064516,3.986662948,0.4193548387,17.5517733,10000
3,14,edgetpu,ImageNet16-120,47.31111,0.35886532,0.9965046519,0.00466790352,0.9566193378,0.2790697674,17.3552039,10000
3,15,eyeriss,ImageNet16-120,47.31111,0.42304,0.9998424557,0.00882375,1.086728895,0,17.6341249,10000
3,16,fpga,ImageNet16-120,47.31111,0.28432,0.9999651834,0.001477647059,0.9577081504,0,17.8004514,10000
3,17,pixel3,ImageNet16-120,47.31111,0.00552623,0.9996514851,0.01030969334,3.864488562,0,17.926863,10000
3,18,raspi4,ImageNet16-120,47.31111,0.01151902,0.9980419028,0.02753068718,3.861867879,0.1481481481,17.8626195,10000
4,1,edgegpu,cifar10,94.37334,0.5385971,0.9998826916,0.001913328,10.81762141,0.36,17.6636359,10000
4,2,edgetpu,cifar10,94.37334,0.35215905,0.9992382561,0.00141158069,0.4612187778,0.3103448276,17.375866,10000
4,3,eyeriss,cifar10,94.37334,1.67954,0.9980706433,0.02484882353,0.5667340636,0,17.7433117,10000
4,4,fpga,cifar10,94.37334,1.13296,0.9988881391,0.01148426667,0.5527637197,0,17.8135136,10000
4,5,pixel3,cifar10,94.37334,0.00328479,0.9997712116,0.005885413721,10.78992871,0,17.8082004,10000
4,6,raspi4,cifar10,94.37334,0.0112835,0.9998743329,0.02621826744,10.99907324,0.07894736842,17.8154861,10000
4,7,edgegpu,cifar100,73.513336,0.5358076,0.9998464376,0.00939200535,8.077569201,0.3,17.8706286,10000
4,8,edgetpu,cifar100,73.513336,0.35493976,0.9987563534,0.00332358,0.6083942892,0.3055555556,17.8127774,10000
4,9,eyeriss,cifar100,73.513336,1.68256,0.9983884042,0.032768,0.9881445313,0,17.8376047,10000
4,10,fpga,cifar100,73.513336,1.13296,0.9972024815,0.03735555556,0.9594403436,0,17.8396421,10000
4,11,pixel3,cifar100,73.513336,0.0087526,0.9965234421,0.05450635025,8.402835992,0.02857142857,17.9012634,10000
4,12,raspi4,cifar100,73.513336,0.01521528,0.9996973852,0.03024392513,8.487234443,0.05128205128,17.7384006,10000
4,13,edgegpu,ImageNet16-120,47.31111,0.5339527,0.999270298,0.01080449355,3.971608076,0.3548387097,17.6810057,10000
4,14,edgetpu,ImageNet16-120,46.933334,0.35810986,0.9929515509,0.0157206757,0.9709568951,0.2558139535,17.2495721,10000
4,15,eyeriss,ImageNet16-120,47.31111,0.42304,1,0,1.035699492,0,17.5408864,10000
4,16,fpga,ImageNet16-120,47.31111,0.28432,0.9971028919,0.02042652941,0.94455583,0,17.6465812,10000
4,17,pixel3,ImageNet16-120,47.31111,0.00528942,0.9995451289,0.01145861864,3.880929537,0,17.7715277,10000
