context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,spacing_mean,spacing_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std,evaluations_mean,evaluations_std,hv_median,hv_iqr,igd_plus_median,igd_plus_iqr,spacing_median,spacing_iqr,runtime_median,runtime_iqr
1,edgegpu,cifar10,94.14700217,0.2064209293,1.954430763,0.8463247904,0.8873984814,0.1396120222,0.4717506936,0.3212707509,1.97714193,4.806902773,0.02533333333,0.02186829262,3.694784843,0.08285913815,10000,0,0.973203117,0.09946528862,0.298602632,0.3323191629,0.8375279068,1.022153277,3.66839685,0.0789402
2,edgetpu,cifar10,94.30789283,0.09804862299,0.67737932,0.1924533174,0.7055833938,0.1196310113,0.1982876519,0.08442843673,0.3506193887,0.5441034422,0.03218390805,0.02943965167,3.714855753,0.0884235668,10000,0,0.7189570079,0.1333905365,0.1827605565,0.09295684171,0.09576477823,0.0981859191,3.70777705,0.1212899
3,eyeriss,cifar10,93.8879438,0.3925122816,2.228404,0.6141815078,0.8928618707,0.06728989668,0.4172891077,0.2202385671,0.697464241,0.3410270812,0,0,3.623782627,0.08938214683,10000,0,0.9207683164,0.06072244662,0.3552513825,0.2370901947,0.7189996484,0.4604907407,3.5949473,0.089142
4,fpga,cifar10,93.837111,0.3179059155,2.24112,0.6729639562,0.8457500045,0.05382671624,0.5516440632,0.1639512592,0.6049492806,0.5264515557,0,0,3.68795464,0.1086904106,10000,0,0.8294995054,0.06228924335,0.5420899059,0.1674047343,0.4466614907,0.8119203241,3.67359945,0.1771444
5,pixel3,cifar10,93.21177683,1.124504878,0.9616393293,0.7656050197,0.9775792281,0.01963596532,0.6650640567,0.3719700221,6.81824248,8.620843051,0.0007751937984,0.004174546362,3.713181313,0.08815033197,10000,0,0.9862341234,0.02138094345,0.5200831737,0.2819339797,1.432446602,16.35901226,3.67654785,0.0784077
6,raspi4,cifar10,92.3676114,1.523872727,0.92216423,1.255354071,0.9779126578,0.0125740944,1.245887959,0.5932683557,12.57503223,7.268739078,0.004385964912,0.009807315691,3.666920477,0.0547499443,10000,0,0.981670519,0.02218371471,1.016878813,1.218480731,15.20457877,14.04212358,3.6548817,0.0645518
7,edgegpu,cifar100,72.32000093,1.077390255,3.08236991,0.7084124407,0.6963399007,0.1152356604,1.186822941,0.2892715758,0.5708352689,0.5735084883,0.045,0.03947573094,3.753115417,0.07278445194,10000,0,0.6631917696,0.008253190926,1.099219587,0.56265232,0.4345176033,0.6742225101,3.75287865,0.1154867
8,edgetpu,cifar100,73.513336,0,1.4541069,0,1.143252427e-07,0,0.781190625,0,0,0,0.02777777778,0,3.870063047,0.04105002849,10000,0,1.143252427e-07,0,0.781190625,0,0,0,3.8710378,0.0573838
9,eyeriss,cifar100,72.90577773,0.4701638425,3.52576,1.068891206,0.8040587314,0.1186712436,0.7916762534,0.4665033565,0.5568991737,0.358002148,0,0,3.678653123,0.0608561417,10000,0,0.8207303993,0.1606679611,0.7334010667,0.5642586617,0.5269934597,0.4762126997,3.66435395,0.1079871
10,fpga,cifar100,73.04088933,0.6486450266,3.992693333,0.9159766712,0.6393899402,0.1394197492,1.185186262,0.4807539178,0.3762606364,0.3588874052,0,0,3.736896057,0.1092620913,10000,0,0.6623725988,0.1777354408,1.092011668,0.53724468,0.3262288085,0.2790707193,3.68962805,0.1990359
11,pixel3,cifar100,71.64555533,1.815309455,1.710545342,1.218153598,0.9564583616,0.01782957673,1.103774182,0.4468169863,4.843697284,4.951126576,0,0,3.710194107,0.08443882113,10000,0,0.9584798441,0.02403099669,0.9618943331,0.2907194883,2.144158972,2.211068712,3.6786777,0.0853692
12,raspi4,cifar100,70.59011103,2.467078596,2.577877192,2.435260663,0.9537480862,0.02324559732,1.721088596,0.6974623021,7.678937589,4.834013762,0.01709401709,0.01378163718,3.68588045,0.05916007781,10000,0,0.9599945834,0.03229290312,1.518532931,0.9581332999,5.281844357,8.708147063,3.67105555,0.0542881
13,edgegpu,ImageNet16-120,46.83036993,0.3855510827,4.140290193,1.042446382,0.4902039851,0.1566986059,1.860794426,0.4995080614,0.62784879,0.9813115813,0,0,3.80480062,0.09871655076,10000,0,0.4167310606,0.2010622182,2.035251564,0.5177217603,0.1877706556,0.4153209631,3.8209469,0.1251054
14,edgetpu,ImageNet16-120,47.02370297,0.25072275,0.931221625,0.08616516663,0.1338638921,0.1545039345,0.4367698705,0.08109581915,0.007221064403,0.02347340732,0.01007751938,0.0115240843,3.822279797,0.05442327092,10000,0,0.0316134041,0.2654876963,0.486194619,0.1220518538,0,0,3.82429955,0.0912174
15,eyeriss,ImageNet16-120,47.04222157,0.2860597597,1.39584,0.1962770548,0.2746947607,0.1802233213,0.5727621666,0.1803465664,0.0499583759,0.07730443443,0,0,3.793985077,0.0977812038,10000,0,0.3849546986,0.3232768765,0.4583480833,0.3032140994,0,0.06731235912,3.8082694,0.156655
16,fpga,ImageNet16-120,47.10518447,0.2298991,1.696410667,0.274452211,0.2452977372,0.1948449369,0.8404072247,0.2278614911,0.1209397023,0.2030241395,0,0,3.857488433,0.06611846766,10000,0,0.3402879183,0.4021955472,0.739101508,0.4866248824,0,0.1963980148,3.86092675,0.1043373
17,pixel3,ImageNet16-120,46.7340738,0.5069222813,2.334656886,1.1848696,0.7053379898,0.1637147918,1.220624964,0.6145309566,0.9241757237,1.266299201,0,0,3.75318719,0.07820445944,10000,0,0.6391872417,0.2812852915,1.42036969,1.008181802,0.5334743129,0.6540063843,3.7324091,0.0817848
18,raspi4,ImageNet16-120,46.54037013,0.8480934361,2.304640426,1.453720155,0.8213730147,0.137336703,0.9426666679,0.4828494266,1.818712832,1.578609816,0.0006172839506,0.003324175807,3.710661647,0.08019418854,10000,0,0.8691483478,0.2497610467,0.7661717455,0.5626780102,1.444043766,1.608758448,3.6801209,0.1158025
