run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,spacing,c_metric,runtime_sec,evaluations
1,1,edgegpu,cifar10,93.98,1.9927979,0.8980633465,0.298602632,0.2574112381,0.04,3.9735701,10000
1,2,edgetpu,cifar10,94.37334,0.62932473,0.8167843116,0.1238959031,0.1569334661,0.06896551724,3.952786,10000
1,3,eyeriss,cifar10,92.49,3.1541,0.6880454505,1.196064353,0,0,4.0151147,10000
1,4,fpga,cifar10,94.13,2.90576,0.8229316567,0.5853422667,0.1666115835,0,3.815009,10000
1,5,pixel3,cifar10,92.86667,1.06101,0.9865197093,0.64810012,0.9630720967,0,3.7498719,10000
1,6,raspi4,cifar10,93.24,0.01176458,0.9841959694,0.9564143182,14.64390002,0,3.7584529,10000
1,7,edgegpu,cifar100,71.08,3.302102,0.6592466014,1.5252971,0,0,3.8353155,10000
1,8,edgetpu,cifar100,73.513336,1.4541069,1.143252427e-07,0.781190625,0,0.02777777778,3.8447435,10000
1,9,eyeriss,cifar100,73.26,3.8944,0.7923043897,0.7334010667,0.5313291529,0,3.6582601,10000
1,10,fpga,cifar100,73.513336,4.67856,0.5549418098,1.392177778,0.3359247365,0,3.638698,10000
1,11,pixel3,cifar100,70.52,0.00917951,0.9604364716,0.9635866358,11.9414942,0,3.8580557,10000
1,12,raspi4,cifar100,66.48,0.01524302,0.9319219211,2.385576904,16.96891042,0,3.6508574,10000
1,13,edgegpu,ImageNet16-120,47.31111,5.294285,0.2891155309,2.583643838,0.2394028925,0,3.8849697,10000
1,14,edgetpu,ImageNet16-120,46.933334,0.981196,0.0316134041,0.486194619,0,0,3.7995499,10000
1,15,eyeriss,ImageNet16-120,47.31111,1.34464,0.3066167906,0.51712,0.1584581864,0,3.977979,10000
1,16,fpga,ImageNet16-120,46.9,1.11632,0.6349999955,0.3865136557,0.2127045379,0,3.8874693,10000
1,17,pixel3,ImageNet16-120,47.033333,3.3147,0.5729413366,1.691452591,0.5675948193,0,3.7682794,10000
1,18,raspi4,ImageNet16-120,47.033333,1.5829158,0.9083812124,0.5615343713,1.423857658,0,3.7119611,10000
2,1,edgegpu,cifar10,94.37334,1.7644501,0.94066845,0.16129628,0.4560092293,0.04,3.7181377,10000
2,2,edgetpu,cifar10,94.13,0.7611004,0.6833496624,0.2168527448,0,0,3.7913904,10000
2,3,eyeriss,cifar10,94.37334,3.39986,0.8291230067,0.544848557,0.3927051303,0,3.5687442,10000
2,4,fpga,cifar10,94.13,2.90576,0.8229316567,0.5853422667,0.1568794503,0,3.6224649,10000
2,5,pixel3,cifar10,94.30666,1.05663,0.9951257256,0.3772740908,1.349974687,0,3.7212296,10000
2,6,raspi4,cifar10,89.88333,2.529453,0.9585359796,2.271282678,0.7642627395,0,3.6556787,10000
2,7,edgegpu,cifar100,73.513336,3.4588814,0.6347765115,1.084697252,0.3933246738,0.05,3.8025215,10000
2,8,edgetpu,cifar100,73.513336,1.4541069,1.143252427e-07,0.781190625,0,0.02777777778,3.915323,10000
2,9,eyeriss,cifar100,73.26,4.14016,0.7505485709,0.9183002383,0.3541047141,0,3.7863103,10000
2,10,fpga,cifar100,73.26,3.93616,0.6582916133,1.107542802,0.3495830788,0,3.8377339,10000
2,11,pixel3,cifar100,73.16,1.27509,0.9854135475,0.6959953798,2.734385801,0,3.6929501,10000
2,12,raspi4,cifar100,69.76,2.8653324,0.9625356419,1.475914915,2.287615608,0.02564102564,3.6725092,10000
2,13,edgegpu,ImageNet16-120,46.766666,4.667692,0.4167310606,2.035251564,0.09299877471,0,3.8355509,10000
2,14,edgetpu,ImageNet16-120,46.833332,0.8581303,0.2654880104,0.3709583155,0,0,3.8899138,10000
2,15,eyeriss,ImageNet16-120,47.033333,1.2832,0.3849546986,0.4583480833,0,0,3.9262254,10000
2,16,fpga,ImageNet16-120,47.31111,2.0384,7.641616645e-10,1.12496,0,0,3.9179706,10000
2,17,pixel3,ImageNet16-120,47.31111,3.25459,0.580048008,1.631114313,0.3616697008,0,3.7749656,10000
2,18,raspi4,ImageNet16-120,44.655556,0.01235528,0.9505330167,0.7148776,7.052615446,0,3.6762583,10000
3,1,edgegpu,cifar10,94.37334,1.4338923,0.9948280731,0.1894607853,1.18020812,0.04,3.7128695,10000
3,2,edgetpu,cifar10,94.363335,0.72389483,0.7132561079,0.1953661918,0.1191497429,0,3.756375,10000
3,3,eyeriss,cifar10,94.13,3.1541,0.8490318971,0.4711090588,0.3805897817,0,3.5782663,10000
