context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,spacing_mean,spacing_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std,evaluations_mean,evaluations_std,hv_median,hv_iqr,igd_plus_median,igd_plus_iqr,spacing_median,spacing_iqr,runtime_median,runtime_iqr
1,edgegpu,cifar10,94.37334,0,0.51999092,0.01860618,0.9992088897,0.0006295174174,0.01635656408,0.0118747197,15.93757974,0.7762732947,0.284,0.04772141378,0.5733470633,0.02603101885,16712.66667,72.61190597,0.9993782877,0.001275773873,0.01314616581,0.02150065805,15.87346734,1.356656182,0.57354115,0.0384301
2,edgetpu,cifar10,94.37334,0,0.34654593,0,0.9918137678,0.00472756248,0.01328985383,0.009652293353,0.581962315,0.03195271369,0.2206896552,0.04925123054,0.58658355,0.03923245532,16190.9,74.3735392,0.9929125101,0.008178789068,0.008625860212,0.01703872097,0.5737795413,0.03974267271,0.58725025,0.0560216
3,eyeriss,cifar10,94.37334,0,1.67954,0,0.998921532,0.0008371496338,0.01148666667,0.007978922886,0.7423719539,0.008329501414,0,0,0.5155086033,0.02167455757,16123.76667,83.97645834,0.9989505032,0.0008268762627,0.01068647059,0.01107847059,0.7386693295,0.01632469648,0.5130971,0.0283799
4,fpga,cifar10,94.37334,0,1.13296,0,0.9966470365,0.002224789588,0.02301302889,0.01114883585,0.7536089911,0.0410805387,0,0,0.5034150467,0.02621672468,16232.86667,87.50304122,0.9968922825,0.002788440736,0.0221512,0.0139996,0.7751643331,0.05762502149,0.49891085,0.045234
5,pixel3,cifar10,94.37334,0,0.003285913,3.078547841e-05,0.9996140204,0.0001448617179,0.02650148698,0.01092309573,11.78835359,0.4133849493,0.01937984496,0.008666930145,0.7591568467,0.03348061652,16017.03333,100.805583,0.9996236554,0.000149692792,0.02272554138,0.01307202043,11.8804213,0.5536508832,0.75964065,0.0433857
6,raspi4,cifar10,94.37334,0,0.01129016133,1.586013445e-05,0.9994088351,0.0001905287221,0.06442154259,0.01919814733,12.67630136,0.4226341113,0.08859649123,0.02302527149,0.68072271,0.03279287845,15986.83333,87.82220043,0.9994312131,0.0001853646818,0.06142954009,0.02399123259,12.66234295,0.3441840157,0.67767085,0.0466406
7,edgegpu,cifar100,73.513336,0,0.5059742933,0.0006548001394,0.9992175761,0.0006692965951,0.01421896386,0.01102534263,13.01022988,0.4403109866,0.2983333333,0.03760171391,0.5660211667,0.02480336739,16709.5,85.81909267,0.9996021577,0.001323524555,0.0091110542,0.020587865,12.99684916,0.6550095979,0.5626154,0.0377441
8,edgetpu,cifar100,73.513336,0,0.35500042,0.00012132,0.9968852071,0.002766438062,0.004403052402,0.003293505832,0.7692995067,0.07341558632,0.3592592593,0.04475202212,0.59558856,0.02909192186,15784.33333,101.083244,0.9984350435,0.003873309309,0.003538392222,0.004168368611,0.7664945784,0.1156061577,0.58947345,0.0359367
9,eyeriss,cifar100,73.513336,0,1.68256,0,0.9989371325,0.00167834223,0.01668247272,0.01464202645,1.484474054,0.03437931958,0,0,0.4999504,0.01408739485,16097.26667,87.74088113,0.9993262164,0.0009287162222,0.016384,0.02482866667,1.472137445,0.01626388555,0.4985512,0.0135718
10,fpga,cifar100,73.513336,0,1.13296,0,0.9971933989,0.002205703661,0.03340950926,0.01752130046,1.459655035,0.05302550488,0,0,0.51617799,0.01976449321,16212.6,99.03925148,0.9977650296,0.002529509098,0.02939277778,0.02623722222,1.46521725,0.04892141074,0.5221756,0.0226196
