run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,spacing,c_metric,runtime_sec,evaluations
1,1,edgegpu,cifar10,94.37334,0.50138474,0.9999951401,0.001249188,15.88271993,0.36,0.5836191,16319
1,2,edgetpu,cifar10,94.37334,0.35215905,0.9975949826,0.005425754106,0.5768683726,0.2413793103,0.7474779,16410
1,3,eyeriss,cifar10,94.37334,1.67954,0.9993003355,0.004705882353,0.7371713376,0,0.4651099,16364
1,4,fpga,cifar10,94.37334,1.13296,0.9984609106,0.01859573333,0.7547189465,0,0.4518179,16348
1,5,pixel3,cifar10,94.37334,0.00327686,0.9993732925,0.03758950963,12.49513236,0.02325581395,0.744989,15981
1,6,raspi4,cifar10,94.37334,0.0112835,0.9995144653,0.04327158688,12.82871745,0.07894736842,0.7390508,16157
1,7,edgegpu,cifar100,73.513336,0.5058527,0.9999264396,0.001268995,12.29980453,0.35,0.6585884,16347
1,8,edgetpu,cifar100,73.513336,0.35493976,0.9979729395,0.005689648705,0.7703805248,0.3611111111,0.6919336,16027
1,9,eyeriss,cifar100,73.513336,1.68256,0.9985522953,0.032768,1.435533787,0,0.5206391,16561
1,10,fpga,cifar100,73.513336,1.13296,0.9963169524,0.03914111111,1.44277371,0,0.5473529,16327
1,11,pixel3,cifar100,73.513336,0.0087526,0.9965535042,0.07168841142,10.36273635,0.02857142857,0.68835,16067
1,12,raspi4,cifar100,73.513336,0.01521528,0.9982131187,0.08595806219,8.81284745,0.1282051282,0.7541675,16067
1,13,edgegpu,ImageNet16-120,47.31111,0.5339527,0.9996547388,0.004292696774,5.128413408,0.3225806452,0.6197689,16394
1,14,edgetpu,ImageNet16-120,46.933334,0.35810986,0.9912001049,0.01592163849,1.05261462,0.2325581395,0.6618536,16081
1,15,eyeriss,ImageNet16-120,47.31111,0.42304,0.9975974716,0.00882375,1.562312168,0,0.5000101,16571
1,16,fpga,ImageNet16-120,47.31111,0.28432,0.9991009692,0.008119176471,1.397953308,0,0.4952325,16226
1,17,pixel3,ImageNet16-120,47.31111,0.00528942,0.9985117866,0.02542956564,4.295327475,0,0.7490357,16016
1,18,raspi4,ImageNet16-120,47.31111,0.0115138,0.9972196762,0.03278511425,3.902051881,0.3148148148,0.8597491,16178
2,1,edgegpu,cifar10,94.37334,0.50138474,0.9997527116,0.009008615433,15.88412663,0.32,0.5945622,16392
2,2,edgetpu,cifar10,94.37334,0.35215905,0.9975793959,0.004905861457,0.5630216729,0.1724137931,0.6712591,16385
2,3,eyeriss,cifar10,94.37334,1.67954,0.9986854957,0.010392,0.7344421423,0,0.5125394,16490
2,4,fpga,cifar10,94.37334,1.13296,0.99739763,0.0188176,0.7734946356,0,0.4769466,16265
2,5,pixel3,cifar10,94.37334,0.00327686,0.9995422418,0.02184268045,12.02399584,0.02325581395,0.7970031,16197
2,6,raspi4,cifar10,94.37334,0.0112835,0.9997551708,0.03887181306,12.82842069,0.1315789474,0.7712746,16170
2,7,edgegpu,cifar100,73.513336,0.5058527,0.9998004035,0.004918435,12.59690492,0.3,0.5952654,16294
