run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,94.37334,0.50138474,0.9999994542,1.480854271e-05,0,2.1493406
1,2,edgegpu,cifar100,73.513336,0.5058527,0.9999401215,8.295326087e-05,0,2.831062
1,3,edgegpu,ImageNet16-120,47.31111,0.5339527,0.9994602899,0.005717422632,0,2.1783282
2,1,edgegpu,cifar10,94.37334,0.50138474,0.9999994542,1.480854271e-05,0,1.9890844
2,2,edgegpu,cifar100,73.513336,0.5058527,0.999809457,0.003164134239,0,3.0406047
2,3,edgegpu,ImageNet16-120,47.31111,0.5339527,0.9999395126,0.0001794436842,0,2.0367417
3,1,edgegpu,cifar10,94.37334,0.50138474,0.9999994542,1.480854271e-05,0,2.1117091
3,2,edgegpu,cifar100,73.513336,0.5058527,0.9999401215,8.295326087e-05,0,2.7752576
3,3,edgegpu,ImageNet16-120,47.31111,0.5339527,0.9990760023,0.008983700526,0,2.1461673
4,1,edgegpu,cifar10,94.37334,0.50138474,0.9999349618,0.005887335176,0,2.1564723
4,2,edgegpu,cifar100,73.513336,0.5058527,0.999907302,0.001585923913,0,2.8007788
4,3,edgegpu,ImageNet16-120,47.31111,0.5339527,0.9988746446,0.01742024579,0,2.144509
5,1,edgegpu,cifar10,94.37334,0.50138474,0.9999272534,0.005886567839,0,1.723248
5,2,edgegpu,cifar100,73.513336,0.5058527,0.9998755029,0.000384086413,0,2.767338
5,3,edgegpu,ImageNet16-120,47.31111,0.5339527,0.9992357879,0.008813827895,0,2.3313662
6,1,edgegpu,cifar10,94.37334,0.50138474,0.9998809471,0.0004810326633,0,2.0397872
6,2,edgegpu,cifar100,73.513336,0.5058527,0.9999407234,8.295326087e-05,0,2.6573601
6,3,edgegpu,ImageNet16-120,47.31111,0.5339527,0.99933424,0.009004284737,0,3.3960102
7,1,edgegpu,cifar10,94.37334,0.50138474,0.9999994542,1.480854271e-05,0,2.3015986
7,2,edgegpu,cifar100,73.513336,0.5058527,1,0,0,3.226706
7,3,edgegpu,ImageNet16-120,47.31111,0.5339527,0.9999146437,0.0004875278947,0,2.6014049
8,1,edgegpu,cifar10,94.37334,0.50138474,0.9999994542,1.480854271e-05,0,1.9301235
8,2,edgegpu,cifar100,73.513336,0.5058527,0.9999412547,0.0001943641304,0,3.0423607
8,3,edgegpu,ImageNet16-120,47.31111,0.5339527,0.9988393014,0.016004315,0,2.1871167
9,1,edgegpu,cifar10,94.37334,0.50138474,0.9999994542,1.480854271e-05,0,2.1837093
9,2,edgegpu,cifar100,73.513336,0.5058527,0.9998755029,0.000384086413,0,2.5326469
9,3,edgegpu,ImageNet16-120,47.31111,0.5339527,0.9996804179,0.005113833158,0,2.029547
10,1,edgegpu,cifar10,94.37334,0.50138474,0.9999994542,1.480854271e-05,0,1.9597512
10,2,edgegpu,cifar100,73.513336,0.5058527,0.9998737854,0.0004155728261,0,2.6941445
10,3,edgegpu,ImageNet16-120,47.31111,0.5339527,0.9991355839,0.01355074237,0,2.0697237
