run_id,context_id,archid,device,dataset,accuracy,latency,runtime_sec,evaluations
1,1,13714,edgegpu,cifar10,94.373340,6.772180,2.206771,4750
1,1,1339,edgegpu,cifar10,92.136665,1.751881,2.206771,4750
1,1,2053,edgegpu,cifar10,94.206665,5.482254,2.206771,4750
1,1,11810,edgegpu,cifar10,92.780000,1.992798,2.206771,4750
1,1,1459,edgegpu,cifar10,94.296670,6.748991,2.206771,4750
1,1,10484,edgegpu,cifar10,93.810000,3.354015,2.206771,4750
1,1,5292,edgegpu,cifar10,94.293335,6.663151,2.206771,4750
1,1,6330,edgegpu,cifar10,94.006670,4.384699,2.206771,4750
1,1,13401,edgegpu,cifar10,87.010000,1.457009,2.206771,4750
1,1,11692,edgegpu,cifar10,94.130000,4.708362,2.206771,4750
1,1,5400,edgegpu,cifar10,86.630000,1.427460,2.206771,4750
1,1,11438,edgegpu,cifar10,92.500000,1.846719,2.206771,4750
1,1,561,edgegpu,cifar10,86.880000,1.451068,2.206771,4750
1,1,5780,edgegpu,cifar10,93.980000,3.361888,2.206771,4750
1,1,6960,edgegpu,cifar10,92.280000,1.764450,2.206771,4750
1,1,2776,edgegpu,cifar10,93.666664,3.331194,2.206771,4750
1,1,15200,edgegpu,cifar10,10.000000,0.501385,2.206771,4750
1,1,14527,edgegpu,cifar10,86.765000,1.439619,2.206771,4750
1,1,258,edgegpu,cifar10,93.640000,3.307109,2.206771,4750
1,1,6950,edgegpu,cifar10,92.000000,1.738467,2.206771,4750
1,2,4418,edgegpu,cifar100,72.746666,5.352364,2.811604,4750
1,2,12415,edgegpu,cifar100,71.940000,4.828467,2.811604,4750
1,2,9930,edgegpu,cifar100,73.513336,6.803060,2.811604,4750
1,2,4954,edgegpu,cifar100,73.000000,6.669736,2.811604,4750
1,2,2778,edgegpu,cifar100,72.993330,6.134028,2.811604,4750
1,2,1425,edgegpu,cifar100,72.093330,5.310225,2.811604,4750
1,2,9997,edgegpu,cifar100,71.520000,3.466139,2.811604,4750
1,2,1509,edgegpu,cifar100,1.000000,0.505853,2.811604,4750
1,2,8401,edgegpu,cifar100,71.080000,3.302102,2.811604,4750
1,2,8912,edgegpu,cifar100,59.200000,1.441355,2.811604,4750
1,2,11885,edgegpu,cifar100,68.040000,1.776652,2.811604,4750
1,2,11067,edgegpu,cifar100,58.186670,1.427836,2.811604,4750
1,2,2304,edgegpu,cifar100,58.660000,1.440253,2.811604,4750
1,2,14677,edgegpu,cifar100,62.420000,1.746187,2.811604,4750
1,2,11810,edgegpu,cifar100,68.300000,1.779551,2.811604,4750
1,2,3888,edgegpu,cifar100,73.260000,6.797867,2.811604,4750
1,2,6124,edgegpu,cifar100,68.360000,3.185835,2.811604,4750
1,2,1038,edgegpu,cifar100,67.500000,1.758428,2.811604,4750
1,2,9922,edgegpu,cifar100,58.560000,1.428552,2.811604,4750
1,3,9586,edgegpu,ImageNet16-120,46.933334,5.222673,2.152510,4750
1,3,15376,edgegpu,ImageNet16-120,0.833333,0.533953,2.152510,4750
1,3,12415,edgegpu,ImageNet16-120,46.566666,4.667692,2.152510,4750
1,3,15288,edgegpu,ImageNet16-120,28.422222,1.417041,2.152510,4750
1,3,5751,edgegpu,ImageNet16-120,40.044445,2.434626,2.152510,4750
1,3,8884,edgegpu,ImageNet16-120,45.033333,3.499999,2.152510,4750
1,3,8401,edgegpu,ImageNet16-120,43.833332,3.322444,2.152510,4750
1,3,4988,edgegpu,ImageNet16-120,28.933332,1.448212,2.152510,4750
1,3,6950,edgegpu,ImageNet16-120,38.700000,1.740150,2.152510,4750
1,3,8426,edgegpu,ImageNet16-120,44.633335,3.370147,2.152510,4750
1,3,13760,edgegpu,ImageNet16-120,32.333332,1.739759,2.152510,4750
1,3,15159,edgegpu,ImageNet16-120,45.566666,4.632421,2.152510,4750
1,3,2650,edgegpu,ImageNet16-120,42.433334,3.309817,2.152510,4750
1,3,10947,edgegpu,ImageNet16-120,39.944443,1.909800,2.152510,4750
1,3,14840,edgegpu,ImageNet16-120,45.311110,4.224715,2.152510,4750
1,3,13411,edgegpu,ImageNet16-120,31.855556,1.736240,2.152510,4750
1,3,454,edgegpu,ImageNet16-120,41.277780,3.303313,2.152510,4750
1,3,857,edgegpu,ImageNet16-120,47.311110,6.707663,2.152510,4750
1,3,15383,edgegpu,ImageNet16-120,47.033333,6.262836,2.152510,4750
1,3,4160,edgegpu,ImageNet16-120,39.833332,1.756272,2.152510,4750
2,1,1339,edgegpu,cifar10,92.136665,1.751881,1.940823,4750
2,1,5292,edgegpu,cifar10,94.293335,6.663151,1.940823,4750
2,1,15200,edgegpu,cifar10,10.000000,0.501385,1.940823,4750
2,1,10484,edgegpu,cifar10,93.810000,3.354015,1.940823,4750
2,1,13714,edgegpu,cifar10,94.373340,6.772180,1.940823,4750
2,1,2053,edgegpu,cifar10,94.206665,5.482254,1.940823,4750
2,1,1459,edgegpu,cifar10,94.296670,6.748991,1.940823,4750
2,1,6330,edgegpu,cifar10,94.006670,4.384699,1.940823,4750
2,1,11692,edgegpu,cifar10,94.130000,4.708362,1.940823,4750
2,1,5780,edgegpu,cifar10,93.980000,3.361888,1.940823,4750
