method,context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std
abc,1,edgegpu,cifar10,93.98,0,1.76652815,0.004156695685,0.09655720899,0.05189263435,0.01987991895,0.01171112519,0,0,0.35876956,0.007674286082
abc_firefly,1,edgegpu,cifar10,94.37334,0,0.50138474,0,0.8412388238,3.45874229e-05,0.001235859548,0.002329631637,0,0,2.01971664,0.1536415415
apso_e,1,edgegpu,cifar10,94.333672,0.08184864627,0.620272155,0.2694704888,0.8421109811,0.0004718540861,0.007819678735,0.005144075554,0,0,1.35355334,0.0807660783
firefly,1,edgegpu,cifar10,94.37334,0,4.89479209,0.2661644779,0.5750322981,0.08354186086,0.01692386958,0.01601139922,0,0,0.76365586,0.02549834925
hybrid_mbo,1,edgegpu,cifar10,94.352006,0.064002,5.12406206,0.6738829078,0.349881432,0.1023102892,0.08428171601,0.05593932294,0,0,0.75172291,0.01792018836
mosho,1,edgegpu,cifar10,94.37334,0,0.523712156,0.01823025882,0.8415952449,0.0003880532581,0.01202869471,0.008892678432,0,0,0.28610015,0.02299787474
mowso,1,edgegpu,cifar10,93.701167,0.3100743142,0.781262878,0.4834795234,0.8341401698,0.0385431799,0.485775081,0.2466074974,0,0,0.34843239,0.08620250987
nsga2,1,edgegpu,cifar10,94.37334,0,0.531154628,0.014884944,0.8407184905,0.0005141254213,0.01291728598,0.01136428865,0,0,6.09287757,0.06960921002
pso,1,edgegpu,cifar10,93.963,0.051,2.65176348,0.8805809361,0.1909651044,0.2851656628,0.06041728371,0.0376379938,0,0,1.26331125,0.02361335821
random,1,edgegpu,cifar10,94.3586705,0.02372266179,0.524982451,0.01930906886,0.8453892235,0.0009988426952,0.06191018095,0.01998592299,0,0,25.36959803,0.2089099676
skyline,1,edgegpu,cifar10,94.37334,0,0.50138474,0,0.8412624253,0,0,0,0,0,0.17192434,0.01299070446
abc,2,edgegpu,cifar100,72.8719986,0.169987816,1.78008984,0.006370631453,0.5784670356,0.009915580169,0.01977866582,0.02029737192,0,0,0.3750889,0.01393049923
abc_firefly,2,edgegpu,cifar100,73.513336,0,0.5058527,0,0.8149449293,4.127061076e-05,0.0006377027717,0.0009479672228,0,0,2.80577692,0.1251867881
apso_e,2,edgegpu,cifar100,73.513336,0,0.630882256,0.2672111776,0.8145778599,0.0001232878658,0.007220782186,0.005681729973,0,0,1.35846969,0.08977246246
firefly,2,edgegpu,cifar100,73.513336,0,5.41591312,0.2433063905,0.6066533981,0.09545980866,0.008454017665,0.02256063499,0,0,0.75659608,0.006495580922
hybrid_mbo,2,edgegpu,cifar100,73.513336,0,5.58350186,0.3639206931,0.4893477111,0.1417461592,0.01004859193,0.008228855263,0,0,0.75864869,0.0242543855
mosho,2,edgegpu,cifar100,73.513336,0,0.50957775,0.008860863099,0.8141406008,0.0006160341751,0.01708777492,0.01013037197,0,0,0.29570055,0.02560078432
mowso,2,edgegpu,cifar100,71.184,1.094772697,0.656258585,0.3601281888,0.8016105905,0.01245490221,0.6292243251,0.1895753401,0,0,0.31497877,0.08384399527
nsga2,2,edgegpu,cifar100,73.513336,0,0.51220846,0.01184880442,0.8145420138,0.0004209335632,0.009846552194,0.01013053388,0,0,6.10824898,0.06556412505
pso,2,edgegpu,cifar100,71.4819996,0.5423568254,3.32068294,0.02838691566,0.2477714422,0.1071997926,0.102551658,0.04608139662,0,0,1.25868582,0.02568009839
random,2,edgegpu,cifar100,73.258666,0.1418877929,0.525827883,0.01508399753,0.8135117303,0.00118361969,0.1079878739,0.03133745383,0,0,25.52428136,0.2674371588
skyline,2,edgegpu,cifar100,73.513336,0,0.5058527,0,0.8150179736,0,0,0,0,0,0.13902827,0.00519109814
abc,3,edgegpu,ImageNet16-120,46.8933338,0.1364630907,2.42484477,0.7702602901,0.5486706133,0.03817550517,0.07119364832,0.06083393222,0,0,0.36628471,0.005073773188
abc_firefly,3,edgegpu,ImageNet16-120,47.31111,0,0.5339527,0,0.7820151499,0.0002937122254,0.008527534368,0.005609054574,0,0,2.11281321,0.1645611643
apso_e,3,edgegpu,ImageNet16-120,47.2355548,0.1511104,0.627910136,0.2653109924,0.7807942377,0.001560773016,0.0276124451,0.03418730561,0,0,1.47745979,0.1481819248
firefly,3,edgegpu,ImageNet16-120,47.2733324,0.1133328,4.5509227,0.3503079,0.4865609675,0.02467720944,0.06731965652,0.0655471589,0,0,0.75641392,0.004867008706
hybrid_mbo,3,edgegpu,ImageNet16-120,47.0822212,0.2306298219,4.66786606,0.00052218,0.7334244972,0.04359505368,0.1579441917,0.1269932147,0,0,0.75072752,0.01778169208
mosho,3,edgegpu,ImageNet16-120,47.2355545,0.1575898294,0.533997049,6.77442165e-05,0.7804890999,0.001237018837,0.03566546386,0.024161001,0,0,0.28423627,0.01934285838
mowso,3,edgegpu,ImageNet16-120,44.54,0.9224926707,0.551015374,0.02443495022,0.7705001759,0.01861289512,0.7055507087,0.2963855713,0,0,0.312186,0.06254389289
nsga2,3,edgegpu,ImageNet16-120,46.9888888,0.1657005897,0.534986009,0.002030131509,0.7797248939,0.001119310346,0.0452563726,0.02126809243,0,0,6.08688236,0.07573420676
pso,3,edgegpu,ImageNet16-120,46.1866666,0.8650238394,4.12561981,0.6729260724,0.385853688,0.1109090543,0.7544053029,0.3776647076,0,0,1.29040597,0.03525996523
random,3,edgegpu,ImageNet16-120,47.0566663,0.1830093807,0.538352967,0.002899588911,0.7748583737,0.003098116841,0.106842338,0.04356643584,0,0,25.50290708,0.255081809
skyline,3,edgegpu,ImageNet16-120,47.31111,0,0.5339527,0,0.7825701559,0,0,0,0,0,0.14655117,0.01107866005
