run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,94.37334,5.292902,0.4874924853,0.04128808877,0,0.8164329
1,2,edgegpu,cifar100,73.513336,5.3523636,0.6386717119,0.000741977665,0,0.7713119
1,3,edgegpu,ImageNet16-120,47.31111,4.667692,0.5087272119,0.01803436196,0,0.7648797
2,1,edgegpu,cifar10,94.37334,4.7083616,0.6548946699,0.004087619048,0,0.8119274001
2,2,edgegpu,cifar100,73.513336,5.3523636,0.6384277025,0.001317561421,0,0.7506945
2,3,edgegpu,ImageNet16-120,47.31111,4.667692,0.4834002715,0.06255002641,0,0.7486035
3,1,edgegpu,cifar10,94.37334,4.758897,0.5265336053,0.01934935027,0,0.7532394
3,2,edgegpu,cifar100,73.513336,5.3523636,0.6386717119,0.000741977665,0,0.7582637001
3,3,edgegpu,ImageNet16-120,47.31111,4.667692,0.5087272119,0.01803436196,0,0.7539608
4,1,edgegpu,cifar10,94.37334,4.7083616,0.6548946699,0.004087619048,0,0.7530103
4,2,edgegpu,cifar100,73.513336,5.3523636,0.6382862471,0.001216428426,0,0.7623871
4,3,edgegpu,ImageNet16-120,47.31111,4.667692,0.5087272119,0.01803436196,0,0.7559034999
5,1,edgegpu,cifar10,94.37334,4.7083616,0.6548946699,0.004087619048,0,0.7576172999
5,2,edgegpu,cifar100,73.513336,5.3523636,0.6382862471,0.001216428426,0,0.7487453
5,3,edgegpu,ImageNet16-120,47.31111,4.667692,0.4834002715,0.06255002641,0,0.7567817
6,1,edgegpu,cifar10,94.37334,4.7083616,0.6612937349,0,0,0.7441751
6,2,edgegpu,cifar100,73.513336,5.3523636,0.6386717119,0.000741977665,0,0.7529334
6,3,edgegpu,ImageNet16-120,47.31111,4.667692,0.4729899008,0.1054950264,0,0.7510455999
7,1,edgegpu,cifar10,94.37334,4.7458744,0.4681276455,0.02045658815,0,0.7478895
7,2,edgegpu,cifar100,73.513336,5.206194,0.6382862471,0.0004744507614,0,0.7605947
7,3,edgegpu,ImageNet16-120,46.933334,3.499999,0.4241098406,0.2453639853,0,0.7530526
8,1,edgegpu,cifar10,94.37334,4.7083616,0.6612937349,0,0,0.7510899
8,2,edgegpu,cifar100,73.513336,6.1340284,0.3202744427,0.07613096853,0,0.7517979
8,3,edgegpu,ImageNet16-120,47.31111,4.667692,0.4834002715,0.06255002641,0,0.7634104
9,1,edgegpu,cifar10,94.37334,5.3155375,0.4870062157,0.03868134178,0,0.7501964001
9,2,edgegpu,cifar100,73.513336,5.3523636,0.6382862471,0.001216428426,0,0.7570984
9,3,edgegpu,ImageNet16-120,47.31111,4.667692,0.5087272119,0.01803436196,0,0.7592448
10,1,edgegpu,cifar10,94.37334,5.292902,0.4938915503,0.03720046973,0,0.7509804
10,2,edgegpu,cifar100,73.513336,5.3523636,0.6386717119,0.000741977665,0,0.7521339
10,3,edgegpu,ImageNet16-120,47.31111,4.667692,0.4834002715,0.06255002641,0,0.7572566
