run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,94.37334,5.482254,0.4558337367,0.07173446707,0,0.7277160001
1,2,edgegpu,cifar100,73.513336,6.1340284,0.5011685265,0.02058118579,0,0.7368816
1,3,edgegpu,ImageNet16-120,46.933334,4.6694326,0.7596685969,0.3123938091,0,0.741083
2,1,edgegpu,cifar10,94.37334,5.482254,0.4548194409,0.0728452982,0,0.7304665
2,2,edgegpu,cifar100,73.513336,5.387192,0.8619632795,0.007993109748,0,0.7326384999
2,3,edgegpu,ImageNet16-120,47.31111,4.667692,0.9485646972,0.03133295745,0,0.7363634
3,1,edgegpu,cifar10,94.37334,5.482254,0.4548194409,0.0728452982,0,0.7254157
3,2,edgegpu,cifar100,73.513336,5.387192,0.8615654987,0.008365546297,0,0.7346428999
3,3,edgegpu,ImageNet16-120,46.833332,4.667692,0.9249060396,0.2775958302,0,0.7290642001
4,1,edgegpu,cifar10,94.37334,3.361888,0.9464323307,0.0398485018,0,0.7196277
4,2,edgegpu,cifar100,73.513336,6.1340284,0.5007707457,0.02095362234,0,0.7302256
4,3,edgegpu,ImageNet16-120,47.31111,4.667692,0.9485646972,0.03133295745,0,0.7236275
5,1,edgegpu,cifar10,94.37334,5.482254,0.4558337367,0.07173446707,0,0.7317178
5,2,edgegpu,cifar100,73.513336,6.1340284,0.5011685265,0.02058118579,0,0.7261992
5,3,edgegpu,ImageNet16-120,47.31111,4.667692,0.9485646972,0.03133295745,0,0.7268283999
6,1,edgegpu,cifar10,94.37334,5.3155375,0.5022859819,0.05987790617,0,0.7311387999
6,2,edgegpu,cifar100,73.513336,5.206194,0.5011685269,0.0158713665,0,0.7238005999
6,3,edgegpu,ImageNet16-120,46.833332,4.667692,0.9249060396,0.2775958302,0,0.7268752001
7,1,edgegpu,cifar10,94.16,4.3541336,0.3986469314,0.2494735502,0,0.7253574
7,2,edgegpu,cifar100,73.513336,5.3523636,0.9996022191,0.001114414213,0,0.7310935
7,3,edgegpu,ImageNet16-120,46.833332,4.667692,0.9249060396,0.2775958302,0,0.7235611
8,1,edgegpu,cifar10,94.37334,5.482254,0.4558337367,0.07173446707,0,0.7325641999
8,2,edgegpu,cifar100,73.513336,5.3523636,0.9999999999,0.000741977665,0,0.7237995
8,3,edgegpu,ImageNet16-120,47.31111,4.667692,0.9492873387,0.03133295745,0,0.7244912999
9,1,edgegpu,cifar10,94.37334,5.482254,0.4558337367,0.07173446707,0,0.7306534
9,2,edgegpu,cifar100,73.513336,5.3523636,0.9999999999,0.000741977665,0,0.73119
9,3,edgegpu,ImageNet16-120,47.31111,4.667692,0.9485646972,0.03133295745,0,0.7222014
10,1,edgegpu,cifar10,94.37334,5.3155375,0.5012716861,0.06098873731,0,0.7218874
10,2,edgegpu,cifar100,73.513336,5.3952646,0.9391797806,0.003541533326,0,0.7268498
10,3,edgegpu,ImageNet16-120,46.833332,4.667692,0.9249060396,0.2775958302,0,0.7286622
