run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,c_metric,runtime_sec
1,1,edgegpu,cifar10,94.37334,0.50138474,0.8575858502,0.2954828893,0,0.2680896
1,2,edgegpu,cifar100,72.64667,0.5358076,0.8208744879,0.3085586211,0,0.2586078
1,3,edgegpu,ImageNet16-120,45.822224,0.62250614,0.77630195,0.6795519281,0,0.1838447
2,1,edgegpu,cifar10,93.485,0.54217815,0.8481499641,0.5570867466,0,0.3623174999
2,2,edgegpu,cifar100,70.54,0.54748535,0.8066257771,0.536731931,0,0.2849509
2,3,edgegpu,ImageNet16-120,45.333332,0.5468607,0.7848561246,0.4583652331,0,0.4024808001
3,1,edgegpu,cifar10,93.59,0.5385971,0.8470228854,0.6012940582,0,0.3714636001
3,2,edgegpu,cifar100,70.94,0.5396509,0.7913800156,0.8107250788,0,0.3234661
3,3,edgegpu,ImageNet16-120,45.233334,0.5411577,0.7710387561,0.6035620778,0,0.4087626
4,1,edgegpu,cifar10,93.97,1.7388296,0.8247085246,0.2556963535,0,0.5174794
4,2,edgegpu,cifar100,70.48,0.5395651,0.798316298,0.8812493613,0,0.331903
4,3,edgegpu,ImageNet16-120,43.633335,0.5339527,0.7371588205,1.480468923,0,0.3280927
5,1,edgegpu,cifar10,93.51,0.5417824,0.8553838094,0.4256896285,0,0.2631121
5,2,edgegpu,cifar100,73.14,0.5395651,0.7978779398,0.5951071825,0,0.2949416999
5,3,edgegpu,ImageNet16-120,43.833332,0.5468607,0.7833418426,0.5082412806,0,0.3076407
6,1,edgegpu,cifar10,93.49,0.5396843,0.8490654431,0.6866744537,0,0.3724986999
6,2,edgegpu,cifar100,71.94,0.5393505,0.8144763725,0.3551215799,0,0.3716848999
6,3,edgegpu,ImageNet16-120,43.68889,0.5339527,0.7963890044,0.3381038468,0,0.3366387001
7,1,edgegpu,cifar10,93.50667,0.5385971,0.8595308405,0.2196465966,0,0.3306243999
7,2,edgegpu,cifar100,70.48,0.5395651,0.8084074705,0.6193574254,0,0.3746442
7,3,edgegpu,ImageNet16-120,43.366665,0.5509949,0.7733300967,0.8426649853,0,0.3164954
8,1,edgegpu,cifar10,93.28,0.54696083,0.8533238838,0.4550325086,0,0.2505318001
8,2,edgegpu,cifar100,69.2,0.5395651,0.7970164671,0.9001879503,0,0.1854821
8,3,edgegpu,ImageNet16-120,45.5,0.5411577,0.7434641393,0.6487140497,0,0.2563967999
9,1,edgegpu,cifar10,93.89333,0.56803226,0.724485066,1.073601702,0,0.4727828
9,2,edgegpu,cifar100,71.09333,0.5058527,0.807129476,0.6163841957,0,0.498951
9,3,edgegpu,ImageNet16-120,43.655556,0.5447483,0.7531768734,0.8035893957,0,0.3018083
10,1,edgegpu,cifar10,93.91333,1.7565823,0.822145431,0.287545873,0,0.275424
10,2,edgegpu,cifar100,71.38,1.7361784,0.7740016,0.6688199251,0,0.225156
10,3,edgegpu,ImageNet16-120,45.333332,0.5479622,0.7859441513,0.6922453676,0,0.2796993001
